c,i,id,l1_c,l1_i,language,type
spoilt,broke,person_892,испорчена,сломал,Russian,RV
greatly,very,person_892,значительно,очень,Russian,RY
just,only,person_892,просто,только,Russian,RY
turn,push,person_892,превратить,толкать,Russian,RV
really,very,person_892,действительно,очень,Russian,RY
latest,newest,person_448,последнее,новейшие,Russian,RJ
performance,play,person_448,производительности,игры,Russian,RN
said,noticed,person_448,сказал,заметил,Russian,RV
arrived,came,person_448,прибыли,пришел,Russian,RV
organise,make,person_448,организовать,сделать,Russian,RV
before,ago,person_448,раньше,назад,Russian,RY
give,present,person_448,дать,представить,Russian,RV
suggested,proposed,person_448,предложил,предлагаемые,Russian,RV
went,came,person_448,пошел,пришел,Russian,RV
couldn't,didn't,person_1797,не,не,Russian,RV
thought,hoped,person_1797,думал,надеется,Russian,RV
only,just,person_1797,только,просто,Russian,RY
haven't,don't,person_1797,не,не,Russian,RV
very,too,person_1635,очень,слишком,Russian,RY
advertised,presented,person_1635,рекламируется,представлены,Russian,RV
very,too,person_1635,очень,слишком,Russian,RY
knew,understand,person_1635,знал,понять,Russian,RV
long,big,person_1635,длинные,большой,Russian,RJ
before,earlier,person_2272,раньше,ранее,Russian,RY
latest,last,person_2272,последнее,последний,Russian,RJ
Before,Earlier,person_2272,раньше,ранее,Russian,RY
before,earlier,person_2272,раньше,ранее,Russian,RY
have,be,person_1619,иметь,быть,Russian,RV
invited,offered,person_1619,пригласил,предложил,Russian,RV
put,gave,person_1619,положить,дал,Russian,RV
before,ago,person_2502,раньше,назад,Russian,RY
surprised,amazed,person_985,удивлена,поражен,Russian,RJ
cause,reason,person_985,причиной,причина,Russian,RN
chores,routine,person_985,делами,рутины,Russian,RN
stay,live,person_793,остаться,жить,Russian,RV
quickly,fast,person_793,быстро,быстро,Russian,RY
saw,looked,person_793,видел,посмотрел,Russian,RV
rehearsals,repetitions,person_793,репетиции,повторений,Russian,RN
piece,part,person_793,кусок,часть,Russian,RN
clothing,cloth,person_793,одежда,ткань,Russian,RN
suitable,similar,person_793,подходит,аналогичные,Russian,RJ
loudly,loud,person_793,громко,громче,Russian,RY
see,feel,person_793,видеть,чувствовать себя,Russian,RV
will,shall,person_346,будет,должны,Russian,RV
news,information,person_385,новости,информация,Russian,RN
remind,remember,person_385,напомнить,помните,Russian,RV
stay,live,person_385,остаться,жить,Russian,RV
won't,can't,person_385,не,нельзя,Russian,RV
very,just,person_385,очень,просто,Russian,RY
had,made,person_385,имел,сделал,Russian,RV
had,took,person_385,имел,взял,Russian,RV
work,job,person_385,работы,работу,Russian,RN
really,very,person_2045,действительно,очень,Russian,RY
really,very,person_2045,действительно,очень,Russian,RY
time,term,person_2045,время,термин,Russian,RN
sight,view,person_2045,прицел,вид,Russian,RN
completely,absolutely,person_2045,полностью,абсолютно,Russian,RY
energy,power,person_186,энергии,мощность,Russian,RN
surfing,surf,person_2481,серфинг,серфинга,Russian,RN
surfing,surf,person_2481,серфинг,серфинга,Russian,RN
was,had,person_2481,был,имел,Russian,RV
surfing,serf,person_2481,серфинг,крепостным,Russian,RN
sincerely,faithfully,person_2481,искренне,добросовестно,Russian,RY
go,do,person_2481,пойти,сделать,Russian,RV
go,do,person_2481,пойти,сделать,Russian,RV
is,will,person_2481,является,будет,Russian,RV
concern,care,person_243,озабоченность,уход,Russian,RN
answer,clarify,person_243,ответить,уточнить,Russian,RV
clothing,wear,person_243,одежда,износа,Russian,RN
situation,ability,person_243,ситуации,способности,Russian,RN
go,do,person_243,пойти,сделать,Russian,RV
go,do,person_243,пойти,сделать,Russian,RV
as,that,person_243,как,что,Russian,RY
go,do,person_243,пойти,сделать,Russian,RV
centres,cities,person_243,центры,городах,Russian,RN
normal,usual,person_243,нормальной,обычно,Russian,RJ
solutions,issue,person_243,решения,проблема,Russian,RN
sitting,seating,person_243,сидя,гостиная,Russian,RV
have,know,person_319,иметь,знаю,Russian,RV
response,answer,person_319,ответ,ответ,Russian,RN
Dance,Dancing,person_319,танец,танцы,Russian,RN
trip,travel,person_319,поездки,путешествия,Russian,RN
pet,pat,person_319,питомца,пэт,Russian,RN
making,filming,person_319,делает,съемках,Russian,RN
came,went,person_1248,пришел,пошел,Russian,RV
autograph,signature,person_1248,автограф,подпись,Russian,RN
school,lyceum,person_1248,школы,лицей,Russian,RN
stay,go,person_2225,остаться,пойти,Russian,RV
makes,does,person_2225,делает,делает,Russian,RV
go,do,person_2225,пойти,сделать,Russian,RV
problem,trouble,person_2225,проблема,неприятности,Russian,RN
losing,loosing,person_2225,потери,потери,Russian,RV
wasting,loosing,person_2225,тратить,потери,Russian,RV
styles,stiles,person_2557,стили,стайлз,Russian,RN
trip,travel,person_2557,поездки,путешествия,Russian,RN
information,questions,person_2557,информация,вопросы,Russian,RN
stay,say,person_2557,остаться,сказать,Russian,RV
trip,travel,person_2557,поездки,путешествия,Russian,RN
really,very,person_2557,действительно,очень,Russian,RY
state,stare,person_2557,государства,пялься,Russian,RN
Often,Usual,person_2557,часто,обычно,Russian,RY
made,did,person_1895,сделал,сделал,Russian,RV
learn,know,person_1895,узнать,знаю,Russian,RV
prize,award,person_1895,приз,награда,Russian,RN
area,stage,person_1895,зона,этапе,Russian,RN
ambition,idea,person_1895,амбиции,идея,Russian,RN
made,did,person_1895,сделал,сделал,Russian,RV
sit,pass,person_470,сидеть,пройти,Russian,RV
sincerely,faithfully,person_470,искренне,добросовестно,Russian,RY
tired,tied,person_470,устал,привязаны,Russian,RJ
do,play,person_470,сделать,играть,Russian,RV
trip,travel,person_2564,поездки,путешествия,Russian,RN
bear,support,person_2564,нести,поддерживает,Russian,RV
go,do,person_2564,пойти,сделать,Russian,RV
beforehand,previously,person_2564,заранее,ранее,Russian,RY
I've,I'm,person_277,ive,im,Russian,RV
clothes,cloths,person_277,одежды,полотна,Russian,RN
will,must,person_277,будет,должны,Russian,RV
see,seem,person_277,видеть,показаться,Russian,RV
play,use,person_277,играть,использовать,Russian,RV
Say,Tell,person_277,сказать,сказать,Russian,RV
give,tell,person_1697,дать,сказать,Russian,RV
will,could,person_1697,будет,мог,Russian,RV
going,doing,person_1697,собирается,делать,Russian,RV
learn,lean,person_1697,узнать,опереться,Russian,RV
teach,lean,person_1697,научить,опереться,Russian,RV
stay,accommodate,person_1245,остаться,вместить,Russian,RV
stay,live,person_1655,остаться,жить,Russian,RV
staying,living,person_1655,останавливаться,живущих,Russian,RV
stay,live,person_1655,остаться,жить,Russian,RV
have,do,person_1655,иметь,сделать,Russian,RV
not,no,person_1889,не,нет,Russian,RY
very,quite,person_2359,очень,довольно,Russian,RY
Also,Besides,person_2359,также,кроме того,Russian,RY
cover,pay,person_2359,охватывают,платить,Russian,RV
conducted,made,person_2359,проведены,сделал,Russian,RV
think,consider,person_2359,думаю,рассмотреть,Russian,RV
opinion,statement,person_2359,мнение,заявление,Russian,RN
courts,playgrounds,person_2359,суды,игровые площадки,Russian,RN
decor,decoration,person_2359,декор,украшения,Russian,RN
done,made,person_2359,сделано,сделал,Russian,RV
installed,made,person_2359,установлены,сделал,Russian,RV
events,performances,person_2359,события,спектакли,Russian,RN
conducted,made,person_2359,проведены,сделал,Russian,RV
say,tell,person_2616,сказать,сказать,Russian,RV
filled,made,person_2616,заполнены,сделал,Russian,RV
talk,speak,person_2616,говорить,говорить,Russian,RV
queues,lines,person_2616,очереди,линии,Russian,RN
stay,live,person_1557,остаться,жить,Russian,RV
go,attend,person_1557,пойти,посещать,Russian,RV
souvenirs,remembrances,person_1557,сувениры,воспоминания,Russian,RN
photography,photographer,person_2664,фотографии,фотограф,Russian,RN
got,took,person_2664,получил,взял,Russian,RV
got,taken,person_2664,получил,приняты,Russian,RV
sleeping,slipping,person_1192,спящая,скольжения,Russian,RV
various,different,person_1192,различных,различных,Russian,RJ
matter,case,person_1192,имеет значения,случае,Russian,RN
faithfully,sincerely,person_818,добросовестно,искренне,Russian,RY
wanted,wished,person_1814,хотел,пожелал,Russian,RV
had,made,person_1814,имел,сделал,Russian,RV
be,stay,person_1814,быть,остаться,Russian,RV
autograph,signature,person_1814,автограф,подпись,Russian,RN
trip,travel,person_1787,поездки,путешествия,Russian,RN
trip,travel,person_1787,поездки,путешествия,Russian,RN
spirit,character,person_1787,дух,характер,Russian,RN
demanding,responsible,person_1787,требовательных,ответственность,Russian,RJ
went,came,person_1787,пошел,пришел,Russian,RV
autograph,sign,person_1787,автограф,знак,Russian,RN
sincerely,faithfully,person_1787,искренне,добросовестно,Russian,RY
excellent,good,person_178,потрясающе,хорошо,Russian,RJ
more,better,person_178,более,лучше,Russian,RY
talking,speaking,person_178,говорить,говоря,Russian,RV
get,take,person_178,получить,принять,Russian,RV
take,bring,person_178,принять,принести,Russian,RV
out,up,person_178,вне,вверх,Russian,RY
get,take,person_178,получить,принять,Russian,RV
opportunity,possibility,person_964,возможность,возможность,Russian,RN
have,find,person_964,иметь,найти,Russian,RV
centre,middle,person_964,центр,ближнем,Russian,RN
suffer,get,person_964,страдают,получить,Russian,RV
leave,let,person_964,оставить,позвольте,Russian,RV
excellent,good,person_813,потрясающе,хорошо,Russian,RJ
get,know,person_813,получить,знаю,Russian,RV
give,present,person_813,дать,представить,Russian,RV
have,meet,person_2394,иметь,встретиться,Russian,RV
already,previously,person_2394,уже,ранее,Russian,RY
set,settled,person_2394,установить,поселились,Russian,RV
excellent,good,person_241,потрясающе,хорошо,Russian,RJ
incredible,unbelievable,person_241,невероятные,невероятно,Russian,RJ
won't,doesn't,person_241,не,не,Russian,RV
futuristic,future,person_241,футуристический,будущих,Russian,RJ
will,can,person_241,будет,может,Russian,RV
simply,only,person_241,просто,только,Russian,RY
event,activity,person_2232,событие,деятельности,Russian,RN
Sincerely,Faithfully,person_2232,искренне,добросовестно,Russian,RY
excellent,good,person_1033,потрясающе,хорошо,Russian,RJ
make,do,person_1033,сделать,сделать,Russian,RV
isn't,doesn't,person_1033,не,не,Russian,RV
time,moment,person_1033,время,момент,Russian,RN
sense,feel,person_1033,чувствую,чувствовать себя,Russian,RV
discover,invent,person_1035,обнаружить,изобретать,Russian,RV
possible,predictable,person_1035,возможно,предсказуемым,Russian,RJ
household,house,person_1035,бытовой,дом,Russian,RN
favourite,preferable,person_1035,любимый,предпочтительнее,Russian,RJ
home,house,person_1035,дома,дом,Russian,RN
provide,keep,person_1035,предоставить,держать,Russian,RV
excellent,good,person_1624,потрясающе,хорошо,Russian,RJ
sight,sigh,person_1624,прицел,вздох,Russian,RN
clothes,wear,person_1624,одежды,износа,Russian,RN
breathe,brief,person_1624,дышать,проинформировать,Russian,RV
fall,following,person_1624,падать,следующие,Russian,RV
should,must,person_1624,должны,должны,Russian,RV
unique,only,person_2305,уникальный,единственный,Russian,RJ
respond,obey,person_2305,отвечать,повиноваться,Russian,RV
cups,caps,person_2305,чашки,шапки,Russian,RN
vision,opinion,person_2305,видение,мнение,Russian,RN
historic,historical,person_3158,исторический,исторические,Russian,RJ
shared,mutual,person_3158,общий,взаимного,Russian,RJ
mankind,people,person_3158,человечества,людей,Russian,RN
wheel,will,person_3158,колесо,будет,Russian,RN
ability,possibility,person_3102,способности,возможность,Russian,RN
short,small,person_2976,короткие,маленький,Russian,RJ
play,take,person_2976,играть,принять,Russian,RV
rely,relay,person_2976,полагаться,ретранслировать,Russian,RV
meant,planed,person_3098,означало,строганный,Russian,RV
countryside,nature,person_3098,загородную местность,природа,Russian,RN
wear,take,person_3098,носить,принять,Russian,RV
exhibition,exposition,person_3098,выставка,экспозиция,Russian,RN
place,option,person_3098,место,вариант,Russian,RN
bank,embankment,person_3098,банк,набережная,Russian,RN
opportunity,chance,person_3098,возможность,шанс,Russian,RN
historic,historical,person_3098,исторический,исторические,Russian,RJ
held,progressed,person_3122,провел,продвинулись,Russian,RV
would,can,person_3122,бы,может,Russian,RV
ago,before,person_3122,назад,раньше,Russian,RY
lamp,lump,person_3122,лампы,комок,Russian,RN
inventions,intentions,person_3122,изобретения,намерения,Russian,RN
think,see,person_3122,думаю,видеть,Russian,RV
talk,say,person_3122,говорить,сказать,Russian,RV
create,make,person_3122,создать,сделать,Russian,RV
have,take,person_3122,иметь,принять,Russian,RV
allows,makes,person_3122,позволяет,делает,Russian,RV
where,wherever,person_3122,где,где,Russian,RY
ago,before,person_3122,назад,раньше,Russian,RY
light,life,person_3122,свет,жизни,Russian,RN
will,can,person_3034,будет,может,Russian,RV
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN
special,particular,person_3034,специальные,частности,Russian,RJ
special,particular,person_3034,,,Russian,RJ
small,little,person_1562,küçük,küçük,Turkish,RJ
had,made,person_1562,vardı,yapılan,Turkish,RV
damp,moist,person_2135,nemli,nemli,Turkish,RJ
inadequate,insufficient,person_2135,yetersiz,yetersiz,Turkish,RJ
room,place,person_2419,oda,yer,Turkish,RN
events,attractions,person_2419,etkinlik,turistik yer,Turkish,RN
opportunities,possibilities,person_2419,fırsat -lar,olasılık,Turkish,RN
patience,patient,person_2419,sabır,hasta,Turkish,RN
difficult,complicated,person_519,zor,karmaşık,Turkish,RJ
would,should,person_519,cekti,gerekir,Turkish,RV
spoiled,fell,person_519,şımart,düştü,Turkish,RV
extend,expend,person_519,genişlet -mek,,Turkish,RV
cause,be,person_519,neden,olmak,Turkish,RV
problem,trouble,person_519,sorun,bela,Turkish,RN
makes,puts,person_125,yapar,koyar,Turkish,RV
anywhere,everywhere,person_125,hiçbir yere,heryer -de,Turkish,RY
should,must,person_1858,gerekir,gerekir,Turkish,RV
should,may,person_1858,gerekir,mayıs,Turkish,RV
very,so,person_1858,çok,böyle -ce,Turkish,RY
very,so,person_1858,çok,böyle -ce,Turkish,RY
shown,performed,person_1858,gösterilen,gerçekleştirilen,Turkish,RV
last,lost,person_1858,son,kaybetti,Turkish,RJ
want,went,person_1858,istediği,gitti,Turkish,RV
International,Internal,person_2565,dünya,iç,Turkish,RJ
nowadays,today,person_2565,günümüzde,bugün,Turkish,RY
met,got,person_2565,tanış,var,Turkish,RV
Do,Are,person_2565,yapmak,-larından,Turkish,RV
Love,Lovers,person_2565,aşk,severler,Turkish,RN
stars,starts,person_955,yıldız,başlar,Turkish,RN
out,on,person_955,dışarı,-ını,Turkish,RY
do,make,person_955,yapmak,yapmak,Turkish,RV
well,good,person_955,iyi,iyi,Turkish,RJ
come,go,person_955,gel,gitmek,Turkish,RV
clean,clear,person_955,temiz,temizleyin,Turkish,RJ
worth,worthy,person_558,değer,layık,Turkish,RJ
acquainted,used,person_558,tanımak,kullanılan,Turkish,RJ
faithfully,Sincerely,person_558,sadakatle,iç -tenlikle,Turkish,RY
view,find,person_558,görünümü,bul,Turkish,RV
progress,go,person_558,ilerleye,gitmek,Turkish,RV
course,class,person_558,kursu,sınıf,Turkish,RN
almost,nearly,person_1816,nerede -yse,nerede -yse,Turkish,RY
attended,joined,person_1816,katıldı,katıldı,Turkish,RV
were,made,person_1816,edildi,yapılan,Turkish,RV
sore,sour,person_1816,boğaz,ekşi,Turkish,RJ
idea,application,person_1816,fikir,uygulama,Turkish,RN
reasonably,nice,person_1816,makul,güzel,Turkish,RY
holding,making,person_1816,holding,yapma,Turkish,RV
arts,art,person_1816,sanat,sanat,Turkish,RN
understand,get,person_1816,anlamak,almak,Turkish,RV
full,complete,person_1198,tam,komple,Turkish,RJ
price,money,person_1198,fiyat,para,Turkish,RN
small,close,person_1198,küçük,yakın,Turkish,RJ
Next,However,person_1198,ileri,ancak,Turkish,RY
miserable,unhappy,person_1198,sefil,mutsuz,Turkish,RJ
away,back,person_1198,mesafe -de,geri,Turkish,RY
thing,memory,person_1198,şey,bellek,Turkish,RN
gauge,checker,person_1198,ölçer,denetleyicisi,Turkish,RN
make,take,person_1198,yapmak,götür,Turkish,RV
star,play,person_1359,yıldız,oynamak,Turkish,RV
starred,played,person_1359,oynadı,oynadı,Turkish,RV
had,saw,person_1359,vardı,gördüm,Turkish,RV
paid,gave,person_1359,ödenen,verdi,Turkish,RV
MISTAKE,FAULT,person_1359,hata,hatam,Turkish,RN
mistake,fault,person_1359,hata,hatam,Turkish,RN
tell,gave,person_1359,söyle,verdi,Turkish,RV
advertised,written,person_2241,reklamı,yazılı,Turkish,RV
pay,play,person_2241,ödeme,oynamak,Turkish,RV
go,wear,person_2241,gitmek,giymek,Turkish,RV
supposed,said,person_2519,zannetmek,dedi,Turkish,RV
apology,excuse,person_2519,özür,bahane,Turkish,RN
play,have,person_2519,oynamak,var,Turkish,RV
have,be,person_2242,var,olmak,Turkish,RV
said,written,person_2242,dedi,yazılı,Turkish,RV
works,progress,person_2242,eser,ilerleme,Turkish,RN
invention,production,person_2242,buluş,üretim,Turkish,RN
people,pupil,person_2242,insanlar,öğrenci,Turkish,RN
area,subject,person_2242,alan,konu,Turkish,RN
don't,can't,person_2242,-mıyorum,edemez,Turkish,RV
see,watch,person_2518,görmek,izle,Turkish,RV
faithfully,sincerely,person_2518,sadakatle,iç -tenlikle,Turkish,RY
disappointed,disillusioned,person_622,hayal kırıklığına,hayal kırıklığına,Turkish,RJ
said,told,person_622,dedi,söyledi,Turkish,RV
programme,schedule,person_622,programı,zamanlama,Turkish,RN
full,exact,person_622,tam,tam,Turkish,RJ
want,went,person_622,istediği,gitti,Turkish,RV
consolation,solace,person_622,teselli,teselli,Turkish,RN
faithfully,Sincerely,person_622,sadakatle,iç -tenlikle,Turkish,RY
find,reach,person_622,bul,ulaşmak,Turkish,RV
too,again,person_622,çok,tekrar,Turkish,RY
place,medium,person_622,yer,orta,Turkish,RN
said,written,person_594,dedi,yazılı,Turkish,RV
said,written,person_594,dedi,yazılı,Turkish,RV
said,written,person_594,dedi,yazılı,Turkish,RV
think,suppose,person_594,düşünü,varsay -alım,Turkish,RV
faithfully,Sincerely,person_594,sadakatle,iç -tenlikle,Turkish,RY
very,so,person_1307,çok,böyle -ce,Turkish,RY
could,would,person_1307,olabilir,cekti,Turkish,RV
apology,excuse,person_1307,özür,bahane,Turkish,RN
waste,loss,person_1307,atık,kaybı,Turkish,RN
truth,reality,person_1307,gerçek,gerçek,Turkish,RN
keep,take,person_1307,tutmak,götür,Turkish,RV
tell,say,person_1307,söyle,söyle,Turkish,RV
truth,reality,person_1307,gerçek,gerçek,Turkish,RN
truth,reality,person_1307,gerçek,gerçek,Turkish,RN
tell,say,person_1307,söyle,söyle,Turkish,RV
truth,reality,person_1307,gerçek,gerçek,Turkish,RN
faithfully,Sincerely,person_2543,sadakatle,iç -tenlikle,Turkish,RY
up,near,person_2543,yukarı,yakın -ındaki,Turkish,RY
musical,play,person_2231,müzikal,oyunu,Turkish,RN
see,watch,person_2231,görmek,izle,Turkish,RV
money,expenses,person_2231,para,masraf -ları,Turkish,RN
experience,situation,person_2231,deneyim,durum,Turkish,RN
once,before,person_2231,bir kere -sinde,önce,Turkish,RY
toys,plays,person_2231,oyuncak,çalış,Turkish,RN
advantages,facilities,person_2231,avantaj -ları,imkanlar,Turkish,RN
let,make,person_287,izin,yapmak,Turkish,RV
should,would,person_287,gerekir,cekti,Turkish,RV
said,wrote,person_287,dedi,yazdı,Turkish,RV
communicate,connect,person_287,iletişim kur,bağlamak,Turkish,RV
peace,piece,person_287,barış,parça,Turkish,RN
peace,piece,person_287,barış,parça,Turkish,RN
benefit,fortune,person_287,yarar,servet,Turkish,RN
let,want,person_2192,izin,istediği,Turkish,RV
appears,plays,person_2192,görünür,oynar,Turkish,RV
hoped,wished,person_2192,umduğunu,dile,Turkish,RV
problem,mistake,person_2192,sorun,hata,Turkish,RN
didn't,couldn't,person_2192,verme -di,edeme,Turkish,RV
appeared,played,person_2192,ortaya çıktı,oynadı,Turkish,RV
told,said,person_2192,söyledi,dedi,Turkish,RV
appear,play,person_2192,görünür,oynamak,Turkish,RV
went,came,person_2192,gitti,geldi,Turkish,RV
closed,close,person_2192,kapalı,yakın,Turkish,RJ
very,too,person_2192,çok,çok,Turkish,RY
get,use,person_2192,almak,kullanın,Turkish,RV
email,mail,person_2192,email,posta,Turkish,RN
approaching,coming,person_2192,yaklaşı -yor,geliyor,Turkish,RV
old,past,person_2192,eski,geçmiş,Turkish,RJ
letter,mail,person_2192,mektup,posta,Turkish,RN
paid,given,person_2160,ödenen,verilen,Turkish,RV
faithfully,sincerely,person_2160,sadakatle,iç -tenlikle,Turkish,RY
burn,fire,person_2160,yakmak,kov,Turkish,RV
area,section,person_2160,alan,bölüm,Turkish,RN
late,later,person_2202,gecikti,sonra,Turkish,RY
not,no,person_2202,değil,hayır,Turkish,RY
is,passes,person_2202,-dir,geçirir,Turkish,RV
exhausting,exhausted,person_2202,yorucu,yoruldum,Turkish,RJ
untrue,false,person_2189,yanlış,false,Turkish,RJ
say,mention,person_2189,söyle,söz,Turkish,RV
appliances,machines,person_2189,alet -leri,makine,Turkish,RN
invention,discovering,person_2189,buluş,keşfetmek,Turkish,RN
research,researching,person_2189,araştırma,araştırma,Turkish,RN
get,go,person_2189,almak,gitmek,Turkish,RV
study,research,person_2189,çalışmak,araştırma,Turkish,RV
planet,plant,person_2189,gezegen,bitki,Turkish,RN
promised,said,person_515,söz verdi,dedi,Turkish,RV
audience,viewers,person_515,seyirci,izleyici,Turkish,RN
meant,mentioned,person_515,anlamına geliyordu,bahsedilen,Turkish,RV
would,do,person_515,cekti,yapmak,Turkish,RV
hesitation,problems,person_515,tereddüt,sorun,Turkish,RN
Faithfully,Sincerely,person_515,sadakatle,iç -tenlikle,Turkish,RY
principal,main,person_515,asıl,ana,Turkish,RJ
friendship,friend,person_515,dostluk,arkadaşı,Turkish,RN
firmly,strictly,person_515,sıkı -ca,kesinlikle,Turkish,RY
lastly,last,person_1026,son,son,Turkish,RY
up,next,person_1026,yukarı,ileri,Turkish,RY
shouldn't,couldn't,person_1026,olmamalı,edeme,Turkish,RV
asked,offered,person_1026,sordu,sunulan,Turkish,RV
told,talk,person_1026,söyledi,konuşma,Turkish,RV
see,watch,person_1806,görmek,izle,Turkish,RV
paid,given,person_1806,ödenen,verilen,Turkish,RV
said,written,person_1806,dedi,yazılı,Turkish,RV
give,accept,person_1806,vermek,kabul,Turkish,RV
late,later,person_1806,gecikti,sonra,Turkish,RY
advertised,written,person_1806,reklamı,yazılı,Turkish,RV
don't,can't,person_1806,-mıyorum,edemez,Turkish,RV
notice,understand,person_1806,fark,anlamak,Turkish,RV
wouldn't,hadn't,person_2514,olmaz,hadnt,Turkish,RV
apologise,excuse,person_1223,özür dilerim,izin verir,Turkish,RV
product,production,person_979,ürün,üretim,Turkish,RN
ever,anytime,person_979,hiç,her zaman,Turkish,RY
made,did,person_1155,yapılan,yaptı,Turkish,RV
