c,i,id,l1_c,l1_i,language,type,code,english_overlap
helpful,convenient,person_546,полезная,удобно,Russian,RJ,ru,0.544219013373506
take,deliver,person_546,принять,доставить,Russian,RV,ru,0.4547691730128538
sit,seat,person_2296,сидеть,сиденье,Russian,RV,ru,0.4283551533440919
change,turn,person_2296,изменить,превратить,Russian,RV,ru,0.5018141220267809
channels,chances,person_2296,каналами,шансы,Russian,RV,ru,0.32490155887661143
prevent,stop,person_2296,предотвратить,остановить,Russian,RV,ru,0.5885421207133461
act,play,person_1400,действовать,играть,Russian,RV,ru,0.502806093073926
ordinary,common,person_1400,обычные,общие,Russian,RJ,ru,0.5370304941836878
draw,make,person_1400,нарисовать,сделать,Russian,RV,ru,0.46268756166340985
ordinary,common,person_1400,обычные,общие,Russian,RJ,ru,0.5370304941836878
illegitimate,illegal,person_609,нелегитимными,незаконной,Russian,RJ,ru,0.6036793410391806
without,not,person_2709,без,не,Russian,RY,ru,0.4725963008967843
organisation,arrangement,person_1943,организации,договоренности,Russian,RN,ru,0.3905493665582716
said,saw,person_1943,сказал,видел,Russian,RV,ru,0.5343419216753185
acting,play,person_1981,действуя,игры,Russian,RN,ru,0.4733522572967389
operating,entering,person_1981,рабочая,ввода,Russian,RV,ru,0.43669987360458085
show,program,person_2380,шоу,программа,Russian,RN,ru,0.408727289856457
dinner,diner,person_2380,ужин,закусочная,Russian,RN,ru,0.5142820420530256
aim,reason,person_2380,цель,причина,Russian,RN,ru,0.43597612422336385
delighted,delightful,person_2380,восторге,восхитительный,Russian,RJ,ru,0.5050754605345251
history,historical,person_2380,истории,исторические,Russian,RJ,ru,0.5887276267455348
live,leave,person_2380,жить,оставить,Russian,RV,ru,0.4262975941930258
go,do,person_2380,пойти,сделать,Russian,RV,ru,0.6396568456649485
imaginations,fantasy,person_874,воображение,фантазии,Russian,RN,ru,0.46824699217745036
come,become,person_1528,прийти,стать,Russian,RV,ru,0.46156831586980185
learn,know,person_1528,узнать,знаю,Russian,RV,ru,0.6163379709071144
do,make,person_1528,сделать,сделать,Russian,RV,ru,0.5861963999957747
remote,distant,person_283,удаленного,далекой,Russian,RJ,ru,0.6379382590465132
communication,relations,person_283,коммуникации,отношения,Russian,RN,ru,0.4857534590773398
went,got,person_2631,пошел,получил,Russian,RV,ru,0.6110595544442604
amusing,amazing,person_1847,забавно,удивительные,Russian,RJ,ru,0.5918996606367795
get,have,person_1847,получить,иметь,Russian,RV,ru,0.5810301426419245
thing,point,person_1847,вещь,точки,Russian,RN,ru,0.5100335674955323
also,again,person_1847,также,снова,Russian,RY,ru,0.5168446120943178
party,holiday,person_1672,вечеринка,праздник,Russian,RN,ru,0.3785479232183022
make,do,person_248,сделать,сделать,Russian,RV,ru,0.5861963999957747
disappointed,disappointing,person_2012,разочарован,разочарование,Russian,RJ,ru,0.6354756283876382
show,presentation,person_2012,шоу,презентации,Russian,RN,ru,0.4893373039353208
wasnt,didnt,person_2012,не,не,Russian,RV,ru,0.6360433858409246
forced,made,person_2012,принудительный,сделал,Russian,RV,ru,0.48580051722446604
waste,waist,person_2012,отходов,талии,Russian,RN,ru,0.2954708626607455
imagine,think,person_2012,представить,думаю,Russian,RV,ru,0.6058655707956337
might,can,person_2012,может,может,Russian,RV,ru,0.7080137678952712
valid,available,person_1334,действительны,доступны,Russian,RJ,ru,0.4546978280058626
delayed,postpone,person_1334,отложено,отложить,Russian,RV,ru,0.6182663320288826
have,got,person_1334,иметь,получил,Russian,RV,ru,0.6402389644462917
get,become,person_1334,получить,стать,Russian,RV,ru,0.49460730321245244
form,way,person_1334,формы,путь,Russian,RN,ru,0.4925402804871154
as,how,person_892,как,как,Russian,RY,ru,0.4304254084406106
star,play,person_892,звездочные,играть,Russian,RV,ru,0.37280233016666986
act,play,person_892,действовать,играть,Russian,RV,ru,0.502806093073926
acted,played,person_892,действовал,проиграна,Russian,RV,ru,0.5273630001540455
got,came,person_892,получил,пришел,Russian,RV,ru,0.5635414831289296
spoilt,broke,person_892,испорчена,сломал,Russian,RV,ru,0.35100201760089345
greatly,very,person_892,значительно,очень,Russian,RY,ru,0.5436180692323553
just,only,person_892,просто,только,Russian,RY,ru,0.7624868591290412
turn,push,person_892,превратить,толкать,Russian,RV,ru,0.5184525492145713
really,very,person_892,действительно,очень,Russian,RY,ru,0.5837163610332969
latest,newest,person_448,последнее,новейшие,Russian,RJ,ru,0.6789732520916801
performance,play,person_448,производительности,игры,Russian,RN,ru,0.4658178035013635
said,noticed,person_448,сказал,заметил,Russian,RV,ru,0.5393742373016499
arrived,came,person_448,прибыли,пришел,Russian,RV,ru,0.6666604925870032
organise,make,person_448,организовать,сделать,Russian,RV,ru,0.42739885428596824
before,ago,person_448,раньше,назад,Russian,RY,ru,0.4342506129370873
give,present,person_448,дать,представить,Russian,RV,ru,0.5272323437074407
suggested,proposed,person_448,предложил,предлагаемые,Russian,RV,ru,0.669035806464836
went,came,person_448,пошел,пришел,Russian,RV,ru,0.6954828014997174
couldnt,didnt,person_1797,не,не,Russian,RV,ru,0.8102324615645939
thought,hoped,person_1797,думал,надеется,Russian,RV,ru,0.5840048455248512
only,just,person_1797,только,просто,Russian,RY,ru,0.7624868591290412
havent,dont,person_1797,не,не,Russian,RV,ru,0.5365851317638224
very,too,person_1635,очень,слишком,Russian,RY,ru,0.6522807867428722
advertised,presented,person_1635,рекламируется,представлены,Russian,RV,ru,0.46189976416991657
very,too,person_1635,очень,слишком,Russian,RY,ru,0.6522807867428722
knew,understand,person_1635,знал,понять,Russian,RV,ru,0.5196044218593541
long,big,person_1635,длинные,большой,Russian,RJ,ru,0.5500915229784576
before,earlier,person_2272,раньше,ранее,Russian,RY,ru,0.5613757968139064
latest,last,person_2272,последнее,последний,Russian,RJ,ru,0.5874791135484019
before,earlier,person_2272,раньше,ранее,Russian,RY,ru,0.5613757968139064
before,earlier,person_2272,раньше,ранее,Russian,RY,ru,0.5613757968139064
have,be,person_1619,иметь,быть,Russian,RV,ru,0.5963978744827845
invited,offered,person_1619,пригласил,предложил,Russian,RV,ru,0.5571138765057841
put,gave,person_1619,положить,дал,Russian,RV,ru,0.5342060325990089
before,ago,person_2502,раньше,назад,Russian,RY,ru,0.4342506129370873
surprised,amazed,person_985,удивлена,поражен,Russian,RJ,ru,0.8172749876116522
cause,reason,person_985,причиной,причина,Russian,RN,ru,0.4980285718319055
chores,routine,person_985,делами,рутины,Russian,RN,ru,0.4566298147047694
stay,live,person_793,остаться,жить,Russian,RV,ru,0.4777330169642963
quickly,fast,person_793,быстро,быстро,Russian,RY,ru,0.5133247236139552
saw,looked,person_793,видел,посмотрел,Russian,RV,ru,0.6232835231326811
rehearsals,repetitions,person_793,репетиции,повторений,Russian,RN,ru,0.4007560359701978
piece,part,person_793,кусок,часть,Russian,RN,ru,0.4988533223160362
clothing,cloth,person_793,одежда,ткань,Russian,RN,ru,0.6315362437348803
suitable,similar,person_793,подходит,аналогичные,Russian,RJ,ru,0.5278127220188449
loudly,loud,person_793,громко,громче,Russian,RY,ru,0.5690613656483419
will,shall,person_346,будет,должны,Russian,RV,ru,0.6558791658554253
news,information,person_385,новости,информация,Russian,RN,ru,0.465150817362784
remind,remember,person_385,напомнить,помните,Russian,RV,ru,0.6209231309391059
stay,live,person_385,остаться,жить,Russian,RV,ru,0.4777330169642963
wont,cant,person_385,не,нельзя,Russian,RV,ru,0.7171120425294886
very,just,person_385,очень,просто,Russian,RY,ru,0.5372507094235263
had,made,person_385,имел,сделал,Russian,RV,ru,0.5575183724265862
had,took,person_385,имел,взял,Russian,RV,ru,0.5443011430337868
work,job,person_385,работы,работу,Russian,RN,ru,0.6114981774463069
really,very,person_2045,действительно,очень,Russian,RY,ru,0.5837163610332969
really,very,person_2045,действительно,очень,Russian,RY,ru,0.5837163610332969
time,term,person_2045,время,термин,Russian,RN,ru,0.3852291530051243
sight,view,person_2045,прицел,вид,Russian,RN,ru,0.4675029277901235
completely,absolutely,person_2045,полностью,абсолютно,Russian,RY,ru,0.6254244191850856
energy,power,person_186,энергии,мощность,Russian,RN,ru,0.5368301454963481
surfing,surf,person_2481,серфинг,серфинга,Russian,RN,ru,0.7391647329270261
surfing,surf,person_2481,серфинг,серфинга,Russian,RN,ru,0.7391647329270261
was,had,person_2481,был,имел,Russian,RV,ru,0.550096964179515
surfing,serf,person_2481,серфинг,крепостным,Russian,RN,ru,0.17843948838502427
sincerely,faithfully,person_2481,искренне,добросовестно,Russian,RY,ru,0.543266468432588
go,do,person_2481,пойти,сделать,Russian,RV,ru,0.6396568456649485
go,do,person_2481,пойти,сделать,Russian,RV,ru,0.6396568456649485
is,will,person_2481,является,будет,Russian,RV,ru,0.5122779955224996
concern,care,person_243,озабоченность,уход,Russian,RN,ru,0.46682276893158536
answer,clarify,person_243,ответить,уточнить,Russian,RV,ru,0.4970589620792957
clothing,wear,person_243,одежда,износа,Russian,RN,ru,0.5629823840594261
situation,ability,person_243,ситуации,способности,Russian,RN,ru,0.33764888051943115
go,do,person_243,пойти,сделать,Russian,RV,ru,0.6396568456649485
go,do,person_243,пойти,сделать,Russian,RV,ru,0.6396568456649485
as,that,person_243,как,что,Russian,RY,ru,0.5204079272021251
go,do,person_243,пойти,сделать,Russian,RV,ru,0.6396568456649485
centres,cities,person_243,центры,городах,Russian,RN,ru,0.5054560482759332
normal,usual,person_243,нормальной,обычно,Russian,RJ,ru,0.6655429152474881
solutions,issue,person_243,решения,проблема,Russian,RN,ru,0.43151227073762366
sitting,seating,person_243,сидя,гостиная,Russian,RV,ru,0.4305647101216201
have,know,person_319,иметь,знаю,Russian,RV,ru,0.48948910753601416
response,answer,person_319,ответ,ответ,Russian,RN,ru,0.578223687831012
dance,dancing,person_319,танец,танцы,Russian,RN,ru,0.7276861262192336
trip,travel,person_319,поездки,путешествия,Russian,RN,ru,0.6588802896217398
pet,pat,person_319,питомца,пэт,Russian,RN,ru,0.3747431712069534
making,filming,person_319,делает,съемках,Russian,RN,ru,0.38155777667982393
came,went,person_1248,пришел,пошел,Russian,RV,ru,0.6954828014997174
autograph,signature,person_1248,автограф,подпись,Russian,RN,ru,0.481693222826232
school,lyceum,person_1248,школы,лицей,Russian,RN,ru,0.469078822385721
stay,go,person_2225,остаться,пойти,Russian,RV,ru,0.6061365568562769
makes,does,person_2225,делает,делает,Russian,RV,ru,0.5183706567654547
go,do,person_2225,пойти,сделать,Russian,RV,ru,0.6396568456649485
problem,trouble,person_2225,проблема,неприятности,Russian,RN,ru,0.5775269310236653
losing,loosing,person_2225,потери,потери,Russian,RV,ru,0.6804445631824083
wasting,loosing,person_2225,тратить,потери,Russian,RV,ru,0.46440752730476065
styles,stiles,person_2557,стили,стайлз,Russian,RN,ru,0.4685824964442082
trip,travel,person_2557,поездки,путешествия,Russian,RN,ru,0.6588802896217398
information,questions,person_2557,информация,вопросы,Russian,RN,ru,0.4415962626490289
stay,say,person_2557,остаться,сказать,Russian,RV,ru,0.4077423575374332
trip,travel,person_2557,поездки,путешествия,Russian,RN,ru,0.6588802896217398
really,very,person_2557,действительно,очень,Russian,RY,ru,0.5837163610332969
state,stare,person_2557,государства,пялься,Russian,RN,ru,0.29850715337112593
often,usual,person_2557,часто,обычно,Russian,RY,ru,0.4891054059483818
made,did,person_1895,сделал,сделал,Russian,RV,ru,0.49412273957955133
learn,know,person_1895,узнать,знаю,Russian,RV,ru,0.6163379709071144
prize,award,person_1895,приз,награда,Russian,RN,ru,0.611239371980651
area,stage,person_1895,зона,этапе,Russian,RN,ru,0.4007168338739729
ambition,idea,person_1895,амбиции,идея,Russian,RN,ru,0.47931911224561996
made,did,person_1895,сделал,сделал,Russian,RV,ru,0.49412273957955133
sit,pass,person_470,сидеть,пройти,Russian,RV,ru,0.4497851515156521
sincerely,faithfully,person_470,искренне,добросовестно,Russian,RY,ru,0.543266468432588
tired,tied,person_470,устал,привязаны,Russian,RJ,ru,0.3662582880345796
do,play,person_470,сделать,играть,Russian,RV,ru,0.4288176095684053
trip,travel,person_2564,поездки,путешествия,Russian,RN,ru,0.6588802896217398
bear,support,person_2564,нести,поддерживает,Russian,RV,ru,0.40709472609744424
go,do,person_2564,пойти,сделать,Russian,RV,ru,0.6396568456649485
beforehand,previously,person_2564,заранее,ранее,Russian,RY,ru,0.42279128300508995
clothes,cloths,person_277,одежды,полотна,Russian,RN,ru,0.7228426896355924
will,must,person_277,будет,должны,Russian,RV,ru,0.7587342518502187
see,seem,person_277,видеть,показаться,Russian,RV,ru,0.5539021969755805
play,use,person_277,играть,использовать,Russian,RV,ru,0.4587192691211154
say,tell,person_277,сказать,сказать,Russian,RV,ru,0.6615409766975913
give,tell,person_1697,дать,сказать,Russian,RV,ru,0.5154370100102293
will,could,person_1697,будет,мог,Russian,RV,ru,0.7249530468888981
going,doing,person_1697,собирается,делать,Russian,RV,ru,0.595884285486427
learn,lean,person_1697,узнать,опереться,Russian,RV,ru,0.368609049808621
teach,lean,person_1697,научить,опереться,Russian,RV,ru,0.37897545054398174
stay,accommodate,person_1245,остаться,вместить,Russian,RV,ru,0.39711777594801173
stay,live,person_1655,остаться,жить,Russian,RV,ru,0.4777330169642963
staying,living,person_1655,останавливаться,живущих,Russian,RV,ru,0.46470361199668964
stay,live,person_1655,остаться,жить,Russian,RV,ru,0.4777330169642963
have,do,person_1655,иметь,сделать,Russian,RV,ru,0.546611681864382
not,no,person_1889,не,нет,Russian,RY,ru,0.48776179116613255
very,quite,person_2359,очень,довольно,Russian,RY,ru,0.7700415000447092
cover,pay,person_2359,охватывают,платить,Russian,RV,ru,0.43749196675147783
conducted,made,person_2359,проведены,сделал,Russian,RV,ru,0.49965046525031487
think,consider,person_2359,думаю,рассмотреть,Russian,RV,ru,0.572138533803731
opinion,statement,person_2359,мнение,заявление,Russian,RN,ru,0.5288970666103708
decor,decoration,person_2359,декор,украшения,Russian,RN,ru,0.5910101867684101
done,made,person_2359,сделано,сделал,Russian,RV,ru,0.5579313384449447
installed,made,person_2359,установлены,сделал,Russian,RV,ru,0.4725320034002601
events,performances,person_2359,события,спектакли,Russian,RN,ru,0.5138453456110038
conducted,made,person_2359,проведены,сделал,Russian,RV,ru,0.49965046525031487
say,tell,person_2616,сказать,сказать,Russian,RV,ru,0.6615409766975913
filled,made,person_2616,заполнены,сделал,Russian,RV,ru,0.43062902250500384
talk,speak,person_2616,говорить,говорить,Russian,RV,ru,0.3232350280235905
queues,lines,person_2616,очереди,линии,Russian,RN,ru,0.4058135132061095
stay,live,person_1557,остаться,жить,Russian,RV,ru,0.4777330169642963
go,attend,person_1557,пойти,посещать,Russian,RV,ru,0.48813494116877004
souvenirs,remembrances,person_1557,сувениры,воспоминания,Russian,RN,ru,0.4683128377684772
photography,photographer,person_2664,фотографии,фотограф,Russian,RN,ru,0.6023100337950713
got,took,person_2664,получил,взял,Russian,RV,ru,0.5679241398538517
got,taken,person_2664,получил,приняты,Russian,RV,ru,0.5448044254685869
sleeping,slipping,person_1192,спящая,скольжения,Russian,RV,ru,0.443973480358594
various,different,person_1192,различных,различных,Russian,RJ,ru,0.6828583057430865
faithfully,sincerely,person_818,добросовестно,искренне,Russian,RY,ru,0.543266468432588
wanted,wished,person_1814,хотел,пожелал,Russian,RV,ru,0.670862407542966
had,made,person_1814,имел,сделал,Russian,RV,ru,0.5575183724265862
be,stay,person_1814,быть,остаться,Russian,RV,ru,0.5211179374826258
autograph,signature,person_1814,автограф,подпись,Russian,RN,ru,0.481693222826232
trip,travel,person_1787,поездки,путешествия,Russian,RN,ru,0.6588802896217398
trip,travel,person_1787,поездки,путешествия,Russian,RN,ru,0.6588802896217398
spirit,character,person_1787,дух,характер,Russian,RN,ru,0.4105825952728466
demanding,responsible,person_1787,требовательных,ответственность,Russian,RJ,ru,0.45752762428316807
went,came,person_1787,пошел,пришел,Russian,RV,ru,0.6954828014997174
autograph,sign,person_1787,автограф,знак,Russian,RN,ru,0.45801309410568875
sincerely,faithfully,person_1787,искренне,добросовестно,Russian,RY,ru,0.543266468432588
excellent,good,person_178,потрясающе,хорошо,Russian,RJ,ru,0.7018675489388144
more,better,person_178,более,лучше,Russian,RY,ru,0.6257695427118579
talking,speaking,person_178,говорить,говоря,Russian,RV,ru,0.613683231060014
get,take,person_178,получить,принять,Russian,RV,ru,0.5923836320759215
take,bring,person_178,принять,принести,Russian,RV,ru,0.615602908389304
out,up,person_178,вне,вверх,Russian,RY,ru,0.7353361438196584
get,take,person_178,получить,принять,Russian,RV,ru,0.5923836320759215
opportunity,possibility,person_964,возможность,возможность,Russian,RN,ru,0.5386207948496036
have,find,person_964,иметь,найти,Russian,RV,ru,0.4983900439616533
centre,middle,person_964,центр,ближнем,Russian,RN,ru,0.38450291310212675
suffer,get,person_964,страдают,получить,Russian,RV,ru,0.42787730514212974
leave,let,person_964,оставить,позвольте,Russian,RV,ru,0.4812663315964398
excellent,good,person_813,потрясающе,хорошо,Russian,RJ,ru,0.7018675489388144
get,know,person_813,получить,знаю,Russian,RV,ru,0.5057235984539808
give,present,person_813,дать,представить,Russian,RV,ru,0.5272323437074407
have,meet,person_2394,иметь,встретиться,Russian,RV,ru,0.42430671403809145
already,previously,person_2394,уже,ранее,Russian,RY,ru,0.6471719491285529
set,settled,person_2394,установить,поселились,Russian,RV,ru,0.412245354132207
excellent,good,person_241,потрясающе,хорошо,Russian,RJ,ru,0.7018675489388144
incredible,unbelievable,person_241,невероятные,невероятно,Russian,RJ,ru,0.796400914097725
wont,doesnt,person_241,не,не,Russian,RV,ru,0.7704927412427228
futuristic,future,person_241,футуристический,будущих,Russian,RJ,ru,0.547640475283327
will,can,person_241,будет,может,Russian,RV,ru,0.7494176013174767
simply,only,person_241,просто,только,Russian,RY,ru,0.7334302656157251
event,activity,person_2232,событие,деятельности,Russian,RN,ru,0.4619203476869819
sincerely,faithfully,person_2232,искренне,добросовестно,Russian,RY,ru,0.543266468432588
excellent,good,person_1033,потрясающе,хорошо,Russian,RJ,ru,0.7018675489388144
make,do,person_1033,сделать,сделать,Russian,RV,ru,0.5861963999957747
isnt,doesnt,person_1033,не,не,Russian,RV,ru,0.6697133210050648
time,moment,person_1033,время,момент,Russian,RN,ru,0.6021448316675434
discover,invent,person_1035,обнаружить,изобретать,Russian,RV,ru,0.45230932161594595
possible,predictable,person_1035,возможно,предсказуемым,Russian,RJ,ru,0.5088588410539676
household,house,person_1035,бытовой,дом,Russian,RN,ru,0.4794273736806347
favourite,preferable,person_1035,любимый,предпочтительнее,Russian,RJ,ru,0.4208109310316904
home,house,person_1035,дома,дом,Russian,RN,ru,0.6499748800537484
provide,keep,person_1035,предоставить,держать,Russian,RV,ru,0.46772148583553064
excellent,good,person_1624,потрясающе,хорошо,Russian,RJ,ru,0.7018675489388144
sight,sigh,person_1624,прицел,вздох,Russian,RN,ru,0.3918839323216532
clothes,wear,person_1624,одежды,износа,Russian,RN,ru,0.5740832595308827
breathe,brief,person_1624,дышать,проинформировать,Russian,RV,ru,0.2641496444606982
fall,following,person_1624,падать,следующие,Russian,RV,ru,0.43897748280986326
should,must,person_1624,должны,должны,Russian,RV,ru,0.7765339609957794
unique,only,person_2305,уникальный,единственный,Russian,RJ,ru,0.45606899339408374
respond,obey,person_2305,отвечать,повиноваться,Russian,RV,ru,0.3739193461556156
cups,caps,person_2305,чашки,шапки,Russian,RN,ru,0.3699281039101382
vision,opinion,person_2305,видение,мнение,Russian,RN,ru,0.3984595784236916
historic,historical,person_3158,исторический,исторические,Russian,RJ,ru,0.7668080455888682
shared,mutual,person_3158,общий,взаимного,Russian,RJ,ru,0.45731773300557294
mankind,people,person_3158,человечества,людей,Russian,RN,ru,0.4646882848636429
wheel,will,person_3158,колесо,будет,Russian,RN,ru,0.24996179796848988
ability,possibility,person_3102,способности,возможность,Russian,RN,ru,0.450879619158175
short,small,person_2976,короткие,маленький,Russian,RJ,ru,0.5374387580197688
play,take,person_2976,играть,принять,Russian,RV,ru,0.47460993215651937
rely,relay,person_2976,полагаться,ретранслировать,Russian,RV,ru,0.35509569935803437
meant,planed,person_3098,означало,строганный,Russian,RV,ru,0.45834714013287864
wear,take,person_3098,носить,принять,Russian,RV,ru,0.38220032686942923
exhibition,exposition,person_3098,выставка,экспозиция,Russian,RN,ru,0.4770515028336943
place,option,person_3098,место,вариант,Russian,RN,ru,0.398177978016382
bank,embankment,person_3098,банк,набережная,Russian,RN,ru,0.3854599407232247
opportunity,chance,person_3098,возможность,шанс,Russian,RN,ru,0.6355837806595437
historic,historical,person_3098,исторический,исторические,Russian,RJ,ru,0.7668080455888682
held,progressed,person_3122,провел,продвинулись,Russian,RV,ru,0.4235718396714301
would,can,person_3122,бы,может,Russian,RV,ru,0.7136830526969147
ago,before,person_3122,назад,раньше,Russian,RY,ru,0.4342506129370873
lamp,lump,person_3122,лампы,комок,Russian,RN,ru,0.28603570566425807
inventions,intentions,person_3122,изобретения,намерения,Russian,RN,ru,0.40509833080060464
think,see,person_3122,думаю,видеть,Russian,RV,ru,0.6051705665453554
talk,say,person_3122,говорить,сказать,Russian,RV,ru,0.2669324022897041
create,make,person_3122,создать,сделать,Russian,RV,ru,0.5589226161696901
have,take,person_3122,иметь,принять,Russian,RV,ru,0.5132989352527688
allows,makes,person_3122,позволяет,делает,Russian,RV,ru,0.5200878266194306
where,wherever,person_3122,где,где,Russian,RY,ru,0.6212525287640613
ago,before,person_3122,назад,раньше,Russian,RY,ru,0.4342506129370873
light,life,person_3122,свет,жизни,Russian,RN,ru,0.3852160578871018
will,can,person_3034,будет,может,Russian,RV,ru,0.7494176013174767
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN,ru,0.4770515028336943
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN,ru,0.4770515028336943
special,particular,person_3034,специальные,частности,Russian,RJ,ru,0.6409140476508692
small,little,person_1562,küçük,küçük,Turkish,RJ,tr,0.5627663779012306
had,made,person_1562,vardı,yapılan,Turkish,RV,tr,0.5575183724265862
damp,moist,person_2135,nemli,nemli,Turkish,RJ,tr,0.5861480214873243
inadequate,insufficient,person_2135,yetersiz,yetersiz,Turkish,RJ,tr,0.7277981477175233
room,place,person_2419,oda,yer,Turkish,RN,tr,0.41279006967983195
patience,patient,person_2419,sabır,hasta,Turkish,RN,tr,0.4257641368636632
difficult,complicated,person_519,zor,karmaşık,Turkish,RJ,tr,0.6275295568026045
would,should,person_519,cekti,gerekir,Turkish,RV,tr,0.7767642166785615
spoiled,fell,person_519,şımart,düştü,Turkish,RV,tr,0.3893188131647576
cause,be,person_519,neden,olmak,Turkish,RV,tr,0.4761731681821436
problem,trouble,person_519,sorun,bela,Turkish,RN,tr,0.5775269310236653
makes,puts,person_125,yapar,koyar,Turkish,RV,tr,0.5644526117900024
should,must,person_1858,gerekir,gerekir,Turkish,RV,tr,0.7765339609957794
should,may,person_1858,gerekir,mayıs,Turkish,RV,tr,0.7630977860452268
shown,performed,person_1858,gösterilen,gerçekleştirilen,Turkish,RV,tr,0.5384712998516923
last,lost,person_1858,son,kaybetti,Turkish,RJ,tr,0.44603072352907425
want,went,person_1858,istediği,gitti,Turkish,RV,tr,0.43822516526250177
international,internal,person_2565,dünya,iç,Turkish,RJ,tr,0.598218440408329
nowadays,today,person_2565,günümüzde,bugün,Turkish,RY,tr,0.5840833744513126
met,got,person_2565,tanış,var,Turkish,RV,tr,0.45339771237023263
love,lovers,person_2565,aşk,severler,Turkish,RN,tr,0.588949344826837
stars,starts,person_955,yıldız,başlar,Turkish,RN,tr,0.360826942401148
do,make,person_955,yapmak,yapmak,Turkish,RV,tr,0.5861963999957747
well,good,person_955,iyi,iyi,Turkish,RJ,tr,0.5689576321098129
come,go,person_955,gel,gitmek,Turkish,RV,tr,0.680283608940724
clean,clear,person_955,temiz,temizleyin,Turkish,RJ,tr,0.5097233906557035
worth,worthy,person_558,değer,layık,Turkish,RJ,tr,0.6194379638541987
acquainted,used,person_558,tanımak,kullanılan,Turkish,RJ,tr,0.4514596003661688
view,find,person_558,görünümü,bul,Turkish,RV,tr,0.4305784339751078
progress,go,person_558,ilerleye,gitmek,Turkish,RV,tr,0.43429825693374563
course,class,person_558,kursu,sınıf,Turkish,RN,tr,0.5308935316839566
attended,joined,person_1816,katıldı,katıldı,Turkish,RV,tr,0.48618346488036723
were,made,person_1816,edildi,yapılan,Turkish,RV,tr,0.5519640139633797
sore,sour,person_1816,boğaz,ekşi,Turkish,RJ,tr,0.3944239878034339
