l1,type,i,c,id,l1_i,l1_c
Russian,RY,Then,Also,person_1003,затем,Также
Russian,RY,Then,Also,person_1003,затем,Также
Russian,RV,make,have,person_1003,делать,иметь
Russian,RV,stay,wait,person_1003,остаться,Подождите
Russian,RN,territory,premises,person_1003,территория,предпосылки
Korean,RV,wish,hope,person_556,소원,기대
Japanese,RN,points,improvements,person_740,ポイント,改良点
Catalan,RN,thing,way,person_2132,cosa,camí
Catalan,RY,faithfully,sincerely,person_2132,fidelment,sincerament
Catalan,RJ,economical,financial,person_2132,econòmic,financera
Catalan,RN,freedom,independence,person_2132,llibertat,independència
Catalan,RV,be,do,person_2132,ser,fer
Catalan,RY,anyway,however,person_2132,De tota manera,malgrat això
Catalan,RV,achieve,catch,person_2132,aconseguir,atrapar
Catalan,RV,prepare,organise,person_2132,preparar,organitzar
Catalan,RJ,profitable,useful,person_1349,aprofitable,útil
Catalan,RV,offer,invite,person_1349,oferta,convidar
Catalan,RV,recommend,ask,person_1349,recomano,preguntar
Catalan,RJ,amazed,thrilled,person_1349,sorprès,emocionat
Catalan,RY,faithfully,sincerely,person_1349,fidelment,sincerament
Catalan,RY,specially,especially,person_1349,especialment,especialment
Catalan,RV,should,would,person_1349,hauria,ho faria
Russian,RY,Besides,Also,person_350,Кроме того,Также
Russian,RJ,fantastic,fantastical,person_350,фантастика,фантастический
Russian,RJ,fantastic,fantastical,person_350,фантастика,фантастический
Turkish,RN,place,room,person_2419,yer,oda
Turkish,RN,attractions,events,person_2419,konumlar,olaylar
Turkish,RN,possibilities,opportunities,person_2419,olasılıklar,fırsatlar
Turkish,RN,patient,patience,person_2419,hasta,sabır
Turkish,RJ,complicated,difficult,person_519,karmaşık,zor
Turkish,RV,should,would,person_519,meli,olur
Turkish,RV,fell,spoiled,person_519,düştü,şımarık
Turkish,RV,expend,extend,person_519,tüketmek,uzatmak
Turkish,RV,be,cause,person_519,olmak,sebeb olmak
Turkish,RN,trouble,problem,person_519,sorun,sorun
Russian,RV,make,have,person_257,делать,иметь
Russian,RV,could,wanted,person_257,мог,в розыске
Russian,RV,knew,learned,person_257,знал,научился
Russian,RN,job,work,person_257,работа,Работа
Russian,RV,tell,talk,person_257,сказать,говорить
Italian,RV,make,let,person_531,rendere,permettere
Italian,RV,know,hear,person_531,conoscere,sentire
Italian,RV,chance,change,person_531,opportunità,modificare
Italian,RY,also,even,person_518,anche,anche
Italian,RN,edition,festival,person_518,edizione,Festival
Korean,RV,willing,wanting,person_1298,자발적인,이 없이
Korean,RV,putting,imposing,person_1298,퍼팅,인상적인
Japanese,RV,got,was,person_2168,得た,だった
Japanese,RN,teacher,tutor,person_2168,先生,家庭教師
Japanese,RN,payment,pay,person_2168,支払い,支払う
Japanese,RJ,less,little,person_2168,もっと少なく,ちょっと
Japanese,RN,teachers,tutors,person_2168,先生,チューター
Korean,RJ,classic,classical,person_134,권위 있는,고전
Korean,RV,can,will,person_134,양철통,의지
Korean,RV,get,have,person_134,도망,있다
Russian,RY,so,very,person_1852,так,очень
Russian,RJ,far,faraway,person_1852,далеко,далеко
Russian,RY,too,very,person_1852,тоже,очень
Russian,RJ,common,ordinary,person_1852,общий,обычный
Russian,RV,have,get,person_1852,иметь,получить
Russian,RV,make,create,person_1852,делать,Создайте
French,RV,written,said,person_2340,écrit,m'a dit
French,RV,put,have,person_2340,mettre,avoir
French,RJ,fit,well,person_2340,en forme,bien
French,RV,say,stay,person_2340,dire,rester
Italian,RJ,little,small,person_122,poco,piccolo
Italian,RN,prize,price,person_122,premio,prezzo
Italian,RY,only,just,person_122,solo,appena
Italian,RY,soon,quickly,person_122,presto,velocemente
Italian,RV,took,got,person_122,ha preso,avuto
Catalan,RN,Starts,Stars,person_1305,Comença,Estrelles
Catalan,RV,spent,had,person_1305,gastat,tenia
Catalan,RV,told,asked,person_1305,va dir,preguntat
Catalan,RJ,hard,difficult,person_1305,dur,difícil
Japanese,RN,attendance,regard,person_724,出席,尊敬する
Japanese,RV,express,give,person_724,表現する,与える
Japanese,RJ,few,small,person_724,少ない,小さい
Japanese,RV,rebuild,build,person_724,再構築する,造る
Japanese,RJ,grateful,happy,person_724,感謝する,ハッピー
Japanese,RV,like,want,person_724,好き,欲しいです
Japanese,RJ,fine,well,person_724,罰金,よく
Japanese,RV,turn,change,person_724,順番,変化する
Japanese,RN,blows,brows,person_724,吹く,眉
Japanese,RV,we've,we're,person_724,私たちは,私たちは
French,RJ,beautiful,wonderful,person_2779,belle,merveilleux
French,RY,faithfully,sincerely,person_2779,fidèlement,Cordialement
French,RY,even,also,person_2779,même,également
French,RJ,casual,ordinary,person_2779,décontractée,ordinaire
French,RV,could,would,person_123,pourrait,aurait
French,RJ,least,last,person_123,moins,dernier
French,RY,faithfully,sincerely,person_123,fidèlement,Cordialement
French,RV,can,might,person_123,pouvez,pourrait
French,RN,legs,feet,person_123,jambes,pieds
French,RV,could,would,person_123,pourrait,aurait
French,RN,polite,politeness,person_123,poli,politesse
Polish,RJ,exciting,excited,person_453,ekscytujący,podekscytowany
Polish,RN,planes,plans,person_453,samoloty,plany
Polish,RV,have,get,person_453,mieć,dostać
Polish,RN,Mr,Mrs,person_251,Pan,Pani
Polish,RN,viewers,audience,person_251,widzowie,publiczność
Polish,RV,make,offer,person_251,robić,oferta
Polish,RV,make,play,person_251,robić,grać
Polish,RN,word,world,person_251,słowo,świat
Polish,RV,make,have,person_251,robić,mieć
Polish,RY,privacy,personally,person_251,Prywatność,osobiście
Polish,RN,Mr,Mrs,person_251,Pan,Pani
Polish,RV,get,hear,person_251,dostać,słyszeć
Polish,RV,meant,mentioned,person_251,Oznaczało,wzmiankowany
Japanese,RV,does,is,person_250,する,です
Japanese,RV,must,will,person_250,しなければならない,意志
Japanese,RY,faithfully,sincerely,person_250,忠実に,心から
Chinese (Traditional),RV,may,might,person_454,可以,威力
Chinese (Traditional),RV,got,had,person_454,拿到,有
Chinese (Traditional),RN,bother,brother,person_454,煩,哥哥
Italian,RV,had,were,person_483,aveva,erano
Italian,RN,way,method,person_483,modo,metodo
Japanese,RV,suggest,make,person_124,提案する,作る
Japanese,RV,enter,contain,person_124,入る,含む
Japanese,RV,prefer,like,person_124,好む,好き
Japanese,RY,very,really,person_124,非常に,本当に
Japanese,RY,quick,quickly,person_124,速い,早く
Japanese,RV,keep,get,person_124,キープ,取得する
Japanese,RV,picked,carried,person_124,選んだ,運ばれる
Korean,RY,so,very,person_284,그래서,대단히
Korean,RJ,stuffy,suffocated,person_284,지저분한,질식 한
Korean,RJ,various,varied,person_284,여러,변화 있는
Korean,RY,so,very,person_284,그래서,대단히
Korean,RY,so,very,person_284,그래서,대단히
Korean,RY,so,very,person_284,그래서,대단히
Korean,RN,county,country,person_284,군,국가
Korean,RN,place,location,person_284,장소,위치
Turkish,RV,puts,makes,person_125,koyar,markaları
Turkish,RY,everywhere,anywhere,person_125,her yerde,herhangi bir yer
Japanese,RN,work,working,person_455,作業,ワーキング
Japanese,RV,care,worry,person_455,ケア,心配
Japanese,RY,Therefore,Then,person_455,だから,それから
Japanese,RN,hire,hair,person_455,雇う,ヘア
Turkish,RV,must,should,person_1858,şart,meli
Turkish,RV,may,should,person_1858,Mayıs ayı,meli
Turkish,RY,so,very,person_1858,yani,çok
Turkish,RY,so,very,person_1858,yani,çok
Turkish,RV,performed,shown,person_1858,gerçekleştirilen,gösterilen
Turkish,RJ,lost,last,person_1858,kayıp,son
Turkish,RV,went,want,person_1858,gitti,istemek
Russian,RV,visited,attended,person_458,посетил,участие
Russian,RN,county's,country's,person_458,округа,страны
Russian,RV,suppose,think,person_458,предполагать,считать
Russian,RV,done,made,person_458,сделанный,сделал
Russian,RV,may,could,person_458,может,мог
Russian,RN,amount,number,person_458,количество,число
Italian,RN,starts,stars,person_935,inizia,stelle
Italian,RN,possibility,opportunity,person_935,possibilità,opportunità
Italian,RJ,classic,classical,person_935,classico,classico
Italian,RN,possibility,opportunity,person_935,possibilità,opportunità
Italian,RV,give,make,person_935,dare,rendere
Italian,RV,could,should,person_935,poteva,dovrebbero
Italian,RV,prefer,want,person_935,preferire,volere
Chinese (Traditional),RY,before,ago,person_504,之前,前
Chinese (Traditional),RV,play,have,person_504,玩,有
Chinese (Traditional),RN,brake,break,person_504,制動,打破
Chinese (Traditional),RV,try,succeed,person_504,嘗試,成功
Chinese (Traditional),RV,take,make,person_504,採取,使
Turkish,RJ,Internal,International,person_2565,İç,Uluslararası
Turkish,RY,today,nowadays,person_2565,bugün,şu günlerde
Turkish,RV,got,met,person_2565,var,met
Turkish,RV,Are,Do,person_2565,Are,Yap
Turkish,RN,Lovers,Love,person_2565,Aşıklar,Aşk
Spanish,RV,go,come,person_506,ir,ven
Spanish,RJ,thankful,grateful,person_506,agradecido,agradecido
Spanish,RV,fit,suit,person_506,ajuste,traje
Polish,RJ,great,careful,person_1331,świetny,ostrożny
Polish,RV,lessen,reduce,person_1331,zmniejszać,redukować
Polish,RN,home,house,person_1331,Dom,dom
Polish,RY,already,now,person_1331,już,teraz
Russian,RV,seen,attended,person_1494,видели,участие
Russian,RV,making,holding,person_1494,изготовление,держа
Russian,RV,go,got,person_1494,идти,получил
Korean,RV,supposed,expected,person_472,가정의,예상 한
Korean,RV,making,organising,person_472,만들기,조직
Japanese,RV,have,hold,person_2563,持ってる,ホールド
French,RV,make,have,person_107,faire,avoir
French,RY,very,absolutely,person_107,très,absolument
French,RV,make,hold,person_107,faire,tenir
French,RY,faithfully,sincerely,person_107,fidèlement,Cordialement
French,RV,took,went,person_107,a pris,est allé
French,RV,close,lock,person_107,Fermer,fermer à clé
French,RV,close,lock,person_107,Fermer,fermer à clé
French,RV,didn't,couldn't,person_107,n'a pas,ne pouvait pas
French,RV,make,do,person_107,faire,faire
French,RV,Offering,Giving,person_477,Offre,Donnant
French,RN,angle,angel,person_477,angle,ange
French,RV,bring,take,person_477,apporter,prendre
French,RV,express,describe,person_461,Express,décrire
French,RN,enjoyment,fun,person_461,jouissance,amusement
French,RJ,next,last,person_461,suivant,dernier
French,RV,have,happen,person_461,avoir,se produire
French,RN,attractions,events,person_461,attractions,événements
French,RN,space,size,person_461,espace,Taille
French,RV,have,be,person_461,avoir,être
French,RY,then,so,person_461,puis,alors
French,RN,lessons,school,person_461,cours,école
Polish,RV,can,like,person_2171,mogą,lubić
Polish,RY,only,just,person_2171,tylko,właśnie
Polish,RV,supposed,hope,person_2171,domniemany,nadzieja
Polish,RV,hoe,hope,person_2171,motyka,nadzieja
Polish,RN,price,ticket,person_2171,Cena £,bilet
Polish,RV,believe,hope,person_2171,uwierzyć,nadzieja
Polish,RV,have,must,person_2171,mieć,musi
Polish,RV,make,do,person_2171,robić,robić
Polish,RN,paper,note,person_2171,papier,Uwaga
Spanish,RV,perform,show,person_514,realizar,espectáculo
Spanish,RN,mates,schoolmates,person_514,compañeros,compañeros de escuela
Spanish,RY,about,round,person_514,acerca de,redondo
Spanish,RN,moments,time,person_266,momentos,hora
Spanish,RV,passed,had,person_266,pasado,tenía
Spanish,RV,paid,bought,person_266,pagado,compró
Spanish,RV,make,booking,person_266,hacer,reserva
Spanish,RV,concurred,attended,person_266,concurrió,asistió
Spanish,RV,have,am,person_266,tener,a.m
Spanish,RV,wouldn't,don't,person_266,no lo haría,no hacer
Spanish,RV,make,do,person_266,hacer,hacer
Polish,RV,mentioned,said,person_1874,wzmiankowany,powiedziany
Chinese (Traditional),RV,made,allowed,person_605,製作,允許
Chinese (Traditional),RV,enlarged,broadening,person_605,放大,擴大
Chinese (Traditional),RV,made,meant,person_605,製作,意味著
Chinese (Traditional),RV,show,have,person_605,節目,有
Chinese (Traditional),RV,achieve,have,person_605,實現,有
Chinese (Traditional),RV,hearing,receiving,person_605,聽力,接收
French,RY,faithfully,sincerely,person_2739,fidèlement,Cordialement
French,RV,have,get,person_2739,avoir,obtenir
Japanese,RJ,greater,better,person_599,大きい,より良い
Japanese,RV,you've,you're,person_599,あなたは,あなたは
Japanese,RN,fan,fun,person_599,ファン,楽しい
French,RN,camping,campsite,person_2666,camping,camping
French,RY,specially,especially,person_2666,spécialement,notamment
French,RN,life,living,person_2666,la vie,vivant
Turkish,RN,starts,stars,person_955,başlar,yıldızlar
Turkish,RY,on,out,person_955,üzerinde,dışarı
Turkish,RV,make,do,person_955,Yapmak,yap
Turkish,RJ,good,well,person_955,iyi,iyi
Turkish,RV,go,come,person_955,gitmek,Hadi
Turkish,RJ,clear,clean,person_955,açık,temiz
Polish,RV,express,explain,person_1233,wyrazić,wyjaśniać
Polish,RN,counties,countries,person_1233,powiaty,kraje
Polish,RN,show,display,person_1233,pokazać,pokaz
Polish,RV,occur,be,person_1233,pojawić się,być
Polish,RN,boots,shoes,person_1233,buty,buty
Polish,RJ,crucial,important,person_1233,istotny,ważny
Polish,RV,goes,comes,person_1233,idzie,pochodzi
Polish,RY,However,Furthermore,person_1233,jednak,Ponadto
Polish,RJ,least,latest,person_1233,najmniej,najnowszy
Polish,RJ,special,particular,person_1233,specjalny,szczególny
Polish,RN,boots,shoes,person_1233,buty,buty
French,RN,place,space,person_969,endroit,espace
French,RN,possibility,chance,person_969,possibilité,chance
French,RV,let,park,person_969,laisser,parc
French,RN,nature,countryside,person_969,la nature,campagne
French,RV,had,spoke,person_969,eu,parlait
Turkish,RJ,worthy,worth,person_558,layık,değer
Turkish,RJ,used,acquainted,person_558,Kullanılmış,tanışık
Turkish,RY,Sincerely,faithfully,person_558,İçtenlikle,dürüstçe
Turkish,RV,find,view,person_558,bulmak,görünüm
Turkish,RV,go,progress,person_558,gitmek,ilerleme
Turkish,RN,class,course,person_558,sınıf,kurs
Korean,RV,providing,arranging,person_571,제공하는,배열
Korean,RV,help,offer,person_571,도움,제공
Korean,RV,developed,organised,person_571,개발 된,조직 된
Korean,RV,spent,done,person_571,지출하다,끝난
French,RV,offer,organise,person_954,offre,organiser
French,RJ,outside,outdoor,person_954,à l'extérieur,de plein air
French,RV,create,provide,person_954,créer,fournir
French,RN,course,class,person_954,cours,classe
French,RV,have,take,person_954,avoir,prendre
French,RV,be,take,person_954,être,prendre
Chinese (Traditional),RN,accessories,jewellery,person_1550,飾品,首飾
Chinese (Traditional),RV,make,have,person_1550,使,有
Portuguese,RY,still,even,person_575,ainda,até
Portuguese,RV,have,provide,person_575,ter,providenciar
Portuguese,RV,know,teach,person_575,conhecer,Ensinar
Portuguese,RN,addictions,addition,person_575,vícios,Adição
Portuguese,RV,hope,believe,person_575,esperança,acreditam
Portuguese,RN,notices,news,person_575,avisos,notícia
Japanese,RV,brought,took,person_549,持ってきた,取った
Japanese,RV,met,received,person_549,会った,受け取った
Korean,RJ,proper,normal,person_1008,적절한,표준
Korean,RN,audiences,attendees,person_1008,관객,참석자
Korean,RV,do,prefer,person_1008,해야 할 것,취하다
French,RV,making,organising,person_1579,fabrication,organiser
French,RJ,good,great,person_1579,bien,génial
French,RV,have,get,person_1579,avoir,obtenir
French,RV,give,offer,person_1579,donner,offre
French,RV,pay,buy,person_1579,Payer,acheter
French,RV,seeing,attending,person_1579,voyant,assister
French,RV,make,do,person_1579,faire,faire
French,RJ,just,fair,person_1579,juste,juste
Turkish,RY,nearly,almost,person_1816,neredeyse,neredeyse
Turkish,RV,joined,attended,person_1816,katıldı,katıldı
Turkish,RV,made,were,person_1816,yapılmış,idi
Turkish,RJ,sour,sore,person_1816,Ekşi,Boğaz
Turkish,RN,application,idea,person_1816,uygulama,Fikir
Turkish,RY,nice,reasonably,person_1816,Güzel,oldukça
Turkish,RV,making,holding,person_1816,yapma,tutma
Turkish,RN,art,arts,person_1816,Sanat,sanat
Turkish,RV,get,understand,person_1816,almak,anlama
Catalan,RV,found,think,person_1433,trobat,pensar
Catalan,RJ,following,future,person_1433,següent,futur
Catalan,RN,editions,years,person_1433,edicions,anys
Catalan,RN,starts,stars,person_1433,comença,estrelles
Catalan,RV,may,could,person_1433,pot,podria
Catalan,RJ,short,reduced,person_1433,curt,reduït
Catalan,RV,can,might,person_1433,llauna,potser
Catalan,RV,set,arrange,person_1433,conjunt,organitzar
Catalan,RN,prize,price,person_1433,premi,preu
Catalan,RN,shelter,shepherd,person_1433,refugi,pastor
Catalan,RV,decided,said,person_1433,va decidir,dit
Catalan,RV,went,came,person_1433,va anar,va venir
Catalan,RV,say,tell,person_1433,dir,dir
Polish,RV,refers,goes,person_1235,odnosi się,idzie
Polish,RV,would,could,person_1235,by,mógłby
French,RJ,good,excellent,person_238,bien,excellent
French,RJ,wise,clever,person_238,sage,intelligent
French,RN,noise,nose,person_238,bruit,nez
Korean,RN,amusing,entertaining,person_2265,즐거움,재미있는
Korean,RV,bring,take,person_2265,가져오다,갖다
Spanish,RV,assist,attend,person_211,ayudar,asistir
Spanish,RV,win,save,person_211,ganar,salvar
Spanish,RV,cheat,deceive,person_211,engañar,engañar
Spanish,RV,call,invite,person_211,llamada,invitación
Spanish,RY,Faithfully,Sincerely,person_211,Fielmente,Sinceramente
Spanish,RY,only,just,person_211,solamente,sólo
Spanish,RY,previously,beforehand,person_211,previamente,antemano
Catalan,RN,cooker,cook,person_1832,cuina,cuinar
Catalan,RN,cost,coast,person_1832,cost,Costa
Catalan,RN,bath,swim,person_1832,bany,nedar
Catalan,RV,come,go,person_1832,veniu,anar
Catalan,RV,robbed,stolen,person_1832,robat,robat
Catalan,RV,explained,told,person_1832,explicat,va dir
Catalan,RN,character,actor,person_1826,personatge,actor
Catalan,RV,advertisement,advertising,person_1826,publicitat,publicitat
Catalan,RN,prize,price,person_1826,premi,preu
Catalan,RN,cooker,cook,person_1826,cuina,cuinar
Catalan,RV,explain,tell,person_1826,explica,dir
Catalan,RV,explained,told,person_1826,explicat,va dir
Catalan,RN,fact,event,person_1826,fet,esdeveniment
Catalan,RV,explain,tell,person_1826,explica,dir
Catalan,RY,actually,eventually,person_1826,en realitat,eventualment
Catalan,RV,would,could,person_1826,ho faria,podria
Catalan,RY,completely,very,person_1826,completament,molt
Catalan,RV,discovering,revealing,person_1826,descobrint,revelador
Turkish,RJ,complete,full,person_1198,tamamlayınız,tam
Turkish,RN,money,price,person_1198,para,fiyat
Turkish,RJ,close,small,person_1198,kapat,küçük
Turkish,RY,However,Next,person_1198,ancak,Sonraki
Turkish,RJ,unhappy,miserable,person_1198,mutsuz,sefil
Turkish,RY,back,away,person_1198,geri,uzakta
Turkish,RN,memory,thing,person_1198,bellek,şey
Turkish,RN,checker,gauge,person_1198,denetleyicisi,ölçü
Turkish,RV,take,make,person_1198,almak,Yapmak
Italian,RV,had,should,person_2491,aveva,dovrebbero
Italian,RV,had,would,person_2491,aveva,voluto
Italian,RY,forever,ever,person_2491,per sempre,mai
Spanish,RV,presenting,showing,person_397,presentación,demostración
Spanish,RV,felling,feeling,person_397,talar,sensación
Spanish,RV,solve,resolve,person_397,resolver,resolver
French,RJ,bad,inaccurate,person_383,mal,inexacte
French,RV,went,came,person_383,est allé,venu
French,RN,return,response,person_383,revenir,réponse
French,RV,let,left,person_383,laisser,la gauche
French,RN,morality,moral,person_383,moralité,moral
Catalan,RY,correctly,properly,person_2687,correctament,correctament
Catalan,RN,fault,failing,person_2687,falta,fallant
Catalan,RN,point,thing,person_2687,punt,cosa
Catalan,RV,came,went,person_2687,va venir,va anar
Catalan,RN,possibility,opportunity,person_2687,possibilitat,oportunitat
Catalan,RV,said,told,person_2687,dit,va dir
Catalan,RN,necessities,needs,person_2687,necessitats,necessitats
Italian,RN,servants,waiters,person_1417,servitori,camerieri
Italian,RN,prize,price,person_1417,premio,prezzo
Italian,RY,deeply,profoundly,person_1417,profondamente,profondamente
Italian,RN,help,helper,person_1417,Aiuto,aiutante
Italian,RN,personality,way,person_1417,personalità,modo
Spanish,RY,too,also,person_803,también,además
Spanish,RV,do,give,person_803,hacer,dar
Spanish,RV,increase,continue,person_803,incrementar,continuar
Turkish,RV,play,star,person_1359,oyun,star
Turkish,RV,played,starred,person_1359,Oyunun,yıldızlı
Turkish,RV,saw,had,person_1359,testere,vardı
Turkish,RV,gave,paid,person_1359,verdi,ücretli
Turkish,RN,FAULT,MISTAKE,person_1359,HATA,HATA
Turkish,RN,fault,mistake,person_1359,arıza,hata
Turkish,RV,gave,tell,person_1359,verdi,söylemek
Swedish,RV,must,would,person_778,måste,skulle
Swedish,RV,become,was,person_778,bli,var
Swedish,RV,should,would,person_778,skall,skulle
Swedish,RN,leakage,leak,person_778,läckage,läcka
Swedish,RV,fulfill,realise,person_778,uppfylla,inse
Korean,RV,playing,performing,person_1588,연주하다,실행할 수 있는
Korean,RY,highly,greatly,person_1588,고도로,매우
Korean,RV,became,started,person_1588,되었다,시작한
Russian,RJ,WRONG,FALSE,person_546,НЕПРАВИЛЬНО,ЛОЖНЫЙ
Russian,RN,actors,cast,person_546,актеры,бросать
Russian,RV,play,appear,person_546,играть,появиться
Russian,RJ,included,enclosed,person_546,включены,закрытый
Russian,RJ,convenient,helpful,person_546,удобный,полезный
Russian,RV,deliver,take,person_546,доставить,принимать
Spanish,RV,play,appear,person_2297,jugar,Aparecer
Spanish,RV,permits,allows,person_2297,permisos,permite
Spanish,RV,permit,allow,person_2297,permiso,permitir
Spanish,RV,gives,creates,person_2297,da,crea
Spanish,RV,sell,serve,person_1952,vender,servir
Spanish,RY,when,where,person_1952,cuando,dónde
Catalan,RV,EXPLAIN,DESCRIBE,person_2268,EXPLICA,DESCRIBE
Catalan,RV,SPEND,HAVE,person_2268,GASTAR,TENIU
Catalan,RV,PUBLISHED,SUGGESTED,person_2268,PUBLICAT,SUGGERIT
Catalan,RJ,SERIOUS,PROFESSIONAL,person_2268,SERI,PROFESSIONAL
Catalan,RV,explained,told,person_2268,explicat,va dir
Catalan,RV,have,get,person_2268,tenir,aconseguir
Catalan,RY,more,anymore,person_2268,més,més
Catalan,RY,NO,NOT,person_2268,NO,NO
German,RN,points,reasons,person_1775,Punkte,Gründe dafür
German,RV,play,appear,person_1775,abspielen,erscheinen
German,RN,room,auditorium,person_1775,Zimmer,Auditorium
German,RJ,short,small,person_1775,kurz,klein
German,RV,taking,getting,person_1775,nehmen,bekommen
German,RJ,big,large,person_1775,groß,groß
German,RV,will,want,person_1775,werden,wollen
Polish,RN,entertainment,show,person_585,zabawa,pokazać
Polish,RV,suspected,expected,person_585,podejrzany,spodziewany
Polish,RV,meet,find,person_585,spotykać się,odnaleźć
Polish,RN,possibility,opportunity,person_585,możliwość,okazja
Polish,RJ,common,ordinary,person_585,pospolity,zwyczajny
Polish,RV,omit,avoid,person_585,pomijać,uniknąć
Turkish,RV,written,advertised,person_2241,yazılı,reklamı
Turkish,RV,play,pay,person_2241,oyun,ödeme
Turkish,RV,wear,go,person_2241,giyinmek,gitmek
German,RV,passed,spent,person_235,bestanden,verbraucht
German,RV,visit,see,person_235,Besuch,sehen
German,RV,thought,expected,person_235,habe gedacht,erwartet
German,RN,question,request,person_235,Frage,anfordern
German,RV,have,would,person_235,haben,würde
German,RY,nearly,almost,person_235,fast,fast
German,RV,had,would,person_235,hätten,würde
German,RV,was,had,person_235,war,hätten
Russian,RV,seat,sit,person_2296,сиденье,сидеть
Russian,RV,turn,change,person_2296,очередь,менять
Russian,RV,chances,channels,person_2296,шансы,каналы
Russian,RV,stop,prevent,person_2296,стоп,предотвращать
Catalan,RV,move,get,person_2725,moure's,aconseguir
Catalan,RY,everywhere,anywhere,person_2725,a tot arreu,on sigui
Catalan,RV,know,get,person_2725,sapigueu,aconseguir
Catalan,RY,much,very,person_2725,molt,molt
Spanish,RN,pace,place,person_1238,paso,lugar
Spanish,RN,thing,aspect,person_1238,cosa,aspecto
Spanish,RN,things,consequences,person_1238,cosas,Consecuencias
Spanish,RV,make,give,person_2731,hacer,dar
Spanish,RV,arrived,go,person_2731,llegado,ir
Spanish,RV,spend,had,person_2731,gastar,tenía
Spanish,RN,comprehension,understanding,person_2731,comprensión,comprensión
Spanish,RY,out,away,person_2731,afuera,lejos
Spanish,RV,arrived,returned,person_2731,llegado,devuelto
Polish,RY,absolutely,really,person_2123,absolutnie,naprawdę
Polish,RJ,current,present-day,person_2123,obecny,dzień dzisiejszy
Polish,RV,going,walking,person_2123,chodzenie,pieszy
Polish,RV,should,will,person_2123,powinien,będzie
Polish,RV,get,go,person_2123,dostać,udać się
Polish,RV,predict,guess,person_2123,"przepowiadać, wywróżyć",odgadnąć
Greek,RV,told,said,person_816,είπα,είπε
Greek,RV,destroyed,ruined,person_816,καταστράφηκε από,ξεπεσμένος
Greek,RV,starts,stars,person_2679,ξεκινά,αστέρια
Greek,RV,started,starred,person_2679,ξεκίνησε,αστερόεις
Greek,RV,writes,says,person_2679,γράφει,λέει
Greek,RV,get,feel,person_2679,παίρνω,αφή
