c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,l2_sim_wiki_5,l2_sim_wiki_10,l2_sim_wiki_25,l2_sim_wiki_50,l2_sim_wiki_75,l2_sim_wiki_100,l2_sim_polyglot_5,l2_sim_polyglot_10,l2_sim_polyglot_25,l2_sim_polyglot_50,l2_sim_polyglot_75,l2_sim_polyglot_100,l1_sim_polyglot_5,l1_sim_polyglot_10,l1_sim_polyglot_25,l1_sim_polyglot_50,l1_sim_polyglot_75,l1_sim_polyglot_100
especially,specially,person_1349,especialment,especialment,Catalan,RY,ca,0.3421987891197205,0.3366724848747253,0.2956363558769226,0.2686932384967804,0.2626763582229614,0.2625589668750763,0.8270228505134583,0.7514426708221436,0.6767886281013489,0.6352691650390625,0.6150892376899719,0.602047324180603,0.15365742146968842,0.15379394590854645,0.1389886736869812,0.12332379817962645,0.1122138649225235,0.10656371712684633,0.5586139559745789,0.5395940542221069,0.5254895091056824,0.5352972149848938,0.5334495902061462,0.5280632972717285,0.8306034207344055,0.7971232533454895,0.7584814429283142,0.721458375453949,0.6991431713104248,0.6817768812179565
catch,achieve,person_2132,atrapar,aconseguir,Catalan,RV,ca,0.128126859664917,0.12000373750925065,0.10145366191864014,0.10444144904613496,0.12045682221651074,0.12040624022483826,0.4839023053646088,0.4694525599479675,0.4487409889698029,0.4402937889099121,0.4365678429603577,0.4315135180950165,0.07311846315860747,0.09178872406482697,0.09678420424461363,0.08877262473106384,0.10082513839006424,0.1006297916173935,0.22086524963378906,0.1828879714012146,0.1985989660024643,0.21436309814453125,0.21845626831054688,0.22211891412734985,0.5795367956161499,0.5776722431182861,0.589290201663971,0.5980166792869568,0.5984668731689453,0.6021451950073242
organise,prepare,person_2132,organitzar,preparar,Catalan,RV,ca,0.3100088238716125,0.30137720704078674,0.2711850106716156,0.26524364948272705,0.2664849758148193,0.27022314071655273,0.5818263292312622,0.5860499143600464,0.5726567506790161,0.5534281730651855,0.5462121367454529,0.5380535721778871,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.7610594034194946,0.7581408023834229,0.763279914855957,0.7555184364318848,0.7438234090805054,0.7315200567245483,0.7846964597702026,0.8008018732070923,0.7923518419265747,0.7854651212692261,0.7776031494140625,0.77208012342453
useful,profitable,person_1349,útil,rendible,Catalan,RJ,ca,0.2680617570877075,0.2421391159296036,0.2343115955591201,0.21699246764183044,0.21345895528793327,0.21348679065704346,0.39587944746017456,0.4021760821342468,0.4167979955673218,0.4178534746170044,0.42709165811538696,0.418638288974762,0.20929989218711853,0.21031804382801056,0.1905480921268463,0.186076894402504,0.1880437433719635,0.18618465960025787,0.6718555688858032,0.6465610265731812,0.6254770159721375,0.6162471771240234,0.6082358360290527,0.5978434085845947,0.7771323919296265,0.7552326917648315,0.726448655128479,0.7089030742645264,0.6904335618019104,0.682759165763855
invite,offer,person_1349,convidar,oferir,Catalan,RV,ca,0.3684406578540802,0.3330797553062439,0.2999287843704224,0.28940391540527344,0.2729560136795044,0.2771205604076385,0.5470288991928101,0.5404398441314697,0.5320951938629149,0.5260665416717529,0.5153434276580809,0.5075258612632751,0.24177274107933044,0.2426105737686157,0.2182490825653076,0.2057097405195236,0.19791173934936526,0.19355712831020355,0.4889639616012573,0.4995731711387634,0.4877590537071228,0.4579673409461975,0.4469752013683319,0.4262706935405731,0.6086142659187317,0.6199632883071899,0.6197576522827148,0.6222981214523315,0.6222860813140869,0.6249263286590576
ask,recommend,person_1349,preguntar,recomanar,Catalan,RV,ca,0.3637067079544067,0.3318985104560852,0.32000380754470825,0.3079507350921631,0.293903648853302,0.28739821910858154,0.4443687200546265,0.44035452604293823,0.4075186848640442,0.3997945785522461,0.399225652217865,0.3989444077014923,0.3196544647216797,0.3074626326560974,0.2795974612236023,0.2776999175548553,0.2761953771114349,0.2757598161697388,0.673340916633606,0.7002329826354979,0.7013472318649292,0.6896826028823853,0.6881682872772217,0.6853888630867004,0.7530282735824585,0.7511618137359619,0.7372180223464966,0.7279375791549683,0.7233173847198486,0.7146007418632507
thrilled,amazed,person_1349,emocionat,sorprès,Catalan,RJ,ca,0.5732536911964417,0.5495057106018066,0.5309459567070007,0.5124518275260925,0.4956270456314087,0.4806841909885407,0.4776214361190796,0.4837663173675537,0.5140388607978821,0.487267017364502,0.479734480381012,0.4740582704544067,0.4991429150104522,0.4861152172088623,0.4682788252830506,0.4467654526233673,0.4418727755546569,0.4292543828487396,0.840722918510437,0.8292703628540039,0.8132129907608032,0.7857673168182373,0.7645903229713441,0.7489575147628784,0.5918183326721191,0.5730737447738647,0.5757154226303101,0.5643061399459839,0.5561940670013428,0.547610342502594
do,be,person_2132,fer,ser,Catalan,RV,ca,0.490425705909729,0.4794989228248596,0.4673749208450317,0.41761356592178345,0.4036070704460144,0.3929532766342163,0.489058643579483,0.45850670337677,0.4686210751533508,0.455548107624054,0.44969695806503296,0.4473116397857666,0.28008389472961426,0.2388737648725509,0.26602232456207275,0.27093935012817383,0.2677823603153229,0.2649233639240265,0.5248837471008301,0.4665082693099976,0.4462584257125855,0.4724034070968628,0.4696693420410156,0.4653580784797669,0.6893634796142578,0.692407488822937,0.6843562722206116,0.6769012212753296,0.6559953689575195,0.6500271558761597
sincerely,faithfully,person_1349,sincerament,fidelment,Catalan,RY,ca,0.34077179431915283,0.32544708251953125,0.3217964768409729,0.2979416847229004,0.2894834578037262,0.2768603563308716,0.2751428782939911,0.27590692043304443,0.2895409464836121,0.2899819612503052,0.2891799211502075,0.28911322355270386,0.33496326208114624,0.30807402729988104,0.2708606719970703,0.2648465633392334,0.26764702796936035,0.2606129050254822,0.6742517948150635,0.6800410747528076,0.6856324672698975,0.6841573715209961,0.6841802000999451,0.6877626180648804,0.5876960754394531,0.5876381397247314,0.5855390429496765,0.5744726657867432,0.5648456811904907,0.5630091428756714
would,should,person_1349,vols,hauria,Catalan,RV,ca,0.6448183655738831,0.6456886529922485,0.5800858736038208,0.5456504821777344,0.5286440849304199,0.526125431060791,0.3292457461357117,0.32962948083877563,0.3033053278923035,0.3048263192176819,0.30508095026016235,0.29791027307510376,0.6565874218940735,0.645989179611206,0.5430568456649779,0.4634038209915161,0.4341769814491272,0.4075725376605988,0.945266842842102,0.912072479724884,0.787673830986023,0.684158205986023,0.6315271258354187,0.5953176021575928,0.1480720341205597,0.1389942467212677,0.1283511519432068,0.1224917620420456,0.12093135714530945,0.12487360835075378
shepherd,shelter,person_1433,pastor,refugi,Catalan,RN,ca,0.266948401927948,0.2468413412570953,0.22541987895965576,0.22084298729896545,0.21654172241687766,0.21380746364593506,0.3003458976745605,0.28984659910202026,0.2744881510734558,0.2609424293041229,0.2544016242027283,0.2511467933654785,0.1499035656452179,0.14639326930046082,0.15989360213279724,0.16639220714569092,0.16756021976470947,0.16717974841594696,0.3658326268196106,0.3702401518821716,0.3644851446151733,0.3595248460769653,0.3542506694793701,0.3485558032989502,0.4231560230255127,0.44819989800453186,0.45762374997138977,0.438478946685791,0.4305773973464966,0.4299212694168091
price,prize,person_1826,preu,premi,Catalan,RN,ca,0.1822480261325836,0.18022014200687408,0.16955360770225525,0.16104277968406674,0.15076594054698944,0.14180898666381836,0.25147691369056696,0.2586205005645752,0.2441378235816956,0.2364605367183685,0.22353634238243106,0.21636143326759336,0.1066201478242874,0.09925580769777298,0.10235561430454254,0.0996401309967041,0.10164400190114976,0.09777985513210297,0.4862315654754639,0.4743323922157288,0.4954355955123901,0.485804557800293,0.4708588123321533,0.4689516425132752,0.46866846084594727,0.435067355632782,0.4602136015892029,0.4459461569786072,0.44040122628211975,0.428309828042984
difficult,hard,person_1305,difícil,dur,Catalan,RJ,ca,0.5845456123352051,0.5270010232925415,0.4601329565048218,0.4375099539756775,0.4285516142845154,0.4103453159332275,0.4311602711677551,0.41459500789642334,0.3934122025966644,0.3848101496696472,0.37907418608665466,0.3806396126747131,0.579876184463501,0.5091326832771301,0.4524754285812378,0.3818303942680359,0.3450625538825989,0.3277038931846619,0.5787228941917419,0.5342469215393066,0.5441247224807739,0.5396710634231567,0.535294234752655,0.5245106220245361,0.3340921700000763,0.31973427534103394,0.30398204922676086,0.2915727496147156,0.2868303656578064,0.2831452786922455
think,found,person_1433,pensar,trobat,Catalan,RV,ca,0.2630884647369385,0.23456722497940066,0.222431555390358,0.21507528424263,0.2205026596784592,0.2160658836364746,0.4346023797988892,0.4220147132873535,0.3988290727138519,0.4030523300170897,0.4081445336341858,0.4022049307823181,0.19283759593963626,0.1887021511793137,0.15402263402938846,0.1256365031003952,0.11305607855319975,0.10575956106185913,0.2846301794052124,0.27313578128814703,0.2609114050865173,0.2569551169872284,0.25263601541519165,0.2444809824228287,0.1924213021993637,0.18826693296432495,0.18643206357955933,0.1848386526107788,0.18080540001392365,0.17225000262260437
stars,starts,person_1433,estrelles,comença,Catalan,RN,ca,0.06822684407234192,0.06864172220230103,0.06554262340068817,0.06294573843479156,0.05911505967378616,0.05615207180380821,0.16840633749961853,0.16743043065071106,0.17743822932243347,0.17434877157211304,0.17303571105003354,0.17558661103248596,0.12234334647655487,0.10050490498542786,0.09805943071842194,0.1000889241695404,0.10347535461187364,0.10575374960899353,0.3367139995098114,0.3101090788841248,0.3062661290168762,0.30808424949646,0.30209922790527344,0.31234845519065857,-0.09558373689651489,-0.05271066725254059,-0.03738502785563469,-0.04163670539855957,-0.04057466238737106,-0.04000496864318848
could,may,person_1433,podria,maig,Catalan,RV,ca,0.6821067333221436,0.626814603805542,0.5362441539764404,0.4819058775901794,0.4582748413085938,0.4467732608318329,0.10666501522064208,0.10312232375144956,0.08243627846240997,0.06931554526090622,0.07091198861598969,0.0699106752872467,0.7754195928573608,0.6772161722183228,0.5405961275100708,0.4648891389369965,0.4269371628761292,0.4069085717201233,0.9504837989807128,0.9132813811302184,0.7762107849121094,0.6602444648742676,0.6075448989868164,0.5738807916641235,0.06864645332098007,0.05754133313894272,0.059885695576667786,0.06706104427576065,0.058490365743637085,0.05509202182292938
might,can,person_1433,podria,pot,Catalan,RV,ca,0.6796959638595581,0.6282963752746582,0.5628992319107056,0.5294984579086304,0.5095850229263306,0.4910375475883484,0.7584758996963501,0.696198046207428,0.6486886143684387,0.6191346645355225,0.6069895029067993,0.5982707142829895,0.6328171491622925,0.5446921586990356,0.5045977830886841,0.4445191621780396,0.4162750244140625,0.4022788405418396,0.92308247089386,0.9097844362258912,0.7617504000663757,0.6469446420669556,0.5944796800613403,0.5590825080871582,0.9078493118286133,0.8724398612976074,0.8307679891586304,0.7978257536888123,0.7703075408935547,0.752464771270752
arrange,set,person_1433,organitzar,establir,Catalan,RV,ca,0.19618213176727287,0.19088679552078247,0.1886642873287201,0.1869317591190338,0.183356374502182,0.18294233083724976,0.5262391567230225,0.5051040649414062,0.5025885701179504,0.4999573826789856,0.494455873966217,0.5027478337287903,0.18745140731334686,0.15023967623710632,0.14641526341438293,0.13614894449710846,0.12467290461063385,0.12042074650526048,0.05669385939836503,0.06199638918042182,0.05568631365895271,0.05032385513186455,0.04723853617906569,0.05034555867314339,0.8027100563049316,0.8018699884414673,0.7865983247756958,0.7829855680465698,0.7687352895736694,0.7613400816917419
had,spent,person_1305,havia,gastat,Catalan,RV,ca,0.3048818111419678,0.29782530665397644,0.2719617486000061,0.2682050466537476,0.27335262298583984,0.27408504486083984,0.3105123043060303,0.2965960204601288,0.3021699786186218,0.2793085277080536,0.27468818426132197,0.2767255902290344,0.08043169975280763,0.10227087140083313,0.09705567359924316,0.1184287965297699,0.12421904504299165,0.12433818727731705,0.40887099504470825,0.38899606466293335,0.38638100028038025,0.387319564819336,0.3721923232078552,0.3746291995048523,0.030463092029094696,0.05376746505498886,0.04899096488952637,0.05224741995334625,0.046607308089733124,0.042376331984996796
stars,starts,person_1305,estrelles,comença,Catalan,RN,ca,0.06822684407234192,0.06864172220230103,0.06554262340068817,0.06294573843479156,0.05911505967378616,0.05615207180380821,0.16840633749961853,0.16743043065071106,0.17743822932243347,0.17434877157211304,0.17303571105003354,0.17558661103248596,0.12234334647655487,0.10050490498542786,0.09805943071842194,0.1000889241695404,0.10347535461187364,0.10575374960899353,0.3367139995098114,0.3101090788841248,0.3062661290168762,0.30808424949646,0.30209922790527344,0.31234845519065857,-0.09558373689651489,-0.05271066725254059,-0.03738502785563469,-0.04163670539855957,-0.04057466238737106,-0.04000496864318848
came,went,person_1433,venia,anava,Catalan,RV,ca,0.7321411371231079,0.6577076315879822,0.6109225749969482,0.5761339664459229,0.551633358001709,0.5327784419059753,0.7575914859771729,0.7130489349365234,0.6572563648223877,0.6286050081253052,0.6171746253967285,0.6049675941467285,0.6168377995491028,0.5650584101676941,0.5139936208724976,0.482761412858963,0.4579070508480072,0.4427626132965088,0.842113196849823,0.8062025308609009,0.7380625009536743,0.6931484937667847,0.668531596660614,0.6554556488990784,0.7446866631507874,0.719163179397583,0.69382643699646,0.6786953210830688,0.6652909517288208,0.6543316841125488
tell,say,person_1433,dir,dir,Catalan,RV,ca,0.6465024948120117,0.5864979028701782,0.5321345329284668,0.4992541670799256,0.4838590025901794,0.4716316163539887,0.7525657415390015,0.7083917856216431,0.6674731373786926,0.6437463164329529,0.6309816241264343,0.6220219731330872,0.5638948082923889,0.5175262689590454,0.44167214632034296,0.4081564545631409,0.3942927420139313,0.3874724507331848,0.6401022672653198,0.6226513385772705,0.5943574905395508,0.5952818393707275,0.5834301114082336,0.5808451175689697,0.7642552256584167,0.7528601884841919,0.7324488759040833,0.712605893611908,0.699885904788971,0.6892848014831543
cook,cooker,person_1832,cuiner,cocció,Catalan,RN,ca,0.4868327081203461,0.485220193862915,0.480916291475296,0.4590902030467987,0.4472072720527649,0.4318282604217529,0.2572118043899536,0.2583264708518982,0.2723946869373321,0.29393014311790466,0.2858642339706421,0.28028932213783264,0.4898771941661834,0.4429945349693297,0.4200961887836456,0.4231535792350769,0.4233701229095459,0.417138397693634,0.2203187197446823,0.20197847485542295,0.19530878961086276,0.1632300317287445,0.15839846432209015,0.15569311380386353,0.08044024556875229,0.052123576402664185,0.04324478283524513,0.037858929485082626,0.03400183469057083,0.038674674928188324
coast,cost,person_1832,costa,cost,Catalan,RN,ca,0.06283867359161377,0.06013595312833786,0.06267624348402022,0.04975640028715134,0.05107221007347107,0.04728686809539795,0.19361642003059387,0.2021009624004364,0.2434479147195816,0.23092809319496155,0.2333146631717682,0.2276945263147354,0.059093110263347626,0.05140561610460282,0.04853181540966034,0.05968310683965682,0.059196438640356064,0.05685117095708848,0.2869205474853516,0.2748610079288483,0.26968055963516235,0.2615891695022583,0.2706566452980041,0.26899892091751104,0.14458781480789185,0.14940579235553741,0.16803064942359924,0.16373255848884583,0.16044524312019348,0.16801276803016663
swim,bath,person_1832,nedeu,bany,Catalan,RN,ca,0.27131971716880804,0.2666679322719574,0.2519798874855041,0.23684580624103546,0.22592927515506744,0.22359499335289,0.2499366253614425,0.27823448181152344,0.28476887941360474,0.2762143611907959,0.2688904404640198,0.26890721917152405,0.2461357116699219,0.22794830799102786,0.21588659286499026,0.20469608902931213,0.198625922203064,0.1929911673069,0.36893099546432495,0.38518118858337397,0.399556428194046,0.3806816637516022,0.3804542422294617,0.3737377524375916,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
go,come,person_1832,anar,venir,Catalan,RV,ca,0.3997579514980316,0.4004799127578736,0.3707098364830017,0.3827647566795349,0.3702765107154846,0.3580841720104217,0.6398029923439026,0.6191623210906982,0.623497724533081,0.6053190231323242,0.5954936742782593,0.5812902450561523,0.615057110786438,0.5488902926445007,0.4706613421440125,0.4235857725143433,0.3990226984024048,0.3853825926780701,0.739463210105896,0.6765750050544739,0.6213891506195068,0.5910605192184448,0.5707988142967224,0.5609106421470642,0.7061076760292053,0.6893366575241089,0.6983721256256104,0.6817912459373474,0.6645833253860474,0.6530736684799194
stolen,robbed,person_1832,robat,robat,Catalan,RV,ca,0.4932714402675629,0.5238808393478394,0.5006891489028931,0.4682163596153259,0.4461758136749268,0.4350887537002564,0.7175914645195007,0.6544339060783386,0.5912253856658936,0.5544602870941162,0.5335285067558289,0.5191181302070618,0.4489465355873108,0.4283897876739502,0.4178144931793213,0.4166263341903687,0.3986801505088806,0.38875043392181396,0.5399106740951538,0.5347867012023926,0.5249714851379395,0.5166003108024597,0.5075925588607788,0.5049860477447511,0.7358447909355164,0.7287195920944214,0.7132338881492615,0.6946935057640076,0.6821134686470032,0.6733625531196594
price,prize,person_1433,preu,premi,Catalan,RN,ca,0.1822480261325836,0.18022014200687408,0.16955360770225525,0.16104277968406674,0.15076594054698944,0.14180898666381836,0.25147691369056696,0.2586205005645752,0.2441378235816956,0.2364605367183685,0.22353634238243106,0.21636143326759336,0.1066201478242874,0.09925580769777298,0.10235561430454254,0.0996401309967041,0.10164400190114976,0.09777985513210297,0.4862315654754639,0.4743323922157288,0.4954355955123901,0.485804557800293,0.4708588123321533,0.4689516425132752,0.46866846084594727,0.435067355632782,0.4602136015892029,0.4459461569786072,0.44040122628211975,0.428309828042984
advertising,advertisement,person_1826,publicitat,anunci,Catalan,RV,ca,0.7574576735496521,0.676982045173645,0.5969774723052979,0.5624592304229736,0.5439748167991638,0.5266909003257751,0.4556164741516113,0.4493449032306671,0.4092159867286682,0.4031789898872376,0.39429038763046265,0.3815713524818421,0.6549771428108215,0.5993442535400391,0.5130492448806763,0.4436555802822113,0.4144735932350159,0.4015834033489227,0.5450772643089294,0.5221472978591919,0.5129088163375854,0.4930968284606934,0.4831591248512268,0.4774682521820069,0.2309647798538208,0.1960134506225586,0.19417493045330048,0.20003080368041992,0.18717658519744873,0.1837356686592102
customer,user,person_1172,client,usuari,Catalan,RN,ca,0.3588132858276367,0.3286866545677185,0.2965718507766724,0.2694174051284789,0.2622784674167633,0.2494312524795532,0.4614550471305847,0.4458641409873961,0.4334346055984497,0.4171389043331146,0.3994863033294678,0.3974995315074921,0.3991767466068268,0.4062835574150085,0.3570898771286011,0.3222066164016724,0.3156619369983673,0.30374324321746826,0.5497674942016602,0.554274320602417,0.5259641408920288,0.5122753381729126,0.4935677647590637,0.4902466237545013,0.5125095844268799,0.5062665343284607,0.5095738172531128,0.49820253252983093,0.4925944209098816,0.49109476804733276
actors,characters,person_1969,actors,caràcters,Catalan,RN,ca,0.440252423286438,0.4100249409675598,0.3942669332027435,0.3782820105552673,0.37232378125190735,0.36047524213790894,0.3442021310329437,0.3357464373111725,0.3193575739860535,0.3273807764053345,0.3292620182037353,0.33177584409713745,0.4361552000045776,0.4097469449043274,0.3902768790721893,0.38155239820480347,0.36639404296875,0.3627316057682037,0.6726387739181519,0.6674292087554932,0.6339640021324158,0.6037455201148987,0.5807419419288635,0.5777447819709778,0.5707286596298218,0.5511085391044617,0.5405478477478027,0.5271481275558472,0.5159564018249512,0.5088876485824585
professional,serious,person_2268,professional,seriós,Catalan,RJ,ca,0.2781375050544739,0.25853249430656433,0.2259582281112671,0.20912575721740725,0.2005314528942108,0.18747255206108093,0.34994596242904663,0.3312535881996155,0.30379346013069153,0.30176687240600586,0.2956933379173279,0.2961997389793396,0.14720313251018524,0.1379738450050354,0.1297658234834671,0.12116226553916933,0.11896555125713347,0.11497396230697632,0.608434796333313,0.5411967039108276,0.5427533388137817,0.5455026626586914,0.5382311344146729,0.5367081165313721,0.35203415155410767,0.3676316440105438,0.36190322041511536,0.360005259513855,0.36404964327812195,0.3629254102706909
tell,explain,person_1826,dir,explicar,Catalan,RV,ca,0.5295467972755432,0.470090389251709,0.4800134599208832,0.449648916721344,0.4330701231956482,0.4229810833930969,0.5659184455871582,0.5436480045318604,0.5379168987274171,0.5307595729827881,0.5256218314170837,0.5238316655158997,0.4325070083141327,0.3983280658721924,0.39792072772979736,0.3681323230266571,0.3541639447212219,0.3479128479957581,0.703296422958374,0.6745309829711914,0.6526896953582764,0.658437192440033,0.6594551801681519,0.6568506360054016,0.7065008878707886,0.6870086789131165,0.6808589696884155,0.6779866218566895,0.6768097877502441,0.6702390313148499
eventually,actually,person_1826,finalment,fet,Catalan,RY,ca,0.3859083652496338,0.3687898516654968,0.37613195180892944,0.3640955686569214,0.3599157929420471,0.3590395152568817,0.3980682790279389,0.3897282183170319,0.39107513427734375,0.3835774064064026,0.3732824325561523,0.3667122125625609,0.35615456104278564,0.33678755164146423,0.2951422929763794,0.2732512950897217,0.26473698019981384,0.2558790445327759,0.7607909440994263,0.7697029709815979,0.7522499561309814,0.75119549036026,0.7303246259689331,0.7076089382171631,0.2669340670108795,0.2622853219509125,0.25131461024284363,0.23660022020339966,0.224318727850914,0.22540059685707092
