c,i,id,l1_c,l1_i,language,type,code,l2_sim_cc_5,l2_sim_cc_10,l2_sim_cc_25,l2_sim_cc_50,l2_sim_cc_75,l2_sim_cc_100,l1_sim_cc_5,l1_sim_cc_10,l1_sim_cc_25,l1_sim_cc_50,l1_sim_cc_75,l1_sim_cc_100,case_id
golf,gold,person_1883,golf,or,Catalan,RN,ca,0.12599578499794006,0.11830528825521469,0.10759700834751129,0.10266164690256119,0.10147729516029358,0.10089974105358124,0.054320577532052994,0.036446914076805115,0.03231431171298027,0.016225669533014297,0.005621185060590506,0.0035358858294785023,case_0017
tent,ten,person_1465,tenda,deu,Catalan,RN,ca,0.08595867455005646,0.0794937014579773,0.07646187394857407,0.06108534336090088,0.05966367945075035,0.05921146273612976,0.1533314734697342,0.1766359657049179,0.16251420974731445,0.16135141253471375,0.16058185696601868,0.16155079007148743,case_0018
get,take,person_2421,aconseguir,prendre,Catalan,RV,ca,0.43259361386299133,0.47128599882125854,0.4622259736061096,0.4083731770515442,0.38793325424194336,0.3799085319042206,0.4957313537597656,0.4782686233520508,0.45859044790267944,0.44816362857818604,0.4464856684207916,0.4588024318218231,case_0019
stay,be,person_2767,romandre,ser,Catalan,RV,ca,0.23640266060829163,0.23561282455921173,0.23069137334823608,0.20558762550354004,0.19469532370567322,0.18828821182250977,0.5354257822036743,0.524945855140686,0.49498212337493896,0.4745522439479828,0.46445316076278687,0.45541995763778687,case_0020
took,had,person_2767,prenia,havia,Catalan,RV,ca,0.4749283790588379,0.4547375440597534,0.4577765464782715,0.4547697901725769,0.43138450384140015,0.4276643395423889,0.3948916494846344,0.3793691396713257,0.3921910524368286,0.38278505206108093,0.38441115617752075,0.3829326033592224,case_0021
trip,travel,person_471,viatge,viatges,Catalan,RN,ca,0.4664924144744873,0.4337632656097412,0.4204699695110321,0.3999059200286865,0.410950243473053,0.4100133180618286,0.6923015117645264,0.6253279447555542,0.5921836495399475,0.5614647269248962,0.5359659790992737,0.520668625831604,case_0022
give,tell,person_471,donar,dir,Catalan,RV,ca,0.4231981635093689,0.4228300452232361,0.4243116080760956,0.4012559950351715,0.3818535804748535,0.37752366065979004,0.47192510962486267,0.4653555154800415,0.46690118312835693,0.45831191539764404,0.44566237926483154,0.4389001727104187,case_0023
bored,boring,person_1642,avorrit,avorrit,Catalan,RJ,ca,0.51343834400177,0.5028496980667114,0.45647042989730835,0.4482008218765259,0.4355738162994385,0.42618533968925476,0.741547703742981,0.693103551864624,0.6343860030174255,0.5948338508605957,0.5702265501022339,0.55301833152771,case_0024
interested,interesting,person_1642,interessat,interessant,Catalan,RJ,ca,0.359252005815506,0.32605600357055664,0.3245919942855835,0.31874293088912964,0.3069360852241516,0.3035929799079895,0.5097476243972778,0.5082799792289734,0.49564129114151,0.4704621732234955,0.4583614766597748,0.4472986161708832,case_0025
bored,boring,person_1642,avorrit,avorrit,Catalan,RJ,ca,0.51343834400177,0.5028496980667114,0.45647042989730835,0.4482008218765259,0.4355738162994385,0.42618533968925476,0.741547703742981,0.693103551864624,0.6343860030174255,0.5948338508605957,0.5702265501022339,0.55301833152771,case_0026
interested,interesting,person_1642,interessat,interessant,Catalan,RJ,ca,0.359252005815506,0.32605600357055664,0.3245919942855835,0.31874293088912964,0.3069360852241516,0.3035929799079895,0.5097476243972778,0.5082799792289734,0.49564129114151,0.4704621732234955,0.4583614766597748,0.4472986161708832,case_0027
speak,know,person_1642,parlar,saber,Catalan,RV,ca,0.35512012243270874,0.34050309658050537,0.3288193345069885,0.30666977167129517,0.29231834411621094,0.2900066673755646,0.5779579281806946,0.5671604871749878,0.5803318023681641,0.5685675144195557,0.5668644905090332,0.5653830766677856,case_0028
time,moment,person_1642,temps,instant,Catalan,RN,ca,0.43818366527557373,0.4414810538291931,0.4164818227291107,0.38129010796546936,0.3702249825000763,0.3601601719856262,0.476474404335022,0.45971447229385376,0.42841511964797974,0.424993097782135,0.41784530878067017,0.4173150062561035,case_0029
stay,live,person_1642,romandre,viure,Catalan,RV,ca,0.2525222897529602,0.23368006944656372,0.22364382445812225,0.21116244792938232,0.19425436854362488,0.18748676776885986,0.5078869462013245,0.4805980920791626,0.4664548635482788,0.4634917378425598,0.4584627151489258,0.45729929208755493,case_0030
stay,live,person_1642,romandre,viure,Catalan,RV,ca,0.2525222897529602,0.23368006944656372,0.22364382445812225,0.21116244792938232,0.19425436854362488,0.18748676776885986,0.5078869462013245,0.4805980920791626,0.4664548635482788,0.4634917378425598,0.4584627151489258,0.45729929208755493,case_0031
start,stay,person_1642,començar,romandre,Catalan,RV,ca,0.20617938041687012,0.19448891282081604,0.17558205127716064,0.171253964304924,0.16618958115577698,0.16175371408462524,0.4552535116672516,0.4493813216686249,0.4155859351158142,0.4146740734577179,0.4066550135612488,0.4141499698162079,case_0032
time,moment,person_1642,temps,instant,Catalan,RN,ca,0.43818366527557373,0.4414810538291931,0.4164818227291107,0.38129010796546936,0.3702249825000763,0.3601601719856262,0.476474404335022,0.45971447229385376,0.42841511964797974,0.424993097782135,0.41784530878067017,0.4173150062561035,case_0033
grateful,thankful,person_2175,agraït,agraït,Catalan,RJ,ca,0.7897936105728149,0.7065021395683289,0.6319975852966309,0.5833642482757568,0.5536841154098511,0.5316712856292725,0.7634621858596802,0.7236765623092651,0.6820586323738098,0.6446115374565125,0.617797315120697,0.598543643951416,case_0034
carried,bring,person_2175,portat,portar,Catalan,RV,ca,0.2621304392814636,0.25580817461013794,0.2067302167415619,0.1939442753791809,0.19151896238327026,0.1854972094297409,0.6404092311859131,0.6044459342956543,0.5406190156936646,0.5237959623336792,0.5084651708602905,0.4954107105731964,case_0035
lying,laying,person_2175,mentint,imposició,Catalan,RV,ca,0.4188849925994873,0.4253319203853607,0.39372169971466064,0.3685530424118042,0.36489415168762207,0.35692182183265686,0.21966421604156494,0.22582322359085083,0.22838450968265533,0.23480841517448425,0.2311020791530609,0.235803484916687,case_0036
tells,says,person_2767,diu,diu,Catalan,RV,ca,0.37288472056388855,0.35348132252693176,0.31316035985946655,0.3253229856491089,0.3071362376213074,0.29733893275260925,0.7774530649185181,0.715119481086731,0.6583167910575867,0.6172237992286682,0.593222975730896,0.5780355930328369,case_0037
go,be,person_2767,anar,ser,Catalan,RV,ca,0.44593214988708496,0.454314261674881,0.43916720151901245,0.38119077682495117,0.3634689152240753,0.34367120265960693,0.3930127024650574,0.38565298914909363,0.39789682626724243,0.4004002809524536,0.39524373412132263,0.389946848154068,case_0038
story,history,person_2544,història,història,Catalan,RN,ca,0.31820130348205566,0.3002955913543701,0.2878766655921936,0.28107887506484985,0.2742793560028076,0.2675854563713074,0.7917118072509766,0.7539928555488586,0.7155665755271912,0.6881940960884094,0.6657384037971497,0.6483389139175415,case_0039
include,take,person_471,inclouen,prendre,Catalan,RV,ca,0.1735989898443222,0.16831323504447937,0.17680630087852478,0.16369734704494476,0.14230889081954956,0.1419229805469513,0.23014326393604279,0.24108296632766724,0.2707943916320801,0.27447018027305603,0.28143396973609924,0.2895859181880951,case_0040
guys,gays,person_2544,nois,gais,Catalan,RN,ca,0.3406493663787842,0.30875325202941895,0.28272581100463867,0.2636387348175049,0.25666993856430054,0.25116634368896484,0.3756735622882843,0.3675888776779175,0.35571879148483276,0.34053856134414673,0.340217649936676,0.34141379594802856,case_0041
kind,can,person_2544,tipus,pot,Catalan,RN,ca,0.24117326736450195,0.24418094754219055,0.2384396195411682,0.2420683205127716,0.23267853260040283,0.22298036515712738,0.3236166536808014,0.30470436811447144,0.27692529559135437,0.27628281712532043,0.28145909309387207,0.2858680486679077,case_0042
riding,going,person_772,muntar,anant,Catalan,RV,ca,0.23361673951148987,0.201581671833992,0.17382395267486572,0.1652471423149109,0.15744754672050476,0.154034823179245,0.39506611227989197,0.3721608519554138,0.36350879073143005,0.3561350703239441,0.3536819517612457,0.3539493680000305,case_0043
tell,explain,person_772,dir,explicar,Catalan,RV,ca,0.5295467972755432,0.470090389251709,0.4800134599208832,0.449648916721344,0.4330701231956482,0.4229810833930969,0.5659184455871582,0.5436480045318604,0.537916898727417,0.5307595729827881,0.5256218314170837,0.5238316655158997,case_0044
promised,offered,person_772,promès,oferts,Catalan,RV,ca,0.34956416487693787,0.3271337151527405,0.33054429292678833,0.3412480354309082,0.3268572688102722,0.3158561587333679,0.23178011178970337,0.23938152194023132,0.24820470809936523,0.24093392491340637,0.23394888639450073,0.22985124588012695,case_0045
get,receive,person_772,aconseguir,rebre,Catalan,RV,ca,0.3277006149291992,0.32577091455459595,0.2979743480682373,0.2832677662372589,0.27174729108810425,0.26160871982574463,0.4835272431373596,0.5013657212257385,0.47753816843032837,0.4672244191169739,0.46830353140830994,0.4728884994983673,case_0046
forgot,forbade,person_764,oblidava,prohibia,Catalan,RV,ca,0.16233360767364502,0.13455002009868622,0.1389482319355011,0.13962119817733765,0.1445712149143219,0.1467263400554657,0.31475701928138733,0.3020103871822357,0.30881163477897644,0.3046795129776001,0.3099319338798523,0.3138102889060974,case_0047
having,spending,person_764,tenir,gastar,Catalan,RV,ca,0.2902175784111023,0.2503931522369385,0.21740971505641937,0.21355986595153809,0.21741509437561035,0.2106199413537979,0.3929915428161621,0.3910765051841736,0.37695127725601196,0.3721425533294678,0.36743226647377014,0.3730069398880005,case_0048
advise,obliged,person_1999,assessorar,obligat,Catalan,RV,ca,0.3681098222732544,0.33137473464012146,0.3066946268081665,0.29641854763031006,0.2847234606742859,0.277357280254364,0.3073963224887848,0.29524293541908264,0.29339927434921265,0.299690306186676,0.29405784606933594,0.297595739364624,case_0049
chance,experience,person_772,oportunitat,experiència,Catalan,RN,ca,0.23678305745124817,0.22974497079849243,0.2107900083065033,0.20778913795948029,0.20551331341266632,0.19943994283676147,0.5033411979675293,0.4987911880016327,0.4761030972003937,0.4603121876716614,0.45839405059814453,0.46123361587524414,case_0050
turned,put,person_1999,convertit,posar,Catalan,RV,ca,0.37078362703323364,0.34941011667251587,0.3554122745990753,0.35194331407546997,0.34390318393707275,0.33688655495643616,0.39544767141342163,0.3882020115852356,0.3682876229286194,0.3602001667022705,0.3612845540046692,0.3633083701133728,case_0051
gave,bring,person_1999,donava,portar,Catalan,RV,ca,0.3296188414096832,0.32252222299575806,0.30785250663757324,0.28129106760025024,0.25932639837265015,0.248531311750412,0.39137744903564453,0.373392790555954,0.3980500102043152,0.3813081383705139,0.37465399503707886,0.36690980195999146,case_0052
runs,leaded,person_1999,executa,liderat,Catalan,RV,ca,0.12529975175857544,0.09582418203353882,0.0869840458035469,0.09140065312385559,0.08552555739879608,0.08415313065052032,0.21597285568714142,0.20051045715808868,0.19250938296318054,0.20021408796310425,0.20167675614356995,0.20928245782852173,case_0053
show,event,person_1999,mostra,esdeveniment,Catalan,RN,ca,0.2859300673007965,0.2865166664123535,0.2643953561782837,0.24753084778785706,0.23926517367362976,0.23065397143363953,0.2743959426879883,0.2593875825405121,0.2541812062263489,0.2505079507827759,0.25677070021629333,0.261009156703949,case_0054
everyday,daily,person_2777,quotidiana,diari,Catalan,RJ,ca,0.598691463470459,0.5148543119430542,0.4477577805519104,0.41009169816970825,0.38689112663269043,0.366692453622818,0.23838277161121368,0.24982792139053345,0.25088563561439514,0.24199199676513672,0.24200555682182312,0.23925083875656128,case_0055
price,ticket,person_2777,preu,bitllet,Catalan,RN,ca,0.25758516788482666,0.23530283570289612,0.22220662236213684,0.21299955248832703,0.20709678530693054,0.19946876168251038,0.3733917474746704,0.3683137893676758,0.34092915058135986,0.34361517429351807,0.33305931091308594,0.32601889967918396,case_0056
played,held,person_2777,jugat,celebrar,Catalan,RV,ca,0.20877805352210999,0.1980142593383789,0.20383965969085693,0.21194328367710114,0.207071453332901,0.21377655863761902,0.34588244557380676,0.33029884099960327,0.33865267038345337,0.34131211042404175,0.3437573313713074,0.340488076210022,case_0057
hope,wish,person_1687,espero,desitjar,Catalan,RV,ca,0.48686450719833374,0.47666072845458984,0.45166900753974915,0.41320937871932983,0.39855289459228516,0.3942027688026428,0.4076961278915405,0.4221920371055603,0.4237673878669739,0.4047165513038635,0.4007321000099182,0.391258180141449,case_0058
talk,make,person_1999,parlar,fer,Catalan,RV,ca,0.113869309425354,0.12638527154922485,0.11833744496107101,0.11807061731815338,0.11534881591796875,0.1139543205499649,0.5109044909477234,0.482278048992157,0.4953577518463135,0.4855201244354248,0.4939471185207367,0.49921905994415283,case_0059
tell,explain,person_772,dir,explicar,Catalan,RV,ca,0.5295467972755432,0.470090389251709,0.4800134599208832,0.449648916721344,0.4330701231956482,0.4229810833930969,0.5659184455871582,0.5436480045318604,0.537916898727417,0.5307595729827881,0.5256218314170837,0.5238316655158997,case_0060
reasons,problems,person_1958,raons,problemes,Catalan,RN,ca,0.320397287607193,0.2860535979270935,0.2743126153945923,0.2544284462928772,0.24354299902915955,0.243284210562706,0.40427666902542114,0.40034520626068115,0.3882090747356415,0.38444381952285767,0.3852567672729492,0.38667255640029907,case_0061
also,after,person_1958,també,després,Catalan,RY,ca,0.14532896876335144,0.15711629390716553,0.16539961099624634,0.17313678562641144,0.1721208393573761,0.17007683217525482,0.4306386709213257,0.4214027523994446,0.4262647032737732,0.4220810532569885,0.42138510942459106,0.41595458984375,case_0062
countryside,nature,person_2544,camp,naturalesa,Catalan,RN,ca,0.2760891914367676,0.25682196021080017,0.2371642291545868,0.22757090628147125,0.2257753312587738,0.22410795092582703,0.27676916122436523,0.2652475833892822,0.27021342515945435,0.27641618251800537,0.27405160665512085,0.27341485023498535,case_0063
went,ran,person_169,anava,corria,Catalan,RV,ca,0.6660505533218384,0.6181087493896484,0.5470671653747559,0.5097242593765259,0.49829092621803284,0.49251437187194824,0.4442566931247711,0.46023863554000854,0.4723743498325348,0.4848424792289734,0.4857732057571411,0.4811382293701172,case_0064
help,avoid,person_169,ajudar,evitar,Catalan,RV,ca,0.26336538791656494,0.2555653154850006,0.2739008665084839,0.24500200152397156,0.2449721395969391,0.24183709919452667,0.513291597366333,0.5070915222167969,0.4823542833328247,0.47519028186798096,0.4737737774848938,0.4766274690628052,case_0065
early,soon,person_169,hora,aviat,Catalan,RY,ca,0.2943192720413208,0.25569331645965576,0.23241475224494934,0.21305683255195618,0.2130020558834076,0.21499142050743103,0.33860641717910767,0.3478294610977173,0.3333812952041626,0.34214740991592407,0.33993566036224365,0.33971983194351196,case_0066
campsite,camping,person_169,càmping,camping,Catalan,RN,ca,0.6608662605285645,0.6459355354309082,0.5975369215011597,0.5604049563407898,0.5301544666290283,0.5058072209358215,0.5974875688552856,0.6133780479431152,0.5781700611114502,0.516244649887085,0.491656631231308,0.47192972898483276,case_0067
especially,specially,person_169,especialment,especialment,Catalan,RY,ca,0.34219878911972046,0.33667248487472534,0.2956363558769226,0.2686932384967804,0.2626763582229614,0.2625589668750763,0.8270228505134583,0.7514426708221436,0.6767886281013489,0.6352691650390625,0.6150892376899719,0.602047324180603,case_0068
done,made,person_775,fet,fet,Catalan,RV,ca,0.28773099184036255,0.2798879146575928,0.26602450013160706,0.27283692359924316,0.26329928636550903,0.2663165330886841,0.6535207033157349,0.6023889780044556,0.5575073957443237,0.5325122475624084,0.5192932486534119,0.5107332468032837,case_0069
got,caught,person_775,aconseguia,agafat,Catalan,RV,ca,0.41061174869537354,0.38897228240966797,0.36477988958358765,0.38224413990974426,0.38220277428627014,0.3847958445549011,0.305340439081192,0.3067576289176941,0.32851916551589966,0.31875595450401306,0.3210790455341339,0.3201833963394165,case_0070
understand,complain,person_775,entendre,queixar,Catalan,RV,ca,0.3299047350883484,0.30377835035324097,0.2876952886581421,0.27351024746894836,0.2732979655265808,0.2682272493839264,0.3638601303100586,0.3545282781124115,0.34908366203308105,0.34782999753952026,0.3592800498008728,0.36794358491897583,case_0071
given,done,person_1958,donat,fet,Catalan,RV,ca,0.26081758737564087,0.2503654360771179,0.23994073271751404,0.2502775192260742,0.24453045427799225,0.24402162432670593,0.4335043430328369,0.44708722829818726,0.4548441767692566,0.43986600637435913,0.43964147567749023,0.43850260972976685,case_0072
missed,lose,person_1958,enyorat,perdre,Catalan,RV,ca,0.26385730504989624,0.2110184133052826,0.1918734461069107,0.19805046916007996,0.19416943192481995,0.18911033868789673,0.24022388458251953,0.2626039981842041,0.27128005027770996,0.271293580532074,0.26962241530418396,0.2682827413082123,case_0073
story,history,person_1958,història,història,Catalan,RN,ca,0.31820130348205566,0.3002955913543701,0.2878766655921936,0.28107887506484985,0.2742793560028076,0.2675854563713074,0.7917118072509766,0.7539928555488586,0.7155665755271912,0.6881940960884094,0.6657384037971497,0.6483389139175415,case_0074
take,look,person_1958,prendre,mirar,Catalan,RV,ca,0.3707064092159271,0.36222708225250244,0.3795686364173889,0.34056997299194336,0.32957208156585693,0.32860228419303894,0.44704943895339966,0.44806456565856934,0.41715747117996216,0.41685426235198975,0.41535961627960205,0.42589306831359863,case_0075
irritable,irritated,person_1958,irritable,irritada,Catalan,RJ,ca,0.5591937303543091,0.5336694717407227,0.5288599729537964,0.4928196668624878,0.48452794551849365,0.471185564994812,0.5366002321243286,0.5232139825820923,0.5286816954612732,0.47953709959983826,0.4502986669540405,0.4353916645050049,case_0076
had,got,person_1958,havia,aconseguia,Catalan,RV,ca,0.6314924359321594,0.5723605751991272,0.5186147093772888,0.49555903673171997,0.4755288362503052,0.45889633893966675,0.44174817204475403,0.418899804353714,0.42360740900039673,0.40634697675704956,0.4012972116470337,0.4062558114528656,case_0077
irritable,irritated,person_1958,irritable,irritada,Catalan,RJ,ca,0.5591937303543091,0.5336694717407227,0.5288599729537964,0.4928196668624878,0.48452794551849365,0.471185564994812,0.5366002321243286,0.5232139825820923,0.5286816954612732,0.47953709959983826,0.4502986669540405,0.4353916645050049,case_0078
closed,close,person_1958,tancat,estreta,Catalan,RJ,ca,0.27860027551651,0.27040964365005493,0.29026785492897034,0.28234198689460754,0.2783109247684479,0.267139732837677,0.363258421421051,0.33440297842025757,0.30034002661705017,0.2878284454345703,0.2885052561759949,0.287612646818161,case_0079
clothes,fashion,person_2544,roba,moda,Catalan,RN,ca,0.4073520004749298,0.3768073618412018,0.33542221784591675,0.32300877571105957,0.3214627504348755,0.31891483068466187,0.4555263817310333,0.4232800006866455,0.40882354974746704,0.4053012728691101,0.3981451392173767,0.3947567939758301,case_0080
time,part,person_471,temps,part,Catalan,RN,ca,0.29371142387390137,0.273621529340744,0.2681865990161896,0.2576523423194885,0.25245940685272217,0.2546706795692444,0.343650221824646,0.3308354616165161,0.314866840839386,0.3151167035102844,0.3123035430908203,0.31504857540130615,case_0081
include,make,person_471,inclouen,fer,Catalan,RV,ca,0.22216057777404785,0.211061030626297,0.19042587280273438,0.1861715018749237,0.17327921092510223,0.17225992679595947,0.30125993490219116,0.27421581745147705,0.28917405009269714,0.28764551877975464,0.2896972894668579,0.29422852396965027,case_0082
talk,take,person_471,parlar,prendre,Catalan,RV,ca,0.17552168667316437,0.16648852825164795,0.1673659086227417,0.14342546463012695,0.1349477767944336,0.12787717580795288,0.44993916153907776,0.4618690013885498,0.44175076484680176,0.4367464780807495,0.4356025457382202,0.44416317343711853,case_0083
sit,get,person_3074,seure,aconseguir,Catalan,RV,ca,0.3005203604698181,0.31946703791618347,0.2945314943790436,0.2852637767791748,0.2820627689361572,0.27746570110321045,0.3382638692855835,0.3230423629283905,0.3065860867500305,0.3049929440021515,0.3212297558784485,0.3232188820838928,case_0084
idea,clue,person_3074,idea,pista,Catalan,RN,ca,0.35936224460601807,0.3613940179347992,0.3545442223548889,0.3557140827178955,0.34023216366767883,0.33546334505081177,0.3208077549934387,0.31775277853012085,0.2971994876861572,0.2950822710990906,0.30124855041503906,0.3043667674064636,case_0085
objects,symbols,person_3074,objectes,símbols,Catalan,RN,ca,0.29549121856689453,0.28651031851768494,0.2724820375442505,0.25843602418899536,0.25145742297172546,0.2528478503227234,0.5107729434967041,0.48368093371391296,0.460723876953125,0.462089478969574,0.46131110191345215,0.4630691707134247,case_0086
want,like,person_3074,volen,agrada,Catalan,RV,ca,0.5281713008880615,0.510770857334137,0.4850226044654846,0.4689836800098419,0.4439934492111206,0.42967432737350464,0.40284308791160583,0.4061923325061798,0.4095571041107178,0.4055088758468628,0.39626848697662354,0.39073219895362854,case_0087
definitely,hardly,person_3074,definitivament,penes,Catalan,RY,ca,0.3911951184272766,0.39410099387168884,0.40652158856391907,0.38603168725967407,0.38037675619125366,0.37504035234451294,0.22211113572120667,0.21834541857242584,0.2114356905221939,0.22161005437374115,0.22623160481452942,0.23376089334487915,case_0088
serious,grave,person_3074,seriós,greu,Catalan,RJ,ca,0.16655230522155762,0.14329251646995544,0.1327504813671112,0.14128375053405762,0.13624665141105652,0.13684140145778656,0.4732362627983093,0.4637637734413147,0.4212002754211426,0.39508602023124695,0.3776310682296753,0.37695103883743286,case_0089
atmosphere,air,person_3101,ambient,aire,Catalan,RN,ca,0.2840946614742279,0.2791796326637268,0.26501673460006714,0.24486547708511353,0.2318892776966095,0.22672484815120697,0.4462471604347229,0.4356365203857422,0.4161904454231262,0.40956151485443115,0.40661105513572693,0.4030531644821167,case_0090
provided,answered,person_3305,proporcionat,contestades,Catalan,RV,ca,0.22951197624206543,0.20628398656845093,0.202246755361557,0.18344959616661072,0.174384206533432,0.17446336150169373,0.1992480456829071,0.20624810457229614,0.20829176902770996,0.21238338947296143,0.2184823900461197,0.2198106199502945,case_0091
irritable,nervous,person_3101,irritable,nerviós,Catalan,RJ,ca,0.3811662495136261,0.38691800832748413,0.395546555519104,0.3890037536621094,0.39150524139404297,0.3786010146141052,0.31483572721481323,0.3191682696342468,0.31053465604782104,0.29602354764938354,0.2979819178581238,0.2939396798610687,case_0092
ending,losing,person_3038,acabant,perdre,Catalan,RV,ca,0.2119496762752533,0.1882130354642868,0.17869499325752258,0.1789318323135376,0.17797884345054626,0.17562955617904663,0.3653157651424408,0.33861857652664185,0.3145417869091034,0.32901132106781006,0.33773061633110046,0.3411451578140259,case_0093
imagine,think,person_3038,imaginar,pensar,Catalan,RV,ca,0.5778679847717285,0.5535040497779846,0.54073166847229,0.5229359269142151,0.5085791945457458,0.4977841377258301,0.6339658498764038,0.6073336601257324,0.601162314414978,0.5801920890808105,0.5771288871765137,0.5754380226135254,case_0094
will,can,person_3038,es,pot,Catalan,RV,ca,0.6513598561286926,0.6332511901855469,0.5650200247764587,0.5293972492218018,0.49862754344940186,0.4802524447441101,0.2586222290992737,0.2159879356622696,0.18318971991539001,0.1583051085472107,0.13817375898361206,0.12754416465759277,case_0095
outfit,dress,person_3038,vestit,vestit,Catalan,RN,ca,0.5455554723739624,0.5225805640220642,0.5291863679885864,0.5286352634429932,0.5093796849250793,0.49818968772888184,0.7983177900314331,0.7561852335929871,0.7065077424049377,0.6618388295173645,0.6326278448104858,0.6136215329170227,case_0096
running,process,person_562,executant,procés,Catalan,RN,ca,0.1298050582408905,0.11449146270751953,0.1208401769399643,0.11228379607200623,0.10578183084726334,0.10577234625816345,0.2571176588535309,0.2524048686027527,0.25242549180984497,0.2403283715248108,0.2454022914171219,0.250690758228302,case_0097
