c,i,id,l1_c,l1_i,language,type,code,english_overlap
live,leave,person_2380,жить,оставить,Russian,RV,ru,0.18523225095469287
go,do,person_2380,пойти,сделать,Russian,RV,ru,0.539136677207568
imaginations,fantasy,person_874,воображение,фантазии,Russian,RN,ru,0.3192323237866155
come,become,person_1528,прийти,стать,Russian,RV,ru,0.2519757881435594
learn,know,person_1528,узнать,знаю,Russian,RV,ru,0.41403447946927796
do,make,person_1528,сделать,сделать,Russian,RV,ru,0.3857835826030168
remote,distant,person_283,удаленного,далекой,Russian,RJ,ru,0.32091005710269704
communication,relations,person_283,коммуникации,отношения,Russian,RN,ru,0.3081654525889872
went,got,person_2631,пошел,получил,Russian,RV,ru,0.5485587617391858
amusing,amazing,person_1847,забавно,удивительные,Russian,RJ,ru,0.27845001380025325
get,have,person_1847,получить,иметь,Russian,RV,ru,0.46326255603942595
thing,point,person_1847,вещь,точки,Russian,RN,ru,0.3792234387944786
also,again,person_1847,также,снова,Russian,RY,ru,0.2225180868400457
party,holiday,person_1672,вечеринка,праздник,Russian,RN,ru,0.26014616188215567
make,do,person_248,сделать,сделать,Russian,RV,ru,0.3857835826030168
disappointed,disappointing,person_2012,разочарован,разочарование,Russian,RJ,ru,0.592304820577084
show,presentation,person_2012,шоу,презентации,Russian,RN,ru,0.27110306341411394
wasn't,didn't,person_2012,не,не,Russian,RV,ru,0.7937283503634911
forced,made,person_2012,принудительный,сделал,Russian,RV,ru,0.22621535923272904
waste,waist,person_2012,отходов,талии,Russian,RN,ru,0.04244466470055753
imagine,think,person_2012,представить,думаю,Russian,RV,ru,0.5393423090572204
might,can,person_2012,может,может,Russian,RV,ru,0.6471859725562046
valid,available,person_1334,действительны,доступны,Russian,RJ,ru,0.2198458868021746
delayed,postpone,person_1334,отложено,отложить,Russian,RV,ru,0.49250214183860086
have,got,person_1334,иметь,получил,Russian,RV,ru,0.4846869077554362
get,become,person_1334,получить,стать,Russian,RV,ru,0.2890448331639137
form,way,person_1334,формы,путь,Russian,RN,ru,0.2016819400981078
as,how,person_892,как,как,Russian,RY,ru,0.245187484474797
star,play,person_892,звездочные,играть,Russian,RV,ru,0.10229017583214377
act,play,person_892,действовать,играть,Russian,RV,ru,0.1980845844584022
acted,played,person_892,действовал,проиграна,Russian,RV,ru,0.2901393642562236
got,came,person_892,получил,пришел,Russian,RV,ru,0.5468707171336342
spoilt,broke,person_892,испорчена,сломал,Russian,RV,ru,0.1195848322629695
greatly,very,person_892,значительно,очень,Russian,RY,ru,0.3390203415225566
just,only,person_892,просто,только,Russian,RY,ru,0.523938030199832
turn,push,person_892,превратить,толкать,Russian,RV,ru,0.3039121768055278
really,very,person_892,действительно,очень,Russian,RY,ru,0.48635202887077444
latest,newest,person_448,последнее,новейшие,Russian,RJ,ru,0.5381496826617843
performance,play,person_448,производительности,игры,Russian,RN,ru,0.2154729715246012
said,noticed,person_448,сказал,заметил,Russian,RV,ru,0.20866237680116556
arrived,came,person_448,прибыли,пришел,Russian,RV,ru,0.42860437766129206
organise,make,person_448,организовать,сделать,Russian,RV,ru,0.24756875367474254
before,ago,person_448,раньше,назад,Russian,RY,ru,0.3367218913396709
give,present,person_448,дать,представить,Russian,RV,ru,0.18156038249960424
suggested,proposed,person_448,предложил,предлагаемые,Russian,RV,ru,0.37657159208966995
went,came,person_448,пошел,пришел,Russian,RV,ru,0.6422990214311866
couldn't,didn't,person_1797,не,не,Russian,RV,ru,0.8521369104017731
thought,hoped,person_1797,думал,надеется,Russian,RV,ru,0.5236315410475123
only,just,person_1797,только,просто,Russian,RY,ru,0.523938030199832
haven't,don't,person_1797,не,не,Russian,RV,ru,0.7360469482977994
very,too,person_1635,очень,слишком,Russian,RY,ru,0.5375393488205544
advertised,presented,person_1635,рекламируется,представлены,Russian,RV,ru,0.18976931665513863
very,too,person_1635,очень,слишком,Russian,RY,ru,0.5375393488205544
knew,understand,person_1635,знал,понять,Russian,RV,ru,0.3640580788782557
long,big,person_1635,длинные,большой,Russian,RJ,ru,0.28193897028354065
before,earlier,person_2272,раньше,ранее,Russian,RY,ru,0.35635708991829274
latest,last,person_2272,последнее,последний,Russian,RJ,ru,0.27261806780292963
before,earlier,person_2272,раньше,ранее,Russian,RY,ru,0.35635708991829274
before,earlier,person_2272,раньше,ранее,Russian,RY,ru,0.35635708991829274
have,be,person_1619,иметь,быть,Russian,RV,ru,0.44710093795198513
invited,offered,person_1619,пригласил,предложил,Russian,RV,ru,0.29327734855906307
put,gave,person_1619,положить,дал,Russian,RV,ru,0.3489423876687274
before,ago,person_2502,раньше,назад,Russian,RY,ru,0.3367218913396709
surprised,amazed,person_985,удивлена,поражен,Russian,RJ,ru,0.6814219902714898
cause,reason,person_985,причиной,причина,Russian,RN,ru,0.3190025220346885
chores,routine,person_985,делами,рутины,Russian,RN,ru,0.3467346251552582
stay,live,person_793,остаться,жить,Russian,RV,ru,0.22311804022125642
quickly,fast,person_793,быстро,быстро,Russian,RY,ru,0.4009840017010583
saw,looked,person_793,видел,посмотрел,Russian,RV,ru,0.5639711037256043
rehearsals,repetitions,person_793,репетиции,повторений,Russian,RN,ru,0.21432926522015355
piece,part,person_793,кусок,часть,Russian,RN,ru,0.3067273534443342
clothing,cloth,person_793,одежда,ткань,Russian,RN,ru,0.3569665235096017
suitable,similar,person_793,подходит,аналогичные,Russian,RJ,ru,0.25620632295682294
loudly,loud,person_793,громко,громче,Russian,RY,ru,0.5504091830317919
will,shall,person_346,будет,должны,Russian,RV,ru,0.3781133614303179
news,information,person_385,новости,информация,Russian,RN,ru,0.2563507530956894
remind,remember,person_385,напомнить,помните,Russian,RV,ru,0.509593240071596
stay,live,person_385,остаться,жить,Russian,RV,ru,0.22311804022125642
won't,can't,person_385,не,нельзя,Russian,RV,ru,0.8362164491589015
very,just,person_385,очень,просто,Russian,RY,ru,0.38267446149356965
had,made,person_385,имел,сделал,Russian,RV,ru,0.34253977472132435
had,took,person_385,имел,взял,Russian,RV,ru,0.4289566644300623
work,job,person_385,работы,работу,Russian,RN,ru,0.4075042245178163
really,very,person_2045,действительно,очень,Russian,RY,ru,0.48635202887077444
really,very,person_2045,действительно,очень,Russian,RY,ru,0.48635202887077444
time,term,person_2045,время,термин,Russian,RN,ru,0.22745786436758617
sight,view,person_2045,прицел,вид,Russian,RN,ru,0.23770254688463344
completely,absolutely,person_2045,полностью,абсолютно,Russian,RY,ru,0.47118386679861973
energy,power,person_186,энергии,мощность,Russian,RN,ru,0.35218556910483967
surfing,surf,person_2481,серфинг,серфинга,Russian,RN,ru,0.6966891104569267
surfing,surf,person_2481,серфинг,серфинга,Russian,RN,ru,0.6966891104569267
was,had,person_2481,был,имел,Russian,RV,ru,0.5504916256985617
surfing,serf,person_2481,серфинг,крепостным,Russian,RN,ru,0.04318595440369282
sincerely,faithfully,person_2481,искренне,добросовестно,Russian,RY,ru,0.3185136213547491
go,do,person_2481,пойти,сделать,Russian,RV,ru,0.539136677207568
go,do,person_2481,пойти,сделать,Russian,RV,ru,0.539136677207568
is,will,person_2481,является,будет,Russian,RV,ru,0.30639707068596367
concern,care,person_243,озабоченность,уход,Russian,RN,ru,0.2532428026352689
answer,clarify,person_243,ответить,уточнить,Russian,RV,ru,0.35419819894761717
clothing,wear,person_243,одежда,износа,Russian,RN,ru,0.41996703585638134
situation,ability,person_243,ситуации,способности,Russian,RN,ru,0.16151707736868048
go,do,person_243,пойти,сделать,Russian,RV,ru,0.539136677207568
go,do,person_243,пойти,сделать,Russian,RV,ru,0.539136677207568
as,that,person_243,как,что,Russian,RY,ru,0.2883036462643891
go,do,person_243,пойти,сделать,Russian,RV,ru,0.539136677207568
centres,cities,person_243,центры,городах,Russian,RN,ru,0.2869125244541276
normal,usual,person_243,нормальной,обычно,Russian,RJ,ru,0.31997941892403775
solutions,issue,person_243,решения,проблема,Russian,RN,ru,0.18334109831981607
sitting,seating,person_243,сидя,гостиная,Russian,RV,ru,0.30624246067453875
have,know,person_319,иметь,знаю,Russian,RV,ru,0.45810243809444146
response,answer,person_319,ответ,ответ,Russian,RN,ru,0.3951338159247668
dance,dancing,person_319,танец,танцы,Russian,RN,ru,0.6880393991234954
trip,travel,person_319,поездки,путешествия,Russian,RN,ru,0.4148212561435649
pet,pat,person_319,питомца,пэт,Russian,RN,ru,0.11656838208818171
making,filming,person_319,делает,съемках,Russian,RN,ru,0.18632296365303774
came,went,person_1248,пришел,пошел,Russian,RV,ru,0.6422990214311866
autograph,signature,person_1248,автограф,подпись,Russian,RN,ru,0.2890329436980824
school,lyceum,person_1248,школы,лицей,Russian,RN,ru,0.32389586285492156
stay,go,person_2225,остаться,пойти,Russian,RV,ru,0.2619981334178497
makes,does,person_2225,делает,делает,Russian,RV,ru,0.4484278151971629
go,do,person_2225,пойти,сделать,Russian,RV,ru,0.539136677207568
problem,trouble,person_2225,проблема,неприятности,Russian,RN,ru,0.438150879698871
losing,loosing,person_2225,потери,потери,Russian,RV,ru,0.6605662070056195
wasting,loosing,person_2225,тратить,потери,Russian,RV,ru,0.32761268936521837
styles,stiles,person_2557,стили,стайлз,Russian,RN,ru,0.11718824196512437
trip,travel,person_2557,поездки,путешествия,Russian,RN,ru,0.4148212561435649
information,questions,person_2557,информация,вопросы,Russian,RN,ru,0.2978119160477074
stay,say,person_2557,остаться,сказать,Russian,RV,ru,0.1800545448183962
trip,travel,person_2557,поездки,путешествия,Russian,RN,ru,0.4148212561435649
really,very,person_2557,действительно,очень,Russian,RY,ru,0.48635202887077444
state,stare,person_2557,государства,пялься,Russian,RN,ru,0.0675352558516217
often,usual,person_2557,часто,обычно,Russian,RY,ru,0.2601589999279115
made,did,person_1895,сделал,сделал,Russian,RV,ru,0.290549075744307
learn,know,person_1895,узнать,знаю,Russian,RV,ru,0.41403447946927796
prize,award,person_1895,приз,награда,Russian,RN,ru,0.47021484057270596
area,stage,person_1895,зона,этапе,Russian,RN,ru,0.11850686714108688
ambition,idea,person_1895,амбиции,идея,Russian,RN,ru,0.21382150029408692
made,did,person_1895,сделал,сделал,Russian,RV,ru,0.290549075744307
sit,pass,person_470,сидеть,пройти,Russian,RV,ru,0.19454089326946727
sincerely,faithfully,person_470,искренне,добросовестно,Russian,RY,ru,0.3185136213547491
tired,tied,person_470,устал,привязаны,Russian,RJ,ru,0.12223475320625274
do,play,person_470,сделать,играть,Russian,RV,ru,0.2052168597262832
trip,travel,person_2564,поездки,путешествия,Russian,RN,ru,0.4148212561435649
bear,support,person_2564,нести,поддерживает,Russian,RV,ru,0.04018033277127852
go,do,person_2564,пойти,сделать,Russian,RV,ru,0.539136677207568
beforehand,previously,person_2564,заранее,ранее,Russian,RY,ru,0.16099706179872264
clothes,cloths,person_277,одежды,полотна,Russian,RN,ru,0.5626046156686393
will,must,person_277,будет,должны,Russian,RV,ru,0.5744676551795698
see,seem,person_277,видеть,показаться,Russian,RV,ru,0.3697209560617545
play,use,person_277,играть,использовать,Russian,RV,ru,0.16635540133901883
say,tell,person_277,сказать,сказать,Russian,RV,ru,0.5707501672534092
give,tell,person_1697,дать,сказать,Russian,RV,ru,0.4242133453061221
will,could,person_1697,будет,мог,Russian,RV,ru,0.5222036342176757
going,doing,person_1697,собирается,делать,Russian,RV,ru,0.5224778739069628
learn,lean,person_1697,узнать,опереться,Russian,RV,ru,0.11331108110880292
teach,lean,person_1697,научить,опереться,Russian,RV,ru,0.08307197179245329
stay,accommodate,person_1245,остаться,вместить,Russian,RV,ru,0.18304493646177888
stay,live,person_1655,остаться,жить,Russian,RV,ru,0.22311804022125642
staying,living,person_1655,останавливаться,живущих,Russian,RV,ru,0.24215141250839217
stay,live,person_1655,остаться,жить,Russian,RV,ru,0.22311804022125642
have,do,person_1655,иметь,сделать,Russian,RV,ru,0.385893082855613
not,no,person_1889,не,нет,Russian,RY,ru,0.3391300655324071
very,quite,person_2359,очень,довольно,Russian,RY,ru,0.713516961031995
cover,pay,person_2359,охватывают,платить,Russian,RV,ru,0.16113406776429168
conducted,made,person_2359,проведены,сделал,Russian,RV,ru,0.16859676909742619
think,consider,person_2359,думаю,рассмотреть,Russian,RV,ru,0.4409178673578903
opinion,statement,person_2359,мнение,заявление,Russian,RN,ru,0.30322259483697256
decor,decoration,person_2359,декор,украшения,Russian,RN,ru,0.5318564179852372
done,made,person_2359,сделано,сделал,Russian,RV,ru,0.2661939435558714
installed,made,person_2359,установлены,сделал,Russian,RV,ru,0.15797957037423555
events,performances,person_2359,события,спектакли,Russian,RN,ru,0.3076243975218802
conducted,made,person_2359,проведены,сделал,Russian,RV,ru,0.16859676909742619
say,tell,person_2616,сказать,сказать,Russian,RV,ru,0.5707501672534092
filled,made,person_2616,заполнены,сделал,Russian,RV,ru,0.16163058732705052
talk,speak,person_2616,говорить,говорить,Russian,RV,ru,0.2823262678244861
queues,lines,person_2616,очереди,линии,Russian,RN,ru,0.20794735068685416
stay,live,person_1557,остаться,жить,Russian,RV,ru,0.22311804022125642
go,attend,person_1557,пойти,посещать,Russian,RV,ru,0.18861571829285964
souvenirs,remembrances,person_1557,сувениры,воспоминания,Russian,RN,ru,0.3111925698349459
photography,photographer,person_2664,фотографии,фотограф,Russian,RN,ru,0.5903018779034429
got,took,person_2664,получил,взял,Russian,RV,ru,0.46085097730682045
got,taken,person_2664,получил,приняты,Russian,RV,ru,0.333851835838855
sleeping,slipping,person_1192,спящая,скольжения,Russian,RV,ru,0.22202910208232285
various,different,person_1192,различных,различных,Russian,RJ,ru,0.46226066049435544
faithfully,sincerely,person_818,добросовестно,искренне,Russian,RY,ru,0.3185136213547491
wanted,wished,person_1814,хотел,пожелал,Russian,RV,ru,0.6260405894084751
had,made,person_1814,имел,сделал,Russian,RV,ru,0.34253977472132435
be,stay,person_1814,быть,остаться,Russian,RV,ru,0.2336481976151053
autograph,signature,person_1814,автограф,подпись,Russian,RN,ru,0.2890329436980824
trip,travel,person_1787,поездки,путешествия,Russian,RN,ru,0.4148212561435649
trip,travel,person_1787,поездки,путешествия,Russian,RN,ru,0.4148212561435649
spirit,character,person_1787,дух,характер,Russian,RN,ru,0.1917496269258553
demanding,responsible,person_1787,требовательных,ответственность,Russian,RJ,ru,0.20949843711599364
went,came,person_1787,пошел,пришел,Russian,RV,ru,0.6422990214311866
autograph,sign,person_1787,автограф,знак,Russian,RN,ru,0.2656695817026466
sincerely,faithfully,person_1787,искренне,добросовестно,Russian,RY,ru,0.3185136213547491
excellent,good,person_178,потрясающе,хорошо,Russian,RJ,ru,0.5269350278627003
more,better,person_178,более,лучше,Russian,RY,ru,0.4551753732078597
talking,speaking,person_178,говорить,говоря,Russian,RV,ru,0.4131588123860287
get,take,person_178,получить,принять,Russian,RV,ru,0.48988491359918357
take,bring,person_178,принять,принести,Russian,RV,ru,0.3767094029229452
out,up,person_178,вне,вверх,Russian,RY,ru,0.3507878971972593
get,take,person_178,получить,принять,Russian,RV,ru,0.48988491359918357
opportunity,possibility,person_964,возможность,возможность,Russian,RN,ru,0.2976703341602577
have,find,person_964,иметь,найти,Russian,RV,ru,0.33641117365416173
centre,middle,person_964,центр,ближнем,Russian,RN,ru,0.20460260246087264
suffer,get,person_964,страдают,получить,Russian,RV,ru,0.2176688655882611
leave,let,person_964,оставить,позвольте,Russian,RV,ru,0.40618628531061296
excellent,good,person_813,потрясающе,хорошо,Russian,RJ,ru,0.5269350278627003
get,know,person_813,получить,знаю,Russian,RV,ru,0.46691232674996475
give,present,person_813,дать,представить,Russian,RV,ru,0.18156038249960424
have,meet,person_2394,иметь,встретиться,Russian,RV,ru,0.2104841603278555
already,previously,person_2394,уже,ранее,Russian,RY,ru,0.4422342848651224
set,settled,person_2394,установить,поселились,Russian,RV,ru,0.12950171418367856
excellent,good,person_241,потрясающе,хорошо,Russian,RJ,ru,0.5269350278627003
incredible,unbelievable,person_241,невероятные,невероятно,Russian,RJ,ru,0.7235013762440144
won't,doesn't,person_241,не,не,Russian,RV,ru,0.8306480478498042
futuristic,future,person_241,футуристический,будущих,Russian,RJ,ru,0.2197872804213436
will,can,person_241,будет,может,Russian,RV,ru,0.6176790942075501
simply,only,person_241,просто,только,Russian,RY,ru,0.4944278622947915
event,activity,person_2232,событие,деятельности,Russian,RN,ru,0.22753146953548087
sincerely,faithfully,person_2232,искренне,добросовестно,Russian,RY,ru,0.3185136213547491
excellent,good,person_1033,потрясающе,хорошо,Russian,RJ,ru,0.5269350278627003
make,do,person_1033,сделать,сделать,Russian,RV,ru,0.3857835826030168
isn't,doesn't,person_1033,не,не,Russian,RV,ru,0.7990755494532437
time,moment,person_1033,время,момент,Russian,RN,ru,0.42699941774793626
discover,invent,person_1035,обнаружить,изобретать,Russian,RV,ru,0.30088553627287445
possible,predictable,person_1035,возможно,предсказуемым,Russian,RJ,ru,0.1950667915453107
household,house,person_1035,бытовой,дом,Russian,RN,ru,0.2802425971931223
favourite,preferable,person_1035,любимый,предпочтительнее,Russian,RJ,ru,0.11068258154845675
home,house,person_1035,дома,дом,Russian,RN,ru,0.4812416044788231
provide,keep,person_1035,предоставить,держать,Russian,RV,ru,0.2463143529481093
excellent,good,person_1624,потрясающе,хорошо,Russian,RJ,ru,0.5269350278627003
sight,sigh,person_1624,прицел,вздох,Russian,RN,ru,0.13610474559719823
clothes,wear,person_1624,одежды,износа,Russian,RN,ru,0.4375549236650783
breathe,brief,person_1624,дышать,проинформировать,Russian,RV,ru,0.11794336887376003
fall,following,person_1624,падать,следующие,Russian,RV,ru,0.11527322690136896
should,must,person_1624,должны,должны,Russian,RV,ru,0.637031926649098
unique,only,person_2305,уникальный,единственный,Russian,RJ,ru,0.20448572225828593
respond,obey,person_2305,отвечать,повиноваться,Russian,RV,ru,0.21658614689898087
cups,caps,person_2305,чашки,шапки,Russian,RN,ru,0.2563660384059394
vision,opinion,person_2305,видение,мнение,Russian,RN,ru,0.10746898554172352
historic,historical,person_3158,исторический,исторические,Russian,RJ,ru,0.4664207340614593
shared,mutual,person_3158,общий,взаимного,Russian,RJ,ru,0.23653588754146912
mankind,people,person_3158,человечества,людей,Russian,RN,ru,0.21233722898327434
wheel,will,person_3158,колесо,будет,Russian,RN,ru,0.07856199679139272
ability,possibility,person_3102,способности,возможность,Russian,RN,ru,0.2096952524024579
short,small,person_2976,короткие,маленький,Russian,RJ,ru,0.25850722002909515
play,take,person_2976,играть,принять,Russian,RV,ru,0.21116506953319003
rely,relay,person_2976,полагаться,ретранслировать,Russian,RV,ru,0.09389085476029287
meant,planed,person_3098,означало,строганный,Russian,RV,ru,0.2107476970268757
wear,take,person_3098,носить,принять,Russian,RV,ru,0.16203720507967795
exhibition,exposition,person_3098,выставка,экспозиция,Russian,RN,ru,0.2725194006938352
place,option,person_3098,место,вариант,Russian,RN,ru,0.1518955674182137
bank,embankment,person_3098,банк,набережная,Russian,RN,ru,0.2301942752323643
opportunity,chance,person_3098,возможность,шанс,Russian,RN,ru,0.524722525261798
historic,historical,person_3098,исторический,исторические,Russian,RJ,ru,0.4664207340614593
held,progressed,person_3122,провел,продвинулись,Russian,RV,ru,0.14954140526671186
would,can,person_3122,бы,может,Russian,RV,ru,0.5659030159455135
ago,before,person_3122,назад,раньше,Russian,RY,ru,0.3367218913396709
lamp,lump,person_3122,лампы,комок,Russian,RN,ru,0.06610481009056021
inventions,intentions,person_3122,изобретения,намерения,Russian,RN,ru,0.10837212852274086
think,see,person_3122,думаю,видеть,Russian,RV,ru,0.5271546119455434
talk,say,person_3122,говорить,сказать,Russian,RV,ru,0.29390483494836084
create,make,person_3122,создать,сделать,Russian,RV,ru,0.3869164170126136
have,take,person_3122,иметь,принять,Russian,RV,ru,0.31359817262506395
allows,makes,person_3122,позволяет,делает,Russian,RV,ru,0.39809802391398386
where,wherever,person_3122,где,где,Russian,RY,ru,0.3813672753185344
ago,before,person_3122,назад,раньше,Russian,RY,ru,0.3367218913396709
light,life,person_3122,свет,жизни,Russian,RN,ru,0.15318682277503656
will,can,person_3034,будет,может,Russian,RV,ru,0.6176790942075501
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN,ru,0.2725194006938352
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN,ru,0.2725194006938352
special,particular,person_3034,специальные,частности,Russian,RJ,ru,0.254866344976271
small,little,person_1562,küçük,küçük,Turkish,RJ,tr,0.4539754679096845
had,made,person_1562,vardı,yapılan,Turkish,RV,tr,0.34253977472132435
damp,moist,person_2135,nemli,nemli,Turkish,RJ,tr,0.5330875204652838
inadequate,insufficient,person_2135,yetersiz,yetersiz,Turkish,RJ,tr,0.6092889309903271
room,place,person_2419,oda,yer,Turkish,RN,tr,0.20320623730977072
patience,patient,person_2419,sabır,hasta,Turkish,RN,tr,0.16452843081819632
difficult,complicated,person_519,zor,karmaşık,Turkish,RJ,tr,0.5163566123168706
would,should,person_519,cekti,gerekir,Turkish,RV,tr,0.6300398185358216
spoiled,fell,person_519,şımart,düştü,Turkish,RV,tr,0.11356909535009461
cause,be,person_519,neden,olmak,Turkish,RV,tr,0.24653501217536347
problem,trouble,person_519,sorun,bela,Turkish,RN,tr,0.438150879698871
makes,puts,person_125,yapar,koyar,Turkish,RV,tr,0.4125827281044323
should,must,person_1858,gerekir,gerekir,Turkish,RV,tr,0.637031926649098
should,may,person_1858,gerekir,mayıs,Turkish,RV,tr,0.6680305497662631
shown,performed,person_1858,gösterilen,gerçekleştirilen,Turkish,RV,tr,0.28416624561153836
last,lost,person_1858,son,kaybetti,Turkish,RJ,tr,0.198456260521806
want,went,person_1858,istediği,gitti,Turkish,RV,tr,0.22958023344016548
international,internal,person_2565,dünya,iç,Turkish,RJ,tr,0.19706429492089333
nowadays,today,person_2565,günümüzde,bugün,Turkish,RY,tr,0.26255077252135617
met,got,person_2565,tanış,var,Turkish,RV,tr,0.3527584392809007
love,lovers,person_2565,aşk,severler,Turkish,RN,tr,0.2566846239121394
stars,starts,person_955,yıldız,başlar,Turkish,RN,tr,0.06786130852834907
do,make,person_955,yapmak,yapmak,Turkish,RV,tr,0.3857835826030168
well,good,person_955,iyi,iyi,Turkish,RJ,tr,0.3740056994869589
come,go,person_955,gel,gitmek,Turkish,RV,tr,0.3942303111419888
clean,clear,person_955,temiz,temizleyin,Turkish,RJ,tr,0.2621741908242794
worth,worthy,person_558,değer,layık,Turkish,RJ,tr,0.38719324934401833
acquainted,used,person_558,tanımak,kullanılan,Turkish,RJ,tr,0.2018884101771109
view,find,person_558,görünümü,bul,Turkish,RV,tr,0.1708488153196295
progress,go,person_558,ilerleye,gitmek,Turkish,RV,tr,0.11986404910317357
course,class,person_558,kursu,sınıf,Turkish,RN,tr,0.2557875493404263
attended,joined,person_1816,katıldı,katıldı,Turkish,RV,tr,0.29218660048573863
were,made,person_1816,edildi,yapılan,Turkish,RV,tr,0.31179521680286687
