c,i,id,l1_c,l1_i,language,type,code
forced,made,person_2012,принудительный,сделал,Russian,RV,ru
waste,waist,person_2012,отходов,талии,Russian,RN,ru
imagine,think,person_2012,представить,думаю,Russian,RV,ru
might,can,person_2012,может,может,Russian,RV,ru
valid,available,person_1334,действительны,доступны,Russian,RJ,ru
delayed,postpone,person_1334,отложено,отложить,Russian,RV,ru
have,got,person_1334,иметь,получил,Russian,RV,ru
get,become,person_1334,получить,стать,Russian,RV,ru
form,way,person_1334,формы,путь,Russian,RN,ru
As,how,person_892,как,как,Russian,RY,ru
star,play,person_892,звездочные,играть,Russian,RV,ru
act,play,person_892,действовать,играть,Russian,RV,ru
acted,played,person_892,действовал,проиграна,Russian,RV,ru
got,came,person_892,получил,пришел,Russian,RV,ru
spoilt,broke,person_892,испорчена,сломал,Russian,RV,ru
greatly,very,person_892,значительно,очень,Russian,RY,ru
just,only,person_892,просто,только,Russian,RY,ru
turn,push,person_892,превратить,толкать,Russian,RV,ru
really,very,person_892,действительно,очень,Russian,RY,ru
latest,newest,person_448,последнее,новейшие,Russian,RJ,ru
performance,play,person_448,производительности,игры,Russian,RN,ru
said,noticed,person_448,сказал,заметил,Russian,RV,ru
arrived,came,person_448,прибыли,пришел,Russian,RV,ru
organise,make,person_448,организовать,сделать,Russian,RV,ru
before,ago,person_448,раньше,назад,Russian,RY,ru
give,present,person_448,дать,представить,Russian,RV,ru
suggested,proposed,person_448,предложил,предлагаемые,Russian,RV,ru
went,came,person_448,пошел,пришел,Russian,RV,ru
couldn't,didn't,person_1797,не,не,Russian,RV,ru
thought,hoped,person_1797,думал,надеется,Russian,RV,ru
only,just,person_1797,только,просто,Russian,RY,ru
haven't,don't,person_1797,не,не,Russian,RV,ru
very,too,person_1635,очень,слишком,Russian,RY,ru
advertised,presented,person_1635,рекламируется,представлены,Russian,RV,ru
very,too,person_1635,очень,слишком,Russian,RY,ru
knew,understand,person_1635,знал,понять,Russian,RV,ru
long,big,person_1635,длинные,большой,Russian,RJ,ru
before,earlier,person_2272,раньше,ранее,Russian,RY,ru
latest,last,person_2272,последнее,последний,Russian,RJ,ru
Before,Earlier,person_2272,раньше,ранее,Russian,RY,ru
before,earlier,person_2272,раньше,ранее,Russian,RY,ru
have,be,person_1619,иметь,быть,Russian,RV,ru
invited,offered,person_1619,пригласил,предложил,Russian,RV,ru
put,gave,person_1619,положить,дал,Russian,RV,ru
before,ago,person_2502,раньше,назад,Russian,RY,ru
surprised,amazed,person_985,удивлена,поражен,Russian,RJ,ru
cause,reason,person_985,причиной,причина,Russian,RN,ru
chores,routine,person_985,делами,рутины,Russian,RN,ru
stay,live,person_793,остаться,жить,Russian,RV,ru
quickly,fast,person_793,быстро,быстро,Russian,RY,ru
saw,looked,person_793,видел,посмотрел,Russian,RV,ru
rehearsals,repetitions,person_793,репетиции,повторений,Russian,RN,ru
piece,part,person_793,кусок,часть,Russian,RN,ru
clothing,cloth,person_793,одежда,ткань,Russian,RN,ru
suitable,similar,person_793,подходит,аналогичные,Russian,RJ,ru
loudly,loud,person_793,громко,громче,Russian,RY,ru
will,shall,person_346,будет,должны,Russian,RV,ru
news,information,person_385,новости,информация,Russian,RN,ru
remind,remember,person_385,напомнить,помните,Russian,RV,ru
stay,live,person_385,остаться,жить,Russian,RV,ru
won't,can't,person_385,не,нельзя,Russian,RV,ru
very,just,person_385,очень,просто,Russian,RY,ru
had,made,person_385,имел,сделал,Russian,RV,ru
had,took,person_385,имел,взял,Russian,RV,ru
work,job,person_385,работы,работу,Russian,RN,ru
really,very,person_2045,действительно,очень,Russian,RY,ru
really,very,person_2045,действительно,очень,Russian,RY,ru
time,term,person_2045,время,термин,Russian,RN,ru
sight,view,person_2045,прицел,вид,Russian,RN,ru
completely,absolutely,person_2045,полностью,абсолютно,Russian,RY,ru
energy,power,person_186,энергии,мощность,Russian,RN,ru
surfing,surf,person_2481,серфинг,серфинга,Russian,RN,ru
surfing,surf,person_2481,серфинг,серфинга,Russian,RN,ru
was,had,person_2481,был,имел,Russian,RV,ru
surfing,serf,person_2481,серфинг,крепостным,Russian,RN,ru
sincerely,faithfully,person_2481,искренне,добросовестно,Russian,RY,ru
go,do,person_2481,пойти,сделать,Russian,RV,ru
go,do,person_2481,пойти,сделать,Russian,RV,ru
is,will,person_2481,является,будет,Russian,RV,ru
concern,care,person_243,озабоченность,уход,Russian,RN,ru
answer,clarify,person_243,ответить,уточнить,Russian,RV,ru
clothing,wear,person_243,одежда,износа,Russian,RN,ru
situation,ability,person_243,ситуации,способности,Russian,RN,ru
go,do,person_243,пойти,сделать,Russian,RV,ru
go,do,person_243,пойти,сделать,Russian,RV,ru
as,that,person_243,как,что,Russian,RY,ru
go,do,person_243,пойти,сделать,Russian,RV,ru
centres,cities,person_243,центры,городах,Russian,RN,ru
normal,usual,person_243,нормальной,обычно,Russian,RJ,ru
solutions,issue,person_243,решения,проблема,Russian,RN,ru
sitting,seating,person_243,сидя,гостиная,Russian,RV,ru
have,know,person_319,иметь,знаю,Russian,RV,ru
response,answer,person_319,ответ,ответ,Russian,RN,ru
Dance,Dancing,person_319,танец,танцы,Russian,RN,ru
trip,travel,person_319,поездки,путешествия,Russian,RN,ru
pet,pat,person_319,питомца,пэт,Russian,RN,ru
making,filming,person_319,делает,съемках,Russian,RN,ru
came,went,person_1248,пришел,пошел,Russian,RV,ru
autograph,signature,person_1248,автограф,подпись,Russian,RN,ru
school,lyceum,person_1248,школы,лицей,Russian,RN,ru
stay,go,person_2225,остаться,пойти,Russian,RV,ru
makes,does,person_2225,делает,делает,Russian,RV,ru
go,do,person_2225,пойти,сделать,Russian,RV,ru
problem,trouble,person_2225,проблема,неприятности,Russian,RN,ru
losing,loosing,person_2225,потери,потери,Russian,RV,ru
wasting,loosing,person_2225,тратить,потери,Russian,RV,ru
styles,stiles,person_2557,стили,стайлз,Russian,RN,ru
trip,travel,person_2557,поездки,путешествия,Russian,RN,ru
information,questions,person_2557,информация,вопросы,Russian,RN,ru
stay,say,person_2557,остаться,сказать,Russian,RV,ru
trip,travel,person_2557,поездки,путешествия,Russian,RN,ru
really,very,person_2557,действительно,очень,Russian,RY,ru
state,stare,person_2557,государства,пялься,Russian,RN,ru
Often,Usual,person_2557,часто,обычно,Russian,RY,ru
made,did,person_1895,сделал,сделал,Russian,RV,ru
learn,know,person_1895,узнать,знаю,Russian,RV,ru
prize,award,person_1895,приз,награда,Russian,RN,ru
area,stage,person_1895,зона,этапе,Russian,RN,ru
ambition,idea,person_1895,амбиции,идея,Russian,RN,ru
made,did,person_1895,сделал,сделал,Russian,RV,ru
sit,pass,person_470,сидеть,пройти,Russian,RV,ru
sincerely,faithfully,person_470,искренне,добросовестно,Russian,RY,ru
tired,tied,person_470,устал,привязаны,Russian,RJ,ru
do,play,person_470,сделать,играть,Russian,RV,ru
trip,travel,person_2564,поездки,путешествия,Russian,RN,ru
bear,support,person_2564,нести,поддерживает,Russian,RV,ru
go,do,person_2564,пойти,сделать,Russian,RV,ru
beforehand,previously,person_2564,заранее,ранее,Russian,RY,ru
I've,I'm,person_277,ive,im,Russian,RV,ru
clothes,cloths,person_277,одежды,полотна,Russian,RN,ru
will,must,person_277,будет,должны,Russian,RV,ru
see,seem,person_277,видеть,показаться,Russian,RV,ru
play,use,person_277,играть,использовать,Russian,RV,ru
Say,Tell,person_277,сказать,сказать,Russian,RV,ru
give,tell,person_1697,дать,сказать,Russian,RV,ru
will,could,person_1697,будет,мог,Russian,RV,ru
going,doing,person_1697,собирается,делать,Russian,RV,ru
learn,lean,person_1697,узнать,опереться,Russian,RV,ru
teach,lean,person_1697,научить,опереться,Russian,RV,ru
stay,accommodate,person_1245,остаться,вместить,Russian,RV,ru
stay,live,person_1655,остаться,жить,Russian,RV,ru
staying,living,person_1655,останавливаться,живущих,Russian,RV,ru
stay,live,person_1655,остаться,жить,Russian,RV,ru
have,do,person_1655,иметь,сделать,Russian,RV,ru
not,no,person_1889,не,нет,Russian,RY,ru
very,quite,person_2359,очень,довольно,Russian,RY,ru
cover,pay,person_2359,охватывают,платить,Russian,RV,ru
conducted,made,person_2359,проведены,сделал,Russian,RV,ru
think,consider,person_2359,думаю,рассмотреть,Russian,RV,ru
opinion,statement,person_2359,мнение,заявление,Russian,RN,ru
decor,decoration,person_2359,декор,украшения,Russian,RN,ru
done,made,person_2359,сделано,сделал,Russian,RV,ru
installed,made,person_2359,установлены,сделал,Russian,RV,ru
events,performances,person_2359,события,спектакли,Russian,RN,ru
conducted,made,person_2359,проведены,сделал,Russian,RV,ru
say,tell,person_2616,сказать,сказать,Russian,RV,ru
filled,made,person_2616,заполнены,сделал,Russian,RV,ru
talk,speak,person_2616,говорить,говорить,Russian,RV,ru
queues,lines,person_2616,очереди,линии,Russian,RN,ru
stay,live,person_1557,остаться,жить,Russian,RV,ru
go,attend,person_1557,пойти,посещать,Russian,RV,ru
souvenirs,remembrances,person_1557,сувениры,воспоминания,Russian,RN,ru
photography,photographer,person_2664,фотографии,фотограф,Russian,RN,ru
got,took,person_2664,получил,взял,Russian,RV,ru
got,taken,person_2664,получил,приняты,Russian,RV,ru
sleeping,slipping,person_1192,спящая,скольжения,Russian,RV,ru
various,different,person_1192,различных,различных,Russian,RJ,ru
faithfully,sincerely,person_818,добросовестно,искренне,Russian,RY,ru
wanted,wished,person_1814,хотел,пожелал,Russian,RV,ru
had,made,person_1814,имел,сделал,Russian,RV,ru
be,stay,person_1814,быть,остаться,Russian,RV,ru
autograph,signature,person_1814,автограф,подпись,Russian,RN,ru
trip,travel,person_1787,поездки,путешествия,Russian,RN,ru
trip,travel,person_1787,поездки,путешествия,Russian,RN,ru
spirit,character,person_1787,дух,характер,Russian,RN,ru
demanding,responsible,person_1787,требовательных,ответственность,Russian,RJ,ru
went,came,person_1787,пошел,пришел,Russian,RV,ru
autograph,sign,person_1787,автограф,знак,Russian,RN,ru
sincerely,faithfully,person_1787,искренне,добросовестно,Russian,RY,ru
excellent,good,person_178,потрясающе,хорошо,Russian,RJ,ru
more,better,person_178,более,лучше,Russian,RY,ru
talking,speaking,person_178,говорить,говоря,Russian,RV,ru
get,take,person_178,получить,принять,Russian,RV,ru
take,bring,person_178,принять,принести,Russian,RV,ru
out,up,person_178,вне,вверх,Russian,RY,ru
get,take,person_178,получить,принять,Russian,RV,ru
opportunity,possibility,person_964,возможность,возможность,Russian,RN,ru
have,find,person_964,иметь,найти,Russian,RV,ru
centre,middle,person_964,центр,ближнем,Russian,RN,ru
suffer,get,person_964,страдают,получить,Russian,RV,ru
leave,let,person_964,оставить,позвольте,Russian,RV,ru
excellent,good,person_813,потрясающе,хорошо,Russian,RJ,ru
get,know,person_813,получить,знаю,Russian,RV,ru
give,present,person_813,дать,представить,Russian,RV,ru
have,meet,person_2394,иметь,встретиться,Russian,RV,ru
already,previously,person_2394,уже,ранее,Russian,RY,ru
set,settled,person_2394,установить,поселились,Russian,RV,ru
excellent,good,person_241,потрясающе,хорошо,Russian,RJ,ru
incredible,unbelievable,person_241,невероятные,невероятно,Russian,RJ,ru
won't,doesn't,person_241,не,не,Russian,RV,ru
futuristic,future,person_241,футуристический,будущих,Russian,RJ,ru
will,can,person_241,будет,может,Russian,RV,ru
simply,only,person_241,просто,только,Russian,RY,ru
event,activity,person_2232,событие,деятельности,Russian,RN,ru
Sincerely,Faithfully,person_2232,искренне,добросовестно,Russian,RY,ru
excellent,good,person_1033,потрясающе,хорошо,Russian,RJ,ru
make,do,person_1033,сделать,сделать,Russian,RV,ru
isn't,doesn't,person_1033,не,не,Russian,RV,ru
time,moment,person_1033,время,момент,Russian,RN,ru
discover,invent,person_1035,обнаружить,изобретать,Russian,RV,ru
possible,predictable,person_1035,возможно,предсказуемым,Russian,RJ,ru
household,house,person_1035,бытовой,дом,Russian,RN,ru
favourite,preferable,person_1035,любимый,предпочтительнее,Russian,RJ,ru
home,house,person_1035,дома,дом,Russian,RN,ru
provide,keep,person_1035,предоставить,держать,Russian,RV,ru
excellent,good,person_1624,потрясающе,хорошо,Russian,RJ,ru
sight,sigh,person_1624,прицел,вздох,Russian,RN,ru
clothes,wear,person_1624,одежды,износа,Russian,RN,ru
breathe,brief,person_1624,дышать,проинформировать,Russian,RV,ru
fall,following,person_1624,падать,следующие,Russian,RV,ru
should,must,person_1624,должны,должны,Russian,RV,ru
unique,only,person_2305,уникальный,единственный,Russian,RJ,ru
respond,obey,person_2305,отвечать,повиноваться,Russian,RV,ru
cups,caps,person_2305,чашки,шапки,Russian,RN,ru
vision,opinion,person_2305,видение,мнение,Russian,RN,ru
historic,historical,person_3158,исторический,исторические,Russian,RJ,ru
shared,mutual,person_3158,общий,взаимного,Russian,RJ,ru
mankind,people,person_3158,человечества,людей,Russian,RN,ru
wheel,will,person_3158,колесо,будет,Russian,RN,ru
ability,possibility,person_3102,способности,возможность,Russian,RN,ru
short,small,person_2976,короткие,маленький,Russian,RJ,ru
play,take,person_2976,играть,принять,Russian,RV,ru
rely,relay,person_2976,полагаться,ретранслировать,Russian,RV,ru
meant,planed,person_3098,означало,строганный,Russian,RV,ru
wear,take,person_3098,носить,принять,Russian,RV,ru
exhibition,exposition,person_3098,выставка,экспозиция,Russian,RN,ru
place,option,person_3098,место,вариант,Russian,RN,ru
bank,embankment,person_3098,банк,набережная,Russian,RN,ru
opportunity,chance,person_3098,возможность,шанс,Russian,RN,ru
historic,historical,person_3098,исторический,исторические,Russian,RJ,ru
held,progressed,person_3122,провел,продвинулись,Russian,RV,ru
would,can,person_3122,бы,может,Russian,RV,ru
ago,before,person_3122,назад,раньше,Russian,RY,ru
lamp,lump,person_3122,лампы,комок,Russian,RN,ru
inventions,intentions,person_3122,изобретения,намерения,Russian,RN,ru
think,see,person_3122,думаю,видеть,Russian,RV,ru
talk,say,person_3122,говорить,сказать,Russian,RV,ru
create,make,person_3122,создать,сделать,Russian,RV,ru
have,take,person_3122,иметь,принять,Russian,RV,ru
allows,makes,person_3122,позволяет,делает,Russian,RV,ru
where,wherever,person_3122,где,где,Russian,RY,ru
ago,before,person_3122,назад,раньше,Russian,RY,ru
light,life,person_3122,свет,жизни,Russian,RN,ru
will,can,person_3034,будет,может,Russian,RV,ru
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN,ru
exhibition,exposition,person_3034,выставка,экспозиция,Russian,RN,ru
special,particular,person_3034,специальные,частности,Russian,RJ,ru
small,little,person_1562,küçük,küçük,Turkish,RJ,tr
had,made,person_1562,vardı,yapılan,Turkish,RV,tr
damp,moist,person_2135,nemli,nemli,Turkish,RJ,tr
inadequate,insufficient,person_2135,yetersiz,yetersiz,Turkish,RJ,tr
room,place,person_2419,oda,yer,Turkish,RN,tr
patience,patient,person_2419,sabır,hasta,Turkish,RN,tr
difficult,complicated,person_519,zor,karmaşık,Turkish,RJ,tr
would,should,person_519,cekti,gerekir,Turkish,RV,tr
spoiled,fell,person_519,şımart,düştü,Turkish,RV,tr
cause,be,person_519,neden,olmak,Turkish,RV,tr
problem,trouble,person_519,sorun,bela,Turkish,RN,tr
makes,puts,person_125,yapar,koyar,Turkish,RV,tr
should,must,person_1858,gerekir,gerekir,Turkish,RV,tr
should,may,person_1858,gerekir,mayıs,Turkish,RV,tr
shown,performed,person_1858,gösterilen,gerçekleştirilen,Turkish,RV,tr
last,lost,person_1858,son,kaybetti,Turkish,RJ,tr
want,went,person_1858,istediği,gitti,Turkish,RV,tr
International,Internal,person_2565,dünya,iç,Turkish,RJ,tr
nowadays,today,person_2565,günümüzde,bugün,Turkish,RY,tr
met,got,person_2565,tanış,var,Turkish,RV,tr
Love,Lovers,person_2565,aşk,severler,Turkish,RN,tr
stars,starts,person_955,yıldız,başlar,Turkish,RN,tr
do,make,person_955,yapmak,yapmak,Turkish,RV,tr
well,good,person_955,iyi,iyi,Turkish,RJ,tr
come,go,person_955,gel,gitmek,Turkish,RV,tr
clean,clear,person_955,temiz,temizleyin,Turkish,RJ,tr
worth,worthy,person_558,değer,layık,Turkish,RJ,tr
acquainted,used,person_558,tanımak,kullanılan,Turkish,RJ,tr
view,find,person_558,görünümü,bul,Turkish,RV,tr
progress,go,person_558,ilerleye,gitmek,Turkish,RV,tr
course,class,person_558,kursu,sınıf,Turkish,RN,tr
attended,joined,person_1816,katıldı,katıldı,Turkish,RV,tr
were,made,person_1816,edildi,yapılan,Turkish,RV,tr
sore,sour,person_1816,boğaz,ekşi,Turkish,RJ,tr
idea,application,person_1816,fikir,uygulama,Turkish,RN,tr
reasonably,nice,person_1816,makul,güzel,Turkish,RY,tr
holding,making,person_1816,holding,yapma,Turkish,RV,tr
arts,art,person_1816,sanat,sanat,Turkish,RN,tr
understand,get,person_1816,anlamak,almak,Turkish,RV,tr
full,complete,person_1198,tam,komple,Turkish,RJ,tr
price,money,person_1198,fiyat,para,Turkish,RN,tr
small,close,person_1198,küçük,yakın,Turkish,RJ,tr
Next,However,person_1198,ileri,ancak,Turkish,RY,tr
miserable,unhappy,person_1198,sefil,mutsuz,Turkish,RJ,tr
thing,memory,person_1198,şey,bellek,Turkish,RN,tr
gauge,checker,person_1198,ölçer,denetleyicisi,Turkish,RN,tr
make,take,person_1198,yapmak,götür,Turkish,RV,tr
star,play,person_1359,yıldız,oynamak,Turkish,RV,tr
starred,played,person_1359,oynadı,oynadı,Turkish,RV,tr
had,saw,person_1359,vardı,gördüm,Turkish,RV,tr
paid,gave,person_1359,ödenen,verdi,Turkish,RV,tr
MISTAKE,FAULT,person_1359,hata,hatam,Turkish,RN,tr
mistake,fault,person_1359,hata,hatam,Turkish,RN,tr
tell,gave,person_1359,söyle,verdi,Turkish,RV,tr
advertised,written,person_2241,reklamı,yazılı,Turkish,RV,tr
pay,play,person_2241,ödeme,oynamak,Turkish,RV,tr
go,wear,person_2241,gitmek,giymek,Turkish,RV,tr
supposed,said,person_2519,zannetmek,dedi,Turkish,RV,tr
apology,excuse,person_2519,özür,bahane,Turkish,RN,tr
play,have,person_2519,oynamak,var,Turkish,RV,tr
have,be,person_2242,var,olmak,Turkish,RV,tr
said,written,person_2242,dedi,yazılı,Turkish,RV,tr
works,progress,person_2242,eser,ilerleme,Turkish,RN,tr
invention,production,person_2242,buluş,üretim,Turkish,RN,tr
people,pupil,person_2242,insanlar,öğrenci,Turkish,RN,tr
area,subject,person_2242,alan,konu,Turkish,RN,tr
see,watch,person_2518,görmek,izle,Turkish,RV,tr
said,told,person_622,dedi,söyledi,Turkish,RV,tr
programme,schedule,person_622,programı,zamanlama,Turkish,RN,tr
full,exact,person_622,tam,tam,Turkish,RJ,tr
want,went,person_622,istediği,gitti,Turkish,RV,tr
consolation,solace,person_622,teselli,teselli,Turkish,RN,tr
find,reach,person_622,bul,ulaşmak,Turkish,RV,tr
too,again,person_622,çok,tekrar,Turkish,RY,tr
place,medium,person_622,yer,orta,Turkish,RN,tr
said,written,person_594,dedi,yazılı,Turkish,RV,tr
said,written,person_594,dedi,yazılı,Turkish,RV,tr
said,written,person_594,dedi,yazılı,Turkish,RV,tr
could,would,person_1307,olabilir,cekti,Turkish,RV,tr
apology,excuse,person_1307,özür,bahane,Turkish,RN,tr
waste,loss,person_1307,atık,kaybı,Turkish,RN,tr
truth,reality,person_1307,gerçek,gerçek,Turkish,RN,tr
keep,take,person_1307,tutmak,götür,Turkish,RV,tr
tell,say,person_1307,söyle,söyle,Turkish,RV,tr
truth,reality,person_1307,gerçek,gerçek,Turkish,RN,tr
truth,reality,person_1307,gerçek,gerçek,Turkish,RN,tr
tell,say,person_1307,söyle,söyle,Turkish,RV,tr
truth,reality,person_1307,gerçek,gerçek,Turkish,RN,tr
musical,play,person_2231,müzikal,oyunu,Turkish,RN,tr
see,watch,person_2231,görmek,izle,Turkish,RV,tr
experience,situation,person_2231,deneyim,durum,Turkish,RN,tr
toys,plays,person_2231,oyuncak,çalış,Turkish,RN,tr
let,make,person_287,izin,yapmak,Turkish,RV,tr
should,would,person_287,gerekir,cekti,Turkish,RV,tr
said,wrote,person_287,dedi,yazdı,Turkish,RV,tr
peace,piece,person_287,barış,parça,Turkish,RN,tr
peace,piece,person_287,barış,parça,Turkish,RN,tr
benefit,fortune,person_287,yarar,servet,Turkish,RN,tr
let,want,person_2192,izin,istediği,Turkish,RV,tr
appears,plays,person_2192,görünür,oynar,Turkish,RV,tr
hoped,wished,person_2192,umduğunu,dile,Turkish,RV,tr
problem,mistake,person_2192,sorun,hata,Turkish,RN,tr
told,said,person_2192,söyledi,dedi,Turkish,RV,tr
appear,play,person_2192,görünür,oynamak,Turkish,RV,tr
went,came,person_2192,gitti,geldi,Turkish,RV,tr
closed,close,person_2192,kapalı,yakın,Turkish,RJ,tr
very,too,person_2192,çok,çok,Turkish,RY,tr
get,use,person_2192,almak,kullanın,Turkish,RV,tr
email,mail,person_2192,email,posta,Turkish,RN,tr
old,past,person_2192,eski,geçmiş,Turkish,RJ,tr
letter,mail,person_2192,mektup,posta,Turkish,RN,tr
paid,given,person_2160,ödenen,verilen,Turkish,RV,tr
burn,fire,person_2160,yakmak,kov,Turkish,RV,tr
area,section,person_2160,alan,bölüm,Turkish,RN,tr
late,later,person_2202,gecikti,sonra,Turkish,RY,tr
not,no,person_2202,değil,hayır,Turkish,RY,tr
is,passes,person_2202,-dir,geçirir,Turkish,RV,tr
exhausting,exhausted,person_2202,yorucu,yoruldum,Turkish,RJ,tr
untrue,false,person_2189,yanlış,false,Turkish,RJ,tr
say,mention,person_2189,söyle,söz,Turkish,RV,tr
invention,discovering,person_2189,buluş,keşfetmek,Turkish,RN,tr
research,researching,person_2189,araştırma,araştırma,Turkish,RN,tr
get,go,person_2189,almak,gitmek,Turkish,RV,tr
study,research,person_2189,çalışmak,araştırma,Turkish,RV,tr
planet,plant,person_2189,gezegen,bitki,Turkish,RN,tr
audience,viewers,person_515,seyirci,izleyici,Turkish,RN,tr
would,do,person_515,cekti,yapmak,Turkish,RV,tr
hesitation,problems,person_515,tereddüt,sorun,Turkish,RN,tr
principal,main,person_515,asıl,ana,Turkish,RJ,tr
friendship,friend,person_515,dostluk,arkadaşı,Turkish,RN,tr
lastly,last,person_1026,son,son,Turkish,RY,tr
up,next,person_1026,yukarı,ileri,Turkish,RY,tr
shouldn't,couldn't,person_1026,olmamalı,edeme,Turkish,RV,tr
asked,offered,person_1026,sordu,sunulan,Turkish,RV,tr
told,talk,person_1026,söyledi,konuşma,Turkish,RV,tr
see,watch,person_1806,görmek,izle,Turkish,RV,tr
paid,given,person_1806,ödenen,verilen,Turkish,RV,tr
said,written,person_1806,dedi,yazılı,Turkish,RV,tr
give,accept,person_1806,vermek,kabul,Turkish,RV,tr
late,later,person_1806,gecikti,sonra,Turkish,RY,tr
advertised,written,person_1806,reklamı,yazılı,Turkish,RV,tr
notice,understand,person_1806,fark,anlamak,Turkish,RV,tr
product,production,person_979,ürün,üretim,Turkish,RN,tr
made,did,person_1155,yapılan,yaptı,Turkish,RV,tr
say,tell,person_1155,söyle,söyle,Turkish,RV,tr
