case_id,i_nn_1,i_nn_2,i_nn_3,i_nn_4,i_nn_5,i_nn_6,i_nn_7,i_nn_8,i_nn_9,i_nn_10,c_nn_1,c_nn_2,c_nn_3,c_nn_4,c_nn_5,c_nn_6,c_nn_7,c_nn_8,c_nn_9,c_nn_10,l1_i_nn_1,l1_i_nn_2,l1_i_nn_3,l1_i_nn_4,l1_i_nn_5,l1_i_nn_6,l1_i_nn_7,l1_i_nn_8,l1_i_nn_9,l1_i_nn_10,l1_c_nn_1,l1_c_nn_2,l1_c_nn_3,l1_c_nn_4,l1_c_nn_5,l1_c_nn_6,l1_c_nn_7,l1_c_nn_8,l1_c_nn_9,l1_c_nn_10
case_0213,acheive,attain,achieving,achieved,achieves,accomplish,achive,acheiving,attaining,achievable,catching,caught,catches,Catch,catched,catch.I,Catching,tocatch,catch.The,off-guard,intentar,obtenir,assolir,aconseguint,aconseguirn,aconseguir.En,aconseguit,aconseguirho,aconsegueix,daconseguir,atrapar-lo,atrapar-me,atrapar-los,atrapar-se,atrapar-nos,atrapar-la,atrapar-te,atrapar-ne,atrapar-hi,atrapar-les
case_0212,preparing,prepared,prepares,Prepare,preparation,pre-prepare,perpare,Preparing,well-prepared,over-prepare,organising,organize,Organise,organised,organises,arrange,co-ordinate,reorganise,re-organise,publicise,preparar-se,preparar-li,preparat,prepar,preparar-ne,preparar-l,preparar-ho,preparar-,preparar-lo,preparant,Organitzar,organitzar-hi,organitzar-se,co-organitzar,organitzar-li,re-organitzar,preparar,coorganitzar,organitzar-lo,organitzar-mos
case_0211,unprofitable,lucrative,profitable.The,proﬁtable,profitably,profitable.,highly-profitable,Profitable,profit,high-profit,valuable,usful,handy,usefull,helpful,useful.This,useful.A,invaluable,useful.,useful.It,rendible.L,vendible,rendibles,rendiblement,viable,rentable,rendiblitzar,invendible,inviable,Rendible,útil-,útil.,útilm,útil.--,sútil,útils,útil.El,no-útil,útili,necessària
case_0210,offers,offering,offered,provide,offer.They,offer.So,offer.As,offer.To,offereing,offere,invites,invited,invitation,inviting,join,un-invite,re-invite,encourage,invitiation,uninvite,proporcionar,oferirte,oferint,donar,oferirá,oferir-ho,oferirán,oferir-lis,oferirse,oferir-me,convidar-hi,convidar-nos,convidar-los,convidar-se,convidar-lo,convidar-me,convidar-li,convidar-la,convidar-ho,invitar
case_0209,reccommend,reccomend,recomend,recommmend,recommned,recomment,reommend,receommend,recommened,reccommed,asked,asking,tell,Ask,asks,question,questions,re-ask,know,answer,recomanar-lo,recomanar-li,recomanar-se,recomanar-ne,recomanar-nos,aconsellar,recomanar-ho,recomanar-me,recomanar-la,recomana,preguntar-li,preguntar-los,preguntar-ho,preguntar-l,preguntar-,preguntar.-,preguntar-lis,preguntar-me,preguntar.,repreguntar
case_0208,astounded,astonished,awed,flabbergasted,surprised,awestruck,impressed,shocked,AMAZED,dumbfounded,delighted,excited,overjoyed,pleased,THRILLED,elated,super-excited,over-the-moon,enthused,Thrilled,sorprés,sorprès-,Sorprès,sorprè,sorprenent,estranyat,gratament,sorprèn,impressionat,sorprendre,emocionada,emocionats,emociona,conmogut,emocionant,emocionadíssim,commogut,dolgut,entusiasmat,xalat
case_0207,devotedly,diligently,conscientiously,dutifully,faithful,Faithfully,slavishly,assiduously,zealously,obediently,sincerly,sincerley,sincere,SINCERELY,fervently,hope,appreciate,earnestly,genuinely,heartfully,fidel,fidel-,infidelment,Fidelment,escrupolosament,escrupulosament,servilment,seguint,rigurosament,acuradament,crec,-sincerament,Sincerament,sincerament.,penso,sincerament-,Crec,sinceramente,.Sincerament,evidentment
case_0214,Specially,specialy,designed,specially-,desgined,specailly,speacially,specifically,deisgned,aspecially,Especially,particularly,Particularly,espeically,expecially,espcially,epecially,esp.,especiallly,particulary,particularment,sobretot,Especialment,molt,principalment,també,igualment,tant,especialmente,sovint,particularment,sobretot,Especialment,molt,principalment,també,igualment,tant,especialmente,sovint
case_0206,charcter,characters,chracter,charater,characer,character.This,character.The,charactor,character.So,character.What,actress,Actor,actor.He,actor-,actor.The,non-actor,actors,actor.,actor.I,character-actor,caire,cràcter,-caràcter,decaràcter,caracter,carácter,-Caràcter,matacaràcter,aspecte,tarannà,actriu,actor-director,actor-humorista,actor-,actor-cantant,actoràs,cantant-actor,guionista,actorː,Actor
case_0224,ought,shoud,might,must,will,would,shoudl,shouldn,may,not,could,might,woud,wouldn,should,wold,wouild,wouls,woould,woudl,hagués,haurien,podria,Hauria,haguessin,haver,hagi,shauria,hauríem,han,vols.I,vols.-,vols.T,vols-,vols.No,Vols,volsatres,pots,volsaltres,prefereixes
case_0226,spend,Spent,spends,spents,spending,speant,whiled,wasted,spendt,devoting,have,been,hadn,got,was,were,wished,knew,wanted,Had,malgastat,gastats,gastar,gasta,gastar-se,gastant,gastatPer,gastant-se,gastaria,malgastats,havien,hagués,era,lhavia,Havia,shavia,nhavia,haviaa,hauria,mhavia
case_0243,harder,tough,difficult,Hard,ahrd,hard.It,hard-,HARD,hardest,hard.Now,diffcult,tricky,challenging,impossible,diffucult,dificult,difficut,diificult,tough,frustrating,portar,Réome,realitzar,RB1,dut,portar-se,terme,portar-l,portat,dur-se,difícil.És,fàcil,-difícil,difícil.I,impossible,difícil.A,complicat,difícil.-,difícil-,difícil.
case_0242,discovered,searched,foudn,find,Found,founf,finding,foung,searching,googled,know,guess,suppose,believe,don,say,thnk,honestly,really,Maybe,trobat.I,trobat-,trobar,trobat.L,buscat,trobata,aparegut,sortit,descobert,vist,pensar.No,creure,pensar.A,pensar.En,pensar.De,pensar.,re-pensar,pensar-se,pensar.Si,pensar-ne
case_0241,folllowing,follwing,folowing,Following,follwoing,followng,folloing,ollowing,followiing,followed,furture,foreseeable,not-too-distant,forseeable,future.But,not-to-distant,future.The,future-,future.Now,future.So,sigüents,egüents,elssegüents,següents.,següentsː,tres,seüents,güents,següentes,quatre,futurs-,futurs.,Futurs,nous,futures,futur.Els,internacionalsFuturs,possibles,seus,als
case_0239,begins,Starts,start,goes,commences,stops,ends,starts.The,starts.This,begans,star,stars.The,stars.This,stars.,stars.It,stars.But,stars.I,stars.And,stars.As,stars.So,acaba,Comença,comencen,començar.A,inicia,començarà,començar,començará,comença.,recomença,estels,estrelles4,estrelles.,exestrelles,Estrelles,estreles,estrella,27estrelles,súper-estrelles,estrelle
case_0238,might,can,will,should,could,must,likely,would,not,are,would,might,can,conceivably,possibly,coud,feasibly,couldn,wouldn,coudl,març,juny,novembre,febrer,juliol,setembre,desembre,abril,gener,octubre,podrien,hauria,pot,podia,prodria,podrie,Podria,devia,pogués,seria
case_0237,cannot,could,will,may,might,easily,able,want,need,should,may,would,could,should,probably,conceivably,possibly,likely,seem,can,pugui,poden,podria,podrà,podem,podrie,acostuma,puguir,podríe,pogui,podrien,hauria,pot,podia,prodria,podrie,Podria,devia,pogués,seria
case_0236,sets,setting,Set,set.The,Setting,set.This,-set,set.In,set.So,set.A,pre-arrange,arranging,organise,Arrange,arranges,arranged,re-arrange,arrage,prearrange,arange,restablir,reeestablir,establiré,crear,fixar,establir-ne,reestablir,establirse,establir-hi,mantenir,Organitzar,organitzar-hi,organitzar-se,co-organitzar,organitzar-li,re-organitzar,preparar,coorganitzar,organitzar-lo,organitzar-mos
case_0225,begins,Starts,start,goes,commences,stops,ends,starts.The,starts.This,begans,star,stars.The,stars.This,stars.,stars.It,stars.But,stars.I,stars.And,stars.As,stars.So,acaba,Comença,comencen,començar.A,inicia,començarà,començar,començará,comença.,recomença,estels,estrelles4,estrelles.,exestrelles,Estrelles,estreles,estrella,27estrelles,súper-estrelles,estrelle
case_0235,prizes,prize.The,prize-,Prize,winner,prize.This,prize.,prize.It,prize.I,Prizes,prices,price.But,pric,price.It,price.This,price.As,price.That,price.However,price.Also,price.,Premi,guardó,premi.El,premi.L,premis,premi.En,premi.Un,premi-,premi.La,premi.I,preu-,preu.,preu.A,preu.-,preu.El,preu.L,cost,preu.En,mòdic,preu.No
case_0233,came,proceeded,ran,drove,walked,took,Went,started,got,turned,went,brought,turned,took,saw,ran,sprang,come,started,got,anaven,venia,estava,anat,-anava,aniria,tornava,portava,acabava,anavam,anava,venien,portava,passava,trobava,Venia,estava,tornava,veia,sortia
case_0232,know,think,believe,tell,say.And,saying,argue,guess,suppose,presume,know,telling,telll,ask,let,say,tells,Tell,told,explain,pensar,afirmar,Àkans,molokans,Εὐσέβιος,saber,Veckans,tongkans,pensar.No,preguntar,pensar,afirmar,Àkans,molokans,Εὐσέβιος,saber,Veckans,tongkans,pensar.No,preguntar
case_0231,cookers,cooker.,cooker-,Cooker,multi-cooker,stove-top,slow-cooker,stovetop,crock-pot,crockpot,cooks,cook.,cooking,cook.The,cook.I,non-cook,cooked,coooking,cook-,re-cook,bicocció,Cocció,precocció,coccions,cocción,Decocció,perfumcocció,coccióPrimer,monococció,sobrecocció,cuiners,xef,cuinera,excuiner,gastrònom,Cuiner,cuineres,restaurant,pastisser,cuinera-
case_0230,costs,costing,cost.So,cost.The,Cost,cost.What,cost.But,cost.How,cost.That,cost.As,coasts,coast.But,coast.The,coast.,coast-,coast.It,coastline,coast.This,coast.In,coast.I,baix-cost,-cost,sobre-cost,sobrecost,preu,costos,Low-cost,Lowcost,lowcost,cost-,costanera,costera,costa.A,litoral,costes,costar-los,costa-,península,nord,costenca
case_0229,baths,bath.,bath.The,bath.This,bath.I,bath-,bath.It,bath.A,tub,bathtub,swimming,swims,swim-,Swim,swam,swim.,swim.I,swum,swim.The,swimmers,bany.,bany-,1bany,banys,banyito,banyPer,banyo,CDbany,-bany,bany-dutxa,nedem,nedes,nede,neden,banyar-vos,5.0.4,llisqueu,Redeu,queu,progresseu
case_0228,coming,came,bring,will,get,back,happen,comes,going,want,do,Go,to,going,'d,'t,be,on.Go,let,ahaed,venir.I,venir.En,venir.-,venir.,vingut,venir.El,vindre,venir-hi,venir-se,veniri,anant,anar.A,anat,anar-li,anar-nos,anar-los,anar-ne,tornar,anar-lo,anar.No
case_0227,Robbed,robbing,mugged,robbed.,burglarized,ROBBED,stolen,rob,stole,assaulted,stole,pilfered,stolen.The,purloined,stolen-,stealing,heisted,stolen.,stolen.I,theft,robar,robat.,robar-li,furtat,robaen,robant,robats,robai,robar3,robaí,robar,robat.,robar-li,furtat,robaen,robant,robats,robai,robar3,robaí
case_0234,shelters,shelter.The,shelter.,shelter-,shelter.I,shelte,sheltering,Shelter,shelters.The,shelters.,shepherds,shephard,sheperd,shepards,shepard,sheperds,shephards,sheep,shepherdess,sheppards,refugi-,Refugi,refugi-bivac,refugi.,refugi.La,fugiRefugi,mmRefugi,refugiï,alberg-refugi,casa-refugi,pastor09,pastor-,pastor.El,pastors,avi-pastor,pastora,Bonpastor,pastorívol,cabrer,ramat
case_0205,advertisements,advert,advertising,ads,advertisments,ad,advertisement.,advertisement.The,advertisment,adverting,advertsing,advertisements,advertisng,advertisement,adverting,ads,advertising.The,adverstising,advertisting,dvertising,lanunci,home-anunci,preanunci,anuncii,anunci.,anunciès,anunciant,anuncis,anuncia,annunci,publicitària,publicitaria,publicitació,publicitat.,publicita,publicitant,publicitaris,publicitari,publicitats,propaganda
case_0204,prizes,prize.The,prize-,Prize,winner,prize.This,prize.,prize.It,prize.I,Prizes,prices,price.But,pric,price.It,price.This,price.As,price.That,price.However,price.Also,price.,Premi,guardó,premi.El,premi.L,premis,premi.En,premi.Un,premi-,premi.La,premi.I,preu-,preu.,preu.A,preu.-,preu.El,preu.L,cost,preu.En,mòdic,preu.No
case_0203,users,non-user,end-user,user.The,user.If,user.So,User,user.A,user.This,auser,cutomer,customers,Customer,cusomer,non-customer,costumer,stomer,ustomer,costomer,custmer,lusuari,usuari-a,dusuari,usuari.Si,usuari.3,usuari.,usuari.L,27usuari,usuari.D,usuariEl,clients,smbclient,26client,client.L,clientdll-ds,exclient,client.,atclient,Client,multiclient
case_0181,fact.The,that,spite,because,fact.In,fact.But,despite,however,actuality,fact--that,events,event.The,event.This,event.That,event.To,after-event,event.So,event.As,event.However,event--,que,realitzat,fer,hagut,vist,coincidit,pensat,fet.És,comportat,portat,esdeveniments,lesdeveniment,event,esdeveniment7,aconteixement,esdeveniment.En,esdeveniment6,no-esdeveniment,esdeveniment.A,acte
case_0180,understand,explaining,expain,clarify,re-explain,expalin,elucidate,explanation,explains,explaing,know,telling,telll,ask,let,say,tells,Tell,told,explain,explicar-,explicar-l,explicar-ne,dexplicar,explica,explicar.A,explicar-mos,explicar-lis,explicar-lo,entendre,pensar,afirmar,Àkans,molokans,Εὐσέβιος,saber,Veckans,tongkans,pensar.No,preguntar
case_0179,acutally,really,ACTUALLY,actuallly,obviously,actaully,just,probably,actally,supposedly,ultimately,Eventually,inevitably,finally,evenutally,evetually,eventaully,gradually,subsequently,then,que,realitzat,fer,hagut,vist,coincidit,pensat,fet.És,comportat,portat,Finalment,posteriorment,però,després,inicialment,que,així,seguidament,també,quan
case_0178,could,might,woud,wouldn,should,wold,wouild,wouls,woould,woudl,would,might,can,conceivably,possibly,coud,feasibly,couldn,wouldn,coudl,vols.I,vols.-,vols.T,vols-,vols.No,Vols,volsatres,pots,volsaltres,prefereixes,podrien,hauria,pot,podia,prodria,podrie,Podria,devia,pogués,seria
case_0177,totally,competely,completley,comletely,completey,completly,entirely,COMPLETELY,Completely,utterly,extremely,quite,VERY,incredibly,extrememly,extemely,fairly,EXTREMELY,extraordinarily,pretty,totalment,absolutament,incompletament,completametn,pràcticament,parcialment,completamet,plenament,-completament,completament.,bastant,tan,molt-molt,més,extremadament,ben,prou,força,gaire,relativament
case_0176,re-discovering,uncovering,finding,rediscovering,exploring,discover,unearthing,Discovering,discovered,researching,reveal,reveals,revealling,uncovering,revealed,exposing,divulging,concealing,Revealing,divulges,descobrir.,descobrir.I,redescobrir,descobrir.A,descobrir-hi,re-descobrir,descobrir-ne,conèixer,descobrirarn,descobrir-,revelar-li,revelara,desvelar,revelar-hi,revelar-me,revelar-ne,revelar-nos,revelar-se,revelar-la,revelar-lo
case_0175,faults,Fault,fault.,fault-,fault.The,fault.This,fault.I,faulting,faulted,fault.But,failed,fail,failure,Failing,miserably,FAILING,fails,refusing,attempting,dismally,culpa-,culpe,culpem,culpo,culpós,culparé,culpaEl,culp,culpan,culpada,fracassar,fracassat,fracassa,fracassarà,fracassà,Fracassant,fracassava,fracasses,fracassaven,fracassaria
case_0182,understand,explaining,expain,clarify,re-explain,expalin,elucidate,explanation,explains,explaing,know,telling,telll,ask,let,say,tells,Tell,told,explain,explicar-,explicar-l,explicar-ne,dexplicar,explica,explicar.A,explicar-mos,explicar-lis,explicar-lo,entendre,pensar,afirmar,Àkans,molokans,Εὐσέβιος,saber,Veckans,tongkans,pensar.No,preguntar
case_0174,not-so-serious,seriuos,seriou,seroius,semi-serious,SERIOUS,non-serious,serioius,seriously,serios,professsional,proffessional,profesional,professioanl,Professional,profressional,proffesional,non-professional,professiona,ofessional,seriós-,seriósL,seriós.El,seriosa,rigorós,greu,seriòs,sincer,conscienciós,semi-seriós,tècnic-professional,acadèmic-professional,tècnico-professional,professional.L,formacióprofessional,professsional,professional.,rofessional,professional.Un,professionalOn
case_0172,went,brought,turned,took,saw,ran,sprang,come,started,got,came,proceeded,ran,drove,walked,took,Went,started,got,turned,anava,venien,portava,passava,trobava,Venia,estava,tornava,veia,sortia,anaven,venia,estava,anat,-anava,aniria,tornava,portava,acabava,anavam
case_0171,possibilty,possiblility,possibiity,possibity,possiblity,possiblilty,posibility,possibilities,possbility,possibility.The,opporunity,oppportunity,opportuntiy,oppurtunity,opportunitiy,oppotunity,opporutnity,opportunities,opportunty,opprtunity,possiblitat,possiblilitat,-possibilitat,posssibilitat,possibilitats,lapossibilitat,posibilitat,oportunitat,possibilitatde,possibiltat,oportunitatd,loportunitat,oportunitatde,oportunitat.I,oportunitat.,portunitat,possibilitat,oportunitats,log-oportunitat,oprtunitat
case_0170,neccessities,essentials,necessaries,necessities.The,neccesities,luxuries,necessities.,necesities,non-necessities,necessaties,neeeds,needs.So,wants,needs.But,need,needs.As,needs.And,needs.He,Needs,needs.It,lesnecessitats,demandes,necesssitats,necessitats.,necesitats,exigències,necessitatsde,necessitats.L,necessitats.I,Necessitats,lesnecessitats,demandes,necesssitats,necessitats.,necesitats,exigències,necessitatsde,necessitats.L,necessitats.I,Necessitats
case_0169,understand,explaining,expain,clarify,re-explain,expalin,elucidate,explanation,explains,explaing,decribe,descibe,describing,desribe,characterize,describes,discribe,descirbe,explain,describle,explicar-,explicar-l,explicar-ne,dexplicar,explica,explicar.A,explicar-mos,explicar-lis,explicar-lo,entendre,descriure.,definir,descriure-,descriure-hi,descriu,descriure-li,descriure-la,adescriure,descriure-ho,descrobrir
case_0168,spent,spending,spends,Spend,spening,devote,expend,sepnd,soend,invest,had,been,'ve,already,ahve,haved,haven,can,never,hve,gastar-se,gastar-nos,malgastar,gastar-los,gastar-lo,gastar-me,gastar-la,gastar-hi,gastar-ne,gastant,havien,haurien,hagin,hem,haguin,hauran,haguen,haguessin,haguessen,shavien
case_0167,re-published,publised,republished,pubished,publication,publsihed,reprinted,co-published,published.This,publishe,suggest,surmised,suggestion,suggests,speculated,suggesting,insisted,argued,noted,indicated,publicada,editat,publicar,-publicat,publica,publicats,aparegut,escrit,publicat-,publicà,proposat,suggereixen,suggereix,sugerit,suggerir,especulat,teoritzat,suggerits,argumentat,suggerint
case_0166,taking,takes,took,Take,taken,Taking,give,get,tkae,put,getting,got,want,gets,gotten,need,give,can,try,take,prenent,prendre-l,prendre-lo,prendre-,prendre-se,prenendre,agafar,prendre-me,prendre-t,prendre-te,intentar,obtenir,assolir,aconseguint,aconseguirn,aconseguir.En,aconseguit,aconseguirho,aconsegueix,daconseguir
case_0173,point.The,point.This,point--the,point.At,point.I,point.But,point.So,point.That,point.Now,point.When,thing.Another,thing.One,thing.What,thing.This,thing.But,thing-,thing.Now,thing.And,thing.The,things,vista,puntXpunt,unpunt,moment,punt.L,migpunt,punt.A,ipunt,alpunt,punt.En,alguna,cosa.És,cosa.M,manera,cosa.Tot,cosa.Jo,cosa.Però,cosa.Com,--cosa,cosai
case_0183,properly,incorrectly,corrrectly,corectly,correcly,correclty,correctly.I,correcty,correctly.But,correctly.It,correctly,adequately,appropriately,propperly,PROPERLY,propely,Properly,propertly,improperly,optimally,adequadament,incorrectament,Correctament,correctament.,correctamente,correctamen,correcta,perfectament,correctament.En,Incorrectament,-pròpiament,Impròpiament,propiament,pròpiament-,Pròpiament,impròpiament,apropiament,ràpiament,impiament,altrament
case_0184,cookers,cooker.,cooker-,Cooker,multi-cooker,stove-top,slow-cooker,stovetop,crock-pot,crockpot,cooks,cook.,cooking,cook.The,cook.I,non-cook,cooked,coooking,cook-,re-cook,bicocció,Cocció,precocció,coccions,cocción,Decocció,perfumcocció,coccióPrimer,monococció,sobrecocció,cuiners,xef,cuinera,excuiner,gastrònom,Cuiner,cuineres,restaurant,pastisser,cuinera-
case_0185,had,been,'ve,already,ahve,haved,haven,can,never,hve,getting,got,want,gets,gotten,need,give,can,try,take,havien,haurien,hagin,hem,haguin,hauran,haguen,haguessin,haguessen,shavien,intentar,obtenir,assolir,aconseguint,aconseguirn,aconseguir.En,aconseguit,aconseguirho,aconsegueix,daconseguir
case_0202,moves,moving,relocate,moved,Move,re-locate,move.So,move.If,move.I,push,getting,got,want,gets,gotten,need,give,can,try,take,moure.,moure-t,moure-s,moure-hi,moures,moure-m,moure-la,moure-li,mouren,mouret,intentar,obtenir,assolir,aconseguint,aconseguirn,aconseguir.En,aconseguit,aconseguirho,aconsegueix,daconseguir
case_0201,think,tell,don,say,want,understand,you,guess,knwo,what,getting,got,want,gets,gotten,need,give,can,try,take,saber-s,saber.No,saber-lo,saber.I,pensar,saber-li,esbrinar,saber-la,saber-,comprendre,intentar,obtenir,assolir,aconseguint,aconseguirn,aconseguir.En,aconseguit,aconseguirho,aconsegueix,daconseguir
case_0200,mcuh,MUCH,too,lot,more,far,less,muich,Much,considerably,extremely,quite,VERY,incredibly,extrememly,extemely,fairly,EXTREMELY,extraordinarily,pretty,bastant,tan,molt-molt,més,extremadament,ben,prou,força,gaire,relativament,bastant,tan,molt-molt,més,extremadament,ben,prou,força,gaire,relativament
case_0199,shows,show.So,show.The,show.But,show.Also,show.This,show.If,show.And,show.It,show.Now,know,telling,telll,ask,let,say,tells,Tell,told,explain,mostrar-se,mostrar-,demostrar,mostra,mostrat,mostrar-ne,mostrarÃ,desmostrar,mostrar-hi,mostrarː,pensar,afirmar,Àkans,molokans,Εὐσέβιος,saber,Veckans,tongkans,pensar.No,preguntar
case_0198,making,makes,Make,made,amke,want,sure,create,Making,easier,Do,go,'t,want,don,know,so,if,I,think,fer-hi,fer-se,realitzar,servir,fent,fer-ne,fer-mos,fer-ser,fer-li,fer-Io,fer-hi,fer-se,realitzar,servir,fent,fer-ne,fer-mos,fer-ser,fer-li,fer-Io
case_0197,prizes,prize.The,prize-,Prize,winner,prize.This,prize.,prize.It,prize.I,Prizes,prices,price.But,pric,price.It,price.This,price.As,price.That,price.However,price.Also,price.,Premi,guardó,premi.El,premi.L,premis,premi.En,premi.Un,premi-,premi.La,premi.I,preu-,preu.,preu.A,preu.-,preu.El,preu.L,cost,preu.En,mòdic,preu.No
case_0196,havng,being,Having,have,getting,havig,had,haveing,havign,haing,give,givng,gving,gave,gives,providing,Giving,giveing,handing,taking,tindre,tingut,tenir.A,tenirun,tenir.El,tenirne,tenir.,tenir-hi,tenirr,haver-hi,donar,donant-lis,donant-li,donant-se,donant-l,donant-ne,donant-nos,donant-la,donant-t,donat-me
case_0195,rising,rises,risen,rise.A,rise.This,rise.,rise.The,rise-,rise.It,rise.But,raising,raises,Raise,rasie,raised,rasing,Raising,rasies,raisng,toraise,aixecaran,Aixecarà,alçarà,aixeca,aixecaràs,estirarà,aixecaré,alçaran,retirarà,aixecarem,recaptant,recaptats,recaptar-se,recaptació,recaptar-ne,recaptat,recapta,recaptar-los,recaptarà,recaptaran
case_0194,less,mroe,than,More,much,mor,mmore,fewer,Less,lesss,anyway,anyways,anymore.I,anymore-,anymore.But,anymore.And,anyhow,anylonger,anymor,But,menys,molt,tan,bastant,poc,relativament,prou,extremadament,mica,força,Ja,no,ho,sí,si,",",sé,jo,Si,ha
case_0193,gobal,international,world-wide,theglobal,gloabl,Global,ofglobal,global-wide,post-global,.Global,over-all,overal,Overall,overall.The,oveall,overrall,overall.This,overall.In,overall.,overall.It,global-,globalL,global.En,global.L,global.05,globalː,global.-,global.El,globalEl,global.,global-,globalL,global.En,global.L,global.05,globalː,global.-,global.El,globalEl,global.
case_0192,make,Making,makes,made,creating,makign,makeing,makiing,makig,putting,doign,doind,doing.So,going,doing.Now,doing-,donig,doing--,doing.But,done,fer,feient,realitzant,nàfent,fent.I,farant,fent.A,fent.,-fent,fent.L,fer,feient,realitzant,nàfent,fent.I,farant,fent.A,fent.,-fent,fent.L
case_0191,solution,solutions.The,soultions,soluti,solutions.We,solut,solutions.It,solutionsto,solutions.,solutions.To,answer,questions,asnwers,anwers,answers.And,answers.So,answeres,answers-,answers.But,answers.It,solució,alternatives,imaginatives,sol.lucions,solucionades,solucionar-les,solucionar,solucionaris,Solucions,soluciones,preguntes,-respostes,respostes.I,resposta,pararespostes,respostes.,Respostes,contestacions,correspostes,despostes
